gene_ID,ndimage_ID,PCA01 (nan),PCA02 (nan),PCA03 (nan),PCA04 (nan),PCA05 (nan),PCA06 (nan)
85,742,0.0,0.0,0.0,0.0,0.0,0.0
85,842,0.0,0.0,0.0,0.0,0.0,0.0
85,2052,0.0,0.0,0.0,0.0,0.0,0.0
85,1145,0.0,0.0,0.0,0.0,0.0,0.0
85,896,0.0,0.0,0.0,0.0,0.0,0.0
85,2152,0.0,0.0,0.0,0.0,0.0,0.0
85,558,0.0,0.0,0.0,0.0,0.0,0.0
85,751,0.0,0.0,0.0,0.0,0.0,0.0
85,746,0.0,0.0,0.0,0.0,0.0,0.0
85,236,0.0,0.0,0.0,0.0,0.0,0.0
85,810,0.0,0.0,0.0,0.0,0.0,0.0
85,1526,0.0,0.0,0.0,0.0,0.0,0.0
85,2064,0.0,0.0,0.0,0.0,0.0,0.0
85,1980,0.0,0.0,0.0,0.0,0.0,0.0
85,1775,0.0,0.0,0.0,0.0,0.0,0.0
85,302,0.0,0.0,0.0,0.0,0.0,0.0
85,1645,0.0,0.0,0.0,0.0,0.0,0.0
85,1323,0.0,0.0,0.0,0.0,0.0,0.0
85,2156,0.0,0.0,0.0,0.0,0.0,0.0
85,2308,0.0,0.0,0.0,0.0,0.0,0.0
85,618,0.0,0.0,0.0,0.0,0.0,0.0
85,325,0.0,0.0,0.0,0.0,0.0,0.0
85,2108,0.0,0.0,0.0,0.0,0.0,0.0
85,1964,0.0,0.0,0.0,0.0,0.0,0.0
85,611,0.0,0.0,0.0,0.0,0.0,0.0
85,1641,0.0,0.0,0.0,0.0,0.0,0.0
85,2056,0.0,0.0,0.0,0.0,0.0,0.0
85,598,0.0,0.0,0.0,0.0,0.0,0.0
85,813,0.0,0.0,0.0,0.0,0.0,0.0
85,1862,0.0,0.0,0.0,0.0,0.0,0.0
85,1060,0.0,0.0,0.0,0.0,0.0,0.0
85,1614,0.0,0.0,0.0,0.0,0.0,0.0
85,797,0.0,0.0,0.0,0.0,0.0,0.0
85,1394,0.0,0.0,0.0,0.0,0.0,0.0
85,954,0.0,0.0,0.0,0.0,0.0,0.0
85,227,0.0,0.0,0.0,0.0,0.0,0.0
85,1021,0.0,0.0,0.0,0.0,0.0,0.0
85,1434,0.0,0.0,0.0,0.0,0.0,0.0
85,671,0.0,0.0,0.0,0.0,0.0,0.0
85,1796,0.0,0.0,0.0,0.0,0.0,0.0
85,1859,0.0,0.0,0.0,0.0,0.0,0.0
85,387,0.0,0.0,0.0,0.0,0.0,0.0
85,1827,0.0,0.0,0.0,0.0,0.0,0.0
85,2010,0.0,0.0,0.0,0.0,0.0,0.0
85,1146,0.0,0.0,0.0,0.0,0.0,0.0
85,1722,0.0,0.0,0.0,0.0,0.0,0.0
85,2037,0.0,0.0,0.0,0.0,0.0,0.0
85,1880,0.0,0.0,0.0,0.0,0.0,0.0
85,1587,0.0,0.0,0.0,0.0,0.0,0.0
85,2146,0.0,0.0,0.0,0.0,0.0,0.0
85,1193,0.0,0.0,0.0,0.0,0.0,0.0
85,1159,0.0,0.0,0.0,0.0,0.0,0.0
85,1041,0.0,0.0,0.0,0.0,0.0,0.0
85,1751,0.0,0.0,0.0,0.0,0.0,0.0
85,556,0.0,0.0,0.0,0.0,0.0,0.0
85,1619,0.0,0.0,0.0,0.0,0.0,0.0
85,1379,0.0,0.0,0.0,0.0,0.0,0.0
85,1708,0.0,0.0,0.0,0.0,0.0,0.0
85,1065,0.0,0.0,0.0,0.0,0.0,0.0
85,1027,0.0,0.0,0.0,0.0,0.0,0.0
85,1303,0.0,0.0,0.0,0.0,0.0,0.0
85,750,0.0,0.0,0.0,0.0,0.0,0.0
85,662,0.0,0.0,0.0,0.0,0.0,0.0
85,1802,0.0,0.0,0.0,0.0,0.0,0.0
85,931,0.0,0.0,0.0,0.0,0.0,0.0
85,512,0.0,0.0,0.0,0.0,0.0,0.0
85,2119,0.0,0.0,0.0,0.0,0.0,0.0
85,2323,0.0,0.0,0.0,0.0,0.0,0.0
85,1155,0.0,0.0,0.0,0.0,0.0,0.0
85,1667,0.0,0.0,0.0,0.0,0.0,0.0
85,516,0.0,0.0,0.0,0.0,0.0,0.0
85,2135,0.0,0.0,0.0,0.0,0.0,0.0
85,256,0.0,0.0,0.0,0.0,0.0,0.0
85,1890,0.0,0.0,0.0,0.0,0.0,0.0
85,1643,0.0,0.0,0.0,0.0,0.0,0.0
85,550,0.0,0.0,0.0,0.0,0.0,0.0
85,1031,0.0,0.0,0.0,0.0,0.0,0.0
85,1624,0.0,0.0,0.0,0.0,0.0,0.0
85,1970,0.0,0.0,0.0,0.0,0.0,0.0
85,743,0.0,0.0,0.0,0.0,0.0,0.0
85,1475,0.0,0.0,0.0,0.0,0.0,0.0
85,2433,0.0,0.0,0.0,0.0,0.0,0.0
85,1682,0.0,0.0,0.0,0.0,0.0,0.0
85,1225,0.0,0.0,0.0,0.0,0.0,0.0
85,1800,0.0,0.0,0.0,0.0,0.0,0.0
85,1998,0.0,0.0,0.0,0.0,0.0,0.0
85,1480,0.0,0.0,0.0,0.0,0.0,0.0
85,326,0.0,0.0,0.0,0.0,0.0,0.0
85,1245,0.0,0.0,0.0,0.0,0.0,0.0
85,1237,0.0,0.0,0.0,0.0,0.0,0.0
85,2150,0.0,0.0,0.0,0.0,0.0,0.0
85,845,0.0,0.0,0.0,0.0,0.0,0.0
85,800,0.0,0.0,0.0,0.0,0.0,0.0
85,1777,0.0,0.0,0.0,0.0,0.0,0.0
85,1214,0.0,0.0,0.0,0.0,0.0,0.0
85,482,0.0,0.0,0.0,0.0,0.0,0.0
85,1714,0.0,0.0,0.0,0.0,0.0,0.0
85,503,0.0,0.0,0.0,0.0,0.0,0.0
85,560,0.0,0.0,0.0,0.0,0.0,0.0
85,811,0.0,0.0,0.0,0.0,0.0,0.0
85,2226,0.0,0.0,0.0,0.0,0.0,0.0
85,1611,0.0,0.0,0.0,0.0,0.0,0.0
85,2265,0.0,0.0,0.0,0.0,0.0,0.0
85,665,0.0,0.0,0.0,0.0,0.0,0.0
85,2182,0.0,0.0,0.0,0.0,0.0,0.0
85,971,0.0,0.0,0.0,0.0,0.0,0.0
85,2275,0.0,0.0,0.0,0.0,0.0,0.0
85,1728,0.0,0.0,0.0,0.0,0.0,0.0
