,LLE01,LLE02,gene_ID,ndimage_ID
0,-0.0013137971,0.008248622,85,742
1,0.021060817,-0.0042549386,85,842
2,0.011086952,-0.008202788,85,2052
3,0.01148896,0.03174031,85,1145
4,0.029871173,-0.0032884574,85,896
5,0.021630444,0.012098484,85,2152
6,-0.0045432583,0.0047570327,85,558
7,0.019169802,0.01847801,85,751
8,0.014259022,0.006779837,85,746
9,0.025499,0.038684007,85,236
10,-0.0026872286,-0.0052514295,85,810
11,0.027015094,-0.01568532,85,1526
12,0.0117711425,-0.007394302,85,2064
13,0.014355244,0.012222572,85,1980
14,0.02212451,0.028264683,85,1775
15,0.0045498484,-0.00031528968,85,302
16,0.00106324,0.002334945,85,1645
17,0.008096231,-0.010953888,85,1323
18,0.009914041,-0.0021521237,85,2156
19,0.0033576963,-0.00056049635,85,2308
20,0.006786092,-0.011997583,85,618
21,0.0016797979,0.0011260887,85,325
22,0.00362488,0.00039746272,85,2108
23,0.012890095,-0.003875193,85,1964
24,0.014013793,0.008185585,85,611
25,-0.0016030496,0.0016822024,85,1641
26,0.008994983,0.000620708,85,2056
27,0.0027707212,-0.004284189,85,598
28,0.007785556,-0.013152144,85,813
29,0.020011352,0.011757768,85,1862
30,0.00247097,-0.0012080937,85,1060
31,-0.00028221408,-0.005559158,85,1614
32,0.030970365,0.022239635,85,797
33,0.00632919,0.02760575,85,1394
34,0.0034028317,0.0039166426,85,954
35,0.003386698,0.0021441944,85,227
36,0.007623755,-0.004116585,85,1021
37,0.018442282,0.029538563,85,1434
38,0.0061541186,-0.005388466,85,671
39,0.01953719,-0.003693013,85,1796
40,0.010472168,-0.007475663,85,1859
41,0.01246128,0.0017040742,85,387
42,0.013124421,-0.0043786634,85,1827
43,0.017674832,-0.0067387377,85,2010
44,-0.00076407567,-0.0033903676,85,1146
45,0.038064204,0.057103675,85,1722
46,0.012558955,-0.011208227,85,2037
47,-0.0035928423,0.0069898427,85,1880
48,0.0009323603,-0.0029716906,85,1587
49,0.005812592,-0.001983265,85,2146
50,0.0014241221,-0.008882355,85,1193
51,-0.0041705696,0.021441316,85,1159
52,0.018602174,0.018817564,85,1041
53,0.011129538,-0.009494894,85,1751
54,0.022650564,-0.013897436,85,556
55,0.027577745,0.009553222,85,1619
56,0.00881523,-0.006737358,85,1379
57,-0.0001346407,0.0019560633,85,1708
58,0.0039862995,0.0021228008,85,1065
59,0.000963876,-0.0033019222,85,1027
60,0.0034652571,0.012480058,85,1303
61,0.00775603,-0.00881954,85,750
62,0.015523668,0.0011079753,85,662
63,-0.0019478794,-0.0041738763,85,1802
64,0.022856139,0.017748043,85,931
65,0.010311772,0.016496187,85,512
66,0.038276475,0.030446073,85,2119
67,0.017045708,0.013678553,85,2323
68,0.02382136,0.0035929123,85,1155
69,-0.0043163886,0.007947352,85,1667
70,0.0060247728,-0.0057948683,85,516
71,0.027577257,-0.0031125718,85,2135
72,0.008691794,-0.002853567,85,256
73,0.0378019,0.020053994,85,1890
74,0.010907664,0.010125587,85,1643
75,-0.0025046568,0.0039690314,85,550
76,0.007150634,-0.004871904,85,1031
77,0.010536977,-0.013331396,85,1624
78,-0.002728407,-0.002549251,85,1970
79,0.007089147,-0.0069857575,85,743
80,-0.006382709,0.004603771,85,1475
81,0.009664204,1.2826425e-05,85,2433
82,0.0033256412,-0.011259748,85,1682
83,0.022682441,0.014288698,85,1225
84,0.001513444,-0.0019572247,85,1800
85,0.010392869,0.008174573,85,1998
86,0.0033866616,0.0012294516,85,1480
87,0.018366303,2.2251006e-06,85,326
88,0.006712065,0.0068045026,85,1245
89,0.018645843,0.02878483,85,1237
90,0.02342327,0.00015451494,85,2150
91,0.006603591,-0.006206243,85,845
92,0.008644368,-0.0019761252,85,800
93,0.010262231,-0.00014489086,85,1777
94,0.011969923,0.010090213,85,1214
95,0.02089632,-0.0072847293,85,482
96,0.017034307,0.016213233,85,1714
97,0.0066496725,-0.011283646,85,503
98,0.033819657,0.01133041,85,560
99,0.015730485,0.009829887,85,811
100,0.013239255,-0.012409548,85,2226
101,-0.00607584,0.002216824,85,1611
102,-0.0043584267,0.0077817244,85,2265
103,0.014784865,0.008296185,85,665
104,0.00037760765,-0.0049716355,85,2182
105,-0.0008564781,0.002441131,85,971
106,0.011432464,-0.01071965,85,2275
107,-0.007123134,0.012755574,85,1728
108,0.009688311,-0.00207761,85,511
109,0.012845696,-0.0045603462,85,1630
110,0.004850538,0.013522297,85,715
111,0.03964916,0.040568393,85,1425
112,0.005713632,0.006038032,85,1254
113,0.006424634,0.016280897,85,490
114,0.0032050284,0.007569722,85,1493
115,0.006793575,0.029385159,85,1113
116,0.0036886695,0.0055131093,85,1129
117,-0.0006719072,0.012652486,85,1353
118,0.013822355,-0.0013460609,85,306
119,0.022075122,0.03479457,85,938
120,0.01980914,-0.012150149,85,681
121,0.0066233766,0.008828192,85,272
122,0.017143635,0.016850345,85,1267
123,0.001839254,-0.005679379,85,947
124,0.016719,0.009816676,85,1305
125,0.004278218,-0.010628526,85,2036
126,0.02949428,0.036992505,85,502
127,0.0052358513,0.008818628,85,1655
128,0.010747185,0.0055145584,85,1576
129,-0.006109812,0.009652695,85,706
130,0.012098083,0.010175384,85,946
131,0.004344034,-0.005737044,85,1578
132,-0.0015868519,0.001206086,85,661
133,0.016978892,0.010224108,85,1976
134,0.0055126403,-0.0050091734,85,224
135,0.02090595,0.0024984404,85,2360
136,-0.00519575,0.0047140047,85,1625
137,0.007720666,0.0017034682,85,2438
138,-0.00011651824,0.014289491,85,1349
139,0.0178124,-0.0034444726,85,1258
140,0.008831969,0.015274182,85,978
141,0.004143255,-0.010652573,85,1133
142,0.009040481,0.02331016,85,1403
143,-0.00504005,0.010400439,85,398
144,0.014232378,-0.0018671767,85,344
145,0.015497739,-0.005560867,85,1150
146,0.01264514,0.0106681185,85,1090
147,0.015846103,-0.014185806,85,1038
148,0.013062161,0.0032391478,85,498
149,0.004431022,0.009646554,85,1264
150,0.012411091,0.0037725165,85,1495
151,0.016630527,-0.0026576181,85,1736
152,0.01311322,-0.010793143,85,1497
153,-0.0020491043,-0.00090912357,85,2050
154,0.008893589,0.0062637683,85,475
155,0.0073632067,0.00390232,85,1140
156,0.004290381,-0.0059548137,85,1731
157,0.0053552813,0.0027969207,85,639
158,0.0043376256,-0.007581943,85,2011
159,0.0031399562,0.0027414782,85,1168
160,0.010546694,-0.014783602,85,2279
161,0.0058065145,-0.008326037,85,985
162,0.010296229,-0.0044757514,85,852
163,0.0049174014,-0.006088388,85,574
164,0.005647795,0.00836625,85,1131
165,0.0060374965,0.00051354634,85,2106
166,-0.0027059806,0.0054407446,85,1995
167,0.005047487,-0.00637287,85,1545
168,0.016259614,0.010440129,85,582
169,-0.0037857695,0.0027696087,85,713
170,0.026606012,0.044839088,85,1543
171,-0.0067735617,0.0074117025,85,711
172,0.018606456,-0.0022462916,85,632
173,0.019869352,0.040242124,85,1098
174,0.0009959036,-0.002926861,85,1272
175,0.0025956794,-0.0067347502,85,2312
176,5.947456e-05,0.015942426,85,1780
177,0.0065432466,-0.0013606445,85,2096
178,-0.006600906,0.017605176,85,293
179,0.013152944,0.017882809,85,993
180,0.003901031,0.008012384,85,1239
181,0.013675345,-0.004001715,85,583
182,0.006755827,-0.011417537,85,1969
183,0.004824698,0.016771387,85,1048
184,0.03561076,0.042977337,85,1537
185,0.0029262977,0.027999086,85,626
186,0.0012252717,6.019493e-05,85,1275
187,0.01040707,0.020458853,85,951
188,0.01816122,-0.010205519,85,615
189,0.0013809724,-0.0051604006,85,314
190,0.0064034574,-0.0061390246,85,407
191,0.004135802,-0.0013251626,85,1990
192,0.016387833,0.011640781,85,581
193,0.008869817,-0.0062154885,85,2369
194,0.0071038324,-0.0064465543,85,997
195,0.010901074,-0.008919726,85,747
196,0.0059574633,-0.012008188,85,199
197,-0.008214689,0.0041342317,85,1367
198,0.005934061,0.002728547,85,2253
199,0.035739254,0.051915273,85,1902
200,-0.0024175425,0.00053503487,85,1452
201,0.0005433889,-0.0023826815,85,1285
202,-0.00035503486,-0.0034150311,85,1119
203,0.014635044,0.0057199886,85,261
204,0.016515054,-0.010725417,85,2144
205,0.01808507,0.0144567005,85,1256
206,0.019976871,0.00518663,85,401
207,0.036493123,0.02368772,85,216
208,0.0062724506,-0.008441687,85,745
209,0.0013505919,-0.0007384674,85,1006
210,-0.0058426238,0.008116892,85,716
211,0.0034362054,0.01057526,85,1315
212,0.0021427425,-0.0013989155,85,670
213,0.015989808,0.00775765,85,2006
214,0.013763443,0.0073689073,85,972
215,-0.000576258,0.0009338491,85,2107
216,0.0024618714,-0.004772963,85,2573
217,-0.0026171918,0.002664693,85,2431
218,0.024569122,0.04200933,85,1680
219,0.01759703,-0.0012969286,85,691
220,-0.008399714,0.013059187,85,1196
221,0.030460794,0.0039177733,85,439
222,0.0026029802,-0.0065991776,85,1788
223,0.009884698,-0.0062789056,85,1209
