gene_ID,ndimage_ID,PCA01 (31.47),PCA02 (17.29),PCA03 (14.17),PCA04 (7.88),PCA05 (6.04),PCA06 (3.97)
85,169,-0.26829895,-0.30162272,0.5974978,-1.0527624,-0.99017453,0.14090213
85,188,1.0880779,-0.2971549,2.1042085,-1.1281202,-1.1297065,0.10068729
85,199,-1.3174559,0.52215916,1.374099,0.686891,-0.34462062,-0.5720086
85,209,-1.5103153,-0.2598032,-1.2651876,-0.38691577,0.2608584,0.32337177
85,224,-0.40535563,-0.85916764,-0.09049502,-1.4035058,-0.29250833,0.45189232
85,227,-0.61864626,-0.75165623,-0.39339894,-1.1986197,-0.43306875,0.27729312
85,233,-0.9412114,-0.30451432,0.07562796,-0.7709933,-0.49112886,0.18760307
85,235,-0.07326555,-0.46700218,1.1565465,-1.165291,-0.4803158,0.3719657
85,236,-0.57201517,-2.5018537,2.8353572,-1.7077891,-0.46046558,0.93530816
85,243,-1.5031004,-0.23614332,-0.49142116,-0.12178787,0.20513448,0.1643931
85,256,-0.33117467,-0.8720216,0.79582417,-1.5331678,-0.37439746,0.5831531
85,261,0.16576216,-1.6060237,-0.44521576,-1.0163205,-0.42123628,-0.11918286
85,271,0.00016945113,-1.563567,0.041665997,-1.3333243,-1.0278741,0.2096089
85,272,-0.20918512,-0.9940651,0.40198362,-1.4739045,-0.6373068,0.26718
85,274,-0.80750316,-0.29067805,1.5358039,-0.7015953,-0.58876944,0.20120613
85,276,0.35663533,-1.4543535,0.5083096,-1.257867,-1.0471586,0.105435416
85,282,-0.9855661,-0.3771502,0.5557096,-0.87474006,-0.4051543,0.355202
85,290,0.36851943,-1.6433196,0.3277416,-0.30630118,-1.0106778,0.51042396
85,291,-0.5881389,-0.86711735,-0.5046699,-1.25495,-0.5118181,0.3322353
85,293,-0.6551928,-0.9223223,-1.0775763,-0.732976,-0.83386374,-0.12951991
85,294,-1.3237964,-0.065515846,-1.4258537,-0.311536,0.043001078,0.1194737
85,301,-0.58055913,-0.55121666,-0.22185154,-1.0072076,-0.41609675,0.19448027
85,302,-0.2307226,-1.2427088,-0.9057904,-1.1167691,-0.3296185,-0.013369614
85,303,-1.0124516,0.2525549,-1.240082,-0.17629927,-0.15814887,-0.07212766
85,304,-0.95189834,-0.1863693,0.1174003,-0.72463906,-0.16625145,0.35558861
85,305,-0.61841124,-0.71438843,0.2630564,-1.2532629,-0.5578187,0.38903672
85,306,-0.9405071,-1.9374043,1.2883794,-1.2465473,-0.12718108,0.63165635
85,308,-0.5742377,-0.87554026,-1.65834,-0.6040617,-0.3789361,-0.31492805
85,314,-0.026604518,-1.5874953,0.08689519,-1.1752808,-1.2146184,0.06965182
85,320,0.14091264,-0.0793078,2.1480992,-0.0455797,-1.6540529,-1.1173152
85,324,-1.872032,-0.29603496,-0.6405839,0.59498304,0.23781538,-0.5039914
85,325,-0.2629158,-1.5423161,-1.3364314,-0.18265995,-0.74542606,-0.2107221
85,326,-1.0635147,-1.8761599,0.6410452,-0.8925549,0.035450004,0.36479124
85,331,-1.5105447,-1.6162158,-0.47082177,-0.59107566,0.25938347,0.2996062
85,333,-0.5674004,-0.6885793,-0.81388164,-0.6032566,-0.7941231,-0.1567396
85,336,-1.8318667,-0.4553415,-1.0496247,0.107270874,0.36561793,-0.013671904
85,340,-0.4590531,-1.422406,-1.6968846,0.34557915,-0.44189677,-0.45498875
85,341,-1.1327752,-0.10807517,0.47466955,-0.18562776,-0.27587038,0.02232413
85,344,-0.7969038,-1.754979,0.9536232,0.008309436,-0.1777731,1.3139751
85,356,-0.9948173,-0.35040376,-0.7605783,-0.79374117,-0.24019848,0.19568223
85,364,-0.3677362,-0.06686965,1.3859241,-0.83971864,-0.6920796,0.14192824
85,366,-0.42889732,0.6286684,2.8686764,0.2694218,-0.6978495,-0.28987938
85,367,-0.7162012,-0.6959063,-0.5421238,-1.057006,-0.636813,0.149344
85,369,-1.2287778,-0.09446127,0.86583585,-0.23968706,-0.14493959,0.060100466
85,372,-0.88400185,-0.08380357,0.09706725,-0.6719804,-0.32276756,0.30979908
85,373,-0.7058817,-0.8056993,0.3218706,-1.1888635,0.22621849,0.42388788
85,375,-0.5329046,-0.948208,-0.94544476,-0.9696874,-0.74581933,-0.019275704
85,377,-1.0181786,0.9204624,-0.2773427,0.32362205,0.111298405,0.17071891
85,383,-0.65813446,-2.27141,1.0381998,-1.0751865,0.2950831,0.67826694
85,385,0.91249484,-0.8609926,-1.2700807,-0.9447792,-0.7381255,-0.42146042
85,386,-0.8512061,-0.5522526,-1.7434314,-0.57866794,-0.36195236,-0.22637309
85,387,-0.85978955,0.34624112,0.944756,-0.23866464,-0.14703083,0.18302105
