gene_ID,ndimage_ID,PCA01 (40.51),PCA02 (18.75),PCA03 (14.83),PCA04 (7.04),PCA05 (4.83),PCA06 (2.85)
85,169,-0.20575795,-0.0030284014,0.49785945,-0.37820134,-0.8005545,0.0752201
85,188,0.9344003,-0.29831338,1.7281601,-0.40240043,-1.0478333,0.104178876
85,199,-0.94681776,-0.72915053,0.82329273,0.5213222,-0.06705247,-0.35600013
85,209,-1.374962,0.44187558,-0.8450759,-0.32220232,0.12203585,0.19003348
85,224,-0.47358915,0.5615987,0.2582978,-0.80825466,-0.49277005,0.30895048
85,227,-0.62896967,0.58244973,-0.05346983,-0.63560414,-0.5085184,0.2679307
85,233,-0.79895043,0.11018203,0.15845877,-0.28302544,-0.45371252,0.10824826
85,235,-0.08622229,-0.028882062,1.0143535,-0.52453005,-0.5438541,0.15468813
85,236,-0.18641439,1.3107932,3.0389025,-0.78095293,-0.62991196,1.3229032
85,243,-1.3233982,0.24557403,-0.31498408,-0.13769184,0.11543202,0.07355102
85,256,-0.33089355,0.3758486,0.883036,-0.7739368,-0.6179953,0.35952222
85,261,-0.07618065,1.2069818,0.20206474,-0.7465736,-0.52083874,0.19055669
85,271,-0.13053472,1.0226225,0.5086842,-0.73022926,-0.9802398,0.17585628
85,272,-0.2684358,0.55335647,0.6054009,-0.7264477,-0.7234808,0.23339479
85,274,-0.6209436,-0.16439149,1.1174753,-0.19080177,-0.5473955,0.022967825
85,276,0.11644378,0.8468683,0.7715882,-0.6282392,-0.9632721,0.042348184
85,282,-0.8158027,0.07009222,0.4726692,-0.37357092,-0.42071664,0.11502035
85,290,0.24943265,1.0710819,0.7792136,-0.15643829,-0.93742925,0.26678926
85,291,-0.6146812,0.6594167,-0.08949021,-0.7049433,-0.5634805,0.25258848
85,293,-0.72079456,0.8832834,-0.5968205,-0.3460577,-0.64115095,0.0037398138
85,294,-1.2163231,0.32445854,-1.0048131,-0.20161733,0.038656045,0.12856537
85,301,-0.58994615,0.41030043,-0.013659684,-0.5071175,-0.4446092,0.19743794
85,302,-0.41883117,1.0761191,-0.20333154,-0.78460705,-0.49668542,0.28085518
85,303,-0.9221223,0.071802035,-0.9369102,-0.07809677,-0.04698238,0.05472136
85,304,-0.8189323,0.049905848,0.11517235,-0.37402746,-0.21412565,0.14827268
85,305,-0.5728215,0.3744187,0.37274072,-0.6079674,-0.59351164,0.21817447
85,306,-0.85270095,1.1251144,1.7070992,-0.814987,-0.49471802,1.0582094
85,308,-0.7299473,0.99120516,-0.9895806,-0.445946,-0.28769848,-0.043710914
85,314,-0.16982931,1.0563105,0.48415437,-0.5390686,-1.0903057,0.078217305
85,320,0.18424824,-0.4264272,1.3906819,0.3663697,-0.99002105,-0.63415456
85,324,-1.662863,0.25165513,-0.35028014,0.2755758,0.28711146,-0.3031828
85,325,-0.4775769,1.4472153,-0.59259343,-0.21885149,-0.5740268,0.016262667
85,326,-1.0054115,1.1182271,1.3175788,-0.6814358,-0.4529165,0.62454396
85,331,-1.4339554,1.3385228,0.32838798,-0.5520653,-0.07619765,0.89446765
85,333,-0.6178495,0.6116501,-0.36915296,-0.2551078,-0.6156734,0.019154575
85,336,-1.6577334,0.5005323,-0.63944644,-0.07312362,0.26327193,-0.020124793
85,340,-0.65823096,1.4161425,-1.0504215,0.10945413,-0.18631138,-0.35990125
85,341,-0.95191884,-0.064198904,0.35658708,0.0069486653,-0.22429772,-0.033624057
85,344,-0.68252194,1.2344253,1.1102077,0.59556645,-0.15965483,1.1145006
85,356,-0.9375651,0.39318338,-0.4797425,-0.42363518,-0.2518301,0.14043565
85,364,-0.25020933,-0.34178632,1.0232182,-0.25336552,-0.59420997,0.046968438
85,366,-0.18134548,-1.067245,1.8801918,0.43437842,-0.43949252,-0.26910615
85,367,-0.7097114,0.55539834,-0.23552659,-0.5149947,-0.5609085,0.12407778
85,369,-0.97437745,-0.18341728,0.61051774,-0.0657187,-0.13945384,-0.0655213
85,372,-0.7199877,-0.022315107,0.1473427,-0.26673254,-0.35495234,0.23065889
85,373,-0.6736376,0.4109613,0.5127358,-0.7329409,-0.19751053,0.26734915
85,375,-0.63603616,0.8484935,-0.45170113,-0.50979733,-0.6315684,0.062238276
85,377,-0.77355963,-0.6361876,-0.2792002,0.23246545,0.11665854,0.16022463
85,383,-0.56062096,1.467299,1.863325,-0.9836644,-0.22074394,1.1732377
85,385,0.5136657,0.9281978,-0.6998582,-0.5888478,-0.6701693,-0.018995726
85,386,-0.9401816,0.78455424,-1.181947,-0.3590361,-0.23209333,-0.031173263
85,387,-0.65435576,-0.48873335,0.57843745,-0.062227402,-0.12662137,0.006603856
85,393,-0.023226138,0.8868593,0.12262556,-0.85138905,-0.117891245,0.14106655
85,395,-0.6830187,0.08323702,0.39349842,-0.36739773,-0.37416092,0.16150047
85,397,-0.4753533,0.68318474,-0.177373,-0.65267664,-0.39978456,0.10793008
85,398,-0.8458008,0.51969856,-0.33981684,-0.5757322,-0.0992706,0.17659377
85,401,-0.33660978,-0.14138667,0.7110718,-0.30669066,-0.5532095,0.07353908
85,405,-0.2727785,0.34333286,0.46874017,-0.7348011,-0.14859608,0.10955507
85,406,-0.11400063,-0.13842162,0.35606167,-0.4396954,-0.40925923,0.30903697
85,407,-1.0571234,-0.02761028,0.41513082,-0.066326395,0.048599735,-0.058624286
85,422,-1.079979,-0.1498003,-0.019611038,-0.004143985,-0.00019968615,0.013734127
85,424,-0.54855967,0.5498848,-0.16055289,-0.74790066,-0.22959414,0.20766638
85,426,-0.07502582,-0.41511846,2.513623,0.43593413,-0.13646045,0.42989442
85,427,-1.1375394,0.16584817,-0.59664893,-0.2308843,0.06766505,0.12361264
85,428,-0.22702457,-1.3560351,1.9909142,0.82289845,-0.21246973,-0.4561736
85,433,-0.60402083,-0.5829185,1.1227183,0.15862148,-0.2591366,-0.09256753
85,434,-0.5293953,-0.82748723,0.3615508,0.1727176,-0.09367211,0.022572974
85,437,-0.8488519,-0.21551956,-0.07171366,0.063584104,-0.15909515,-0.07173535
85,439,0.34093326,-0.81452316,2.3205187,-0.4004946,-0.5573172,0.16776854
85,442,-0.39988524,0.9155328,1.3582519,-1.0252712,-0.20894781,0.880363
