Label.ID.,Cell.ID.,Transcript.Count
1,1,4098
2,2,10
3,3,191
4,4,11
5,5,10
6,7,20
7,8,14
8,9,38
9,10,73
10,11,28
11,12,74
12,14,63
13,15,6
14,16,26
15,18,69
16,19,41
17,20,2
18,21,17
19,22,44
20,23,38
21,24,35
22,25,68
23,26,14
24,27,34
25,28,13
26,29,60
27,30,40
28,31,4
29,32,0
30,33,3
31,34,36
32,35,14
33,36,21
34,37,24
35,38,22
36,39,0
37,40,54
38,41,51
39,42,0
40,43,54
41,44,27
42,45,93
43,46,91
44,47,54
45,48,90
46,49,2
47,50,15
48,51,127
49,52,29
50,53,76
51,54,33
52,55,16
53,56,63
54,57,16
55,58,64
56,59,16
57,60,69
58,61,40
59,62,51
60,63,3
61,64,100
62,65,40
63,66,0
64,67,17
65,68,79
66,69,53
67,70,37
68,71,55
69,72,14
70,73,123
71,74,49
72,75,23
73,76,47
74,77,18
75,78,36
76,79,30
77,80,1
78,81,25
79,82,15
80,83,55
81,84,116
82,85,164
83,86,23
84,89,0
85,88,157
86,90,18
87,91,58
88,93,7
89,92,38
90,94,80
91,96,29
92,98,85
93,99,38
94,100,45
95,101,49
96,102,48
97,103,11
98,104,37
99,105,0
100,106,72
101,108,0
102,109,43
103,111,0
104,112,63
105,114,56
106,115,29
107,116,0
108,117,31
109,118,51
110,119,73
111,120,169
112,121,2
113,122,0
114,123,13645
115,124,29
116,125,31
117,126,9
118,127,7
119,128,33
120,129,34
121,130,62
122,131,162
123,132,337
124,133,7
125,134,40
126,135,20
127,136,17
128,137,42
129,138,21
130,139,68
131,140,11
132,141,29
133,142,16
134,143,57
135,145,1
136,144,100
137,146,18
138,147,2
139,150,7
140,151,0
141,152,198
142,154,102
143,155,83
144,156,55
145,157,25
146,158,0
147,159,276
148,160,9
149,161,18
150,162,57
151,164,1
152,165,24
153,166,18
154,168,34
155,169,39
156,170,117
157,171,192
158,172,12
159,173,43
160,174,56
161,175,34
162,176,43
163,177,71
164,178,5
165,179,4
166,180,8
167,181,30
168,182,0
169,183,83
170,184,5
171,185,11
172,186,5
173,187,8
174,188,14
175,189,42
176,190,4
177,191,1
178,192,51
179,193,33
180,194,2
181,195,4
182,196,0
183,197,17
184,198,2
185,199,38
186,200,15
187,201,10
188,203,0
189,202,5
190,204,6
191,206,41
192,205,46
193,207,11
194,208,3
195,209,10
196,210,0
197,211,46
198,213,26
199,212,2
200,214,11
201,215,3
202,216,9
203,217,19
204,218,15
205,219,23
206,220,2
207,221,0
208,222,44
209,223,26
210,224,5
211,225,0
212,226,4
213,227,1
214,228,24
215,229,0
216,230,17
217,231,1
218,232,38
219,233,23
220,234,0
221,235,0
222,236,2
223,237,0
224,238,6
225,239,3
226,240,1
227,241,2
228,242,0
229,243,1
230,244,1
231,245,25
232,246,0
233,247,0
234,248,25
235,250,0
236,249,0
237,251,5
238,252,10
239,253,22
240,254,1
241,255,70
242,256,0
243,259,0
244,257,6
245,258,11
246,260,37
247,262,28
248,261,17
249,264,1
250,263,12
251,265,4
252,266,0
253,267,0
254,268,10
255,269,1
256,270,0
257,272,0
258,271,5
259,274,17
260,273,68
261,275,13
262,276,1
263,277,0
264,278,0
265,279,5
266,280,0
267,281,28
268,284,9
269,282,0
270,283,0
271,287,0
272,285,1
273,286,4
274,289,2
275,288,27
276,290,7
277,291,2
278,292,0
279,293,6
280,294,0
281,295,0
282,296,92
283,297,4
284,298,38
285,299,2
286,300,1
287,301,1
288,302,0
289,303,0
290,307,12
291,304,0
292,305,5
293,306,0
294,308,5
295,309,8
296,310,9
297,312,0
298,311,13
299,313,12
300,314,77
301,315,3
302,316,2
303,317,200
304,318,0
305,319,0
306,320,1
307,321,0
308,322,21
309,323,1
310,324,14
311,325,1
312,326,5
313,327,4
314,328,1
315,329,14
316,330,1
317,331,32
318,332,1
319,333,6
320,334,53
321,335,3
322,336,10
323,338,36
324,337,2
325,339,12
326,340,6
327,341,2
328,342,1
329,343,0
330,346,26
331,344,18
332,345,1
333,347,1
334,348,2
335,349,1
336,350,0
337,351,9
338,353,127
339,352,3
340,354,2
341,355,1
