count,sum_10_-_GLYMA_17G195900,mean_10_-_GLYMA_17G195900,sum_15_-_GLYMA_17G195900,mean_15_-_GLYMA_17G195900,sum_20_-_GLYMA_17G195900,mean_20_-_GLYMA_17G195900,sum_25_-_GLYMA_17G195900,mean_25_-_GLYMA_17G195900,sum_30_-_GLYMA_17G195900,mean_30_-_GLYMA_17G195900,sum_10_-_GLYMA_05G092200,mean_10_-_GLYMA_05G092200,sum_15_-_GLYMA_05G092200,mean_15_-_GLYMA_05G092200,sum_20_-_GLYMA_05G092200,mean_20_-_GLYMA_05G092200,sum_25_-_GLYMA_05G092200,mean_25_-_GLYMA_05G092200,sum_30_-_GLYMA_05G092200,mean_30_-_GLYMA_05G092200
18018,0.0016638556917947965,9.234408323869445e-08,0.0015413415717350164,8.554454277583618e-08,0.0014725401416119763,8.172605958552427e-08,0.0014289927846701123,7.93091788583701e-08,0.001402158033788026,7.781984869508413e-08,0.0074532730636887815,4.1365706869179607e-07,0.006579599392179537,3.6516813143409573e-07,0.005869713960008553,3.2576945054992524e-07,0.0052812076980407255,2.931073203485806e-07,0.004790386146059892,2.65866696973021e-07
20790,0.0024757894246997913,1.1908559041365037e-07,0.0022174576183714018,1.0665981810348252e-07,0.002050445275726748,9.862651638897297e-08,0.001941531972619983,9.338778127080246e-08,0.0018708375810257867,8.998737763471797e-08,0.01010702272221925,4.86148279087025e-07,0.008509056587949638,4.0928603116640876e-07,0.007336616099842486,3.5289158729401087e-07,0.006455678234738559,3.105184336093583e-07,0.005771941680983773,2.7763067248599196e-07
19932,0.002682395470782822,1.3457733648318394e-07,0.0024694104556060334,1.2389175474643957e-07,0.002278623398030418,1.1431985741673782e-07,0.002139426111660411,1.073362488290393e-07,0.0020425921673161373,1.0247803368031995e-07,0.008527712800643355,4.2784029704211095e-07,0.007641916193019452,3.833993675004742e-07,0.006774155080042173,3.398632891853388e-07,0.0060515356965572305,3.036090556169592e-07,0.005462146663443983,2.7403906599658755e-07
18238,0.0024907672601897457,1.3657019740046856e-07,0.002394412093764222,1.3128698836299056e-07,0.002256883437370161,1.237462132563966e-07,0.0021372814546502966,1.1718836794880451e-07,0.002045114178524826,1.1213478333834992e-07,0.005489921234907571,3.010155299324252e-07,0.0057156983722833204,3.133950198642022e-07,0.005469985654813197,2.999224506422413e-07,0.005095256513736436,2.7937583691942296e-07,0.004717328780765262,2.5865384256855257e-07
18370,0.0024477591332909138,1.3324763926461152e-07,0.002434402145446491,1.32520530508791e-07,0.0023669266994352078,1.2884739790066456e-07,0.0022833637033036766,1.2429851406116912e-07,0.002205582574135068,1.2006437529314468e-07,0.0031124715334865886,1.6943230993394603e-07,0.004034868817777755,2.1964446476743358e-07,0.00438374098933442,2.3863587312653347e-07,0.004391034112096128,2.3903288579728514e-07,0.0042503165003229945,2.313727000720193e-07
17358,0.0022206011676591726,1.2792955223292847e-07,0.002267643531538459,1.3063967804692124e-07,0.0022739508361202033,1.3100304390599165e-07,0.0022424926341267663,1.291907267039271e-07,0.0021941165843175695,1.2640376681170466e-07,0.0013340487405821976,7.685497986992727e-08,0.002319717513241728,1.3363967699284066e-07,0.0030179630427285224,1.7386582801754363e-07,0.003355869990988174,1.933327567109214e-07,0.003460755987783333,1.9937527294523176e-07
16544,0.0020158700883642173,1.2184901404522591e-07,0.0021137044632510223,1.2776260053499894e-07,0.0021761905555750393,1.3153956452943903e-07,0.0021896606641220572,1.3235376354702958e-07,0.0021706654464108935,1.3120560000065846e-07,0.00047747043724299525,2.8860640549020506e-08,0.0011568959620098557,6.992843097254931e-08,0.001881316576992914,1.1371594396717323e-07,0.0023923209910944143,1.4460354153133547e-07,0.00268003349835925,1.6199428786020613e-07
15950,0.0018911986208019573,1.1857044644526378e-07,0.0020072800245031475,1.2584827739831645e-07,0.0020965618545201446,1.3144588429593383e-07,0.0021413656740934743,1.3425490119708304e-07,0.0021492244938759748,1.347476171709075e-07,0.000149512556221113,9.37382797624533e-09,0.0005131403409521598,3.217180821016676e-08,0.0010898487138187322,6.832907296669168e-08,0.0016339922056097555,1.0244465238932636e-07,0.0020277259215989033,1.2713015182438264e-07
15026,0.0017895379494501551,1.1909609672901339e-07,0.0018962318742842756,1.2619671730894953e-07,0.0019808490728843624,1.3182810281407975e-07,0.002036031147540839,1.3550054222952478e-07,0.0020614703389019154,1.3719355376693169e-07,3.618021581385968e-05,2.40784079687606e-09,0.0001793623123709912,1.1936797043191215e-08,0.0005352335758417571,3.562049619604399e-08,0.0009846171866449063,6.55275646642424e-08,0.0013870112440183722,9.230741674553256e-08
14498,0.0017612560589430832,1.2148269133281025e-07,0.001841532673184493,1.2701977329179838e-07,0.0019121518817008512,1.3189073539114713e-07,0.001969232053388814,1.3582784200502238e-07,0.002006211784368926,1.3837852009718073e-07,9.317105793584506e-06,6.426476613039388e-10,5.9144829604007054e-05,4.0795164577187926e-09,0.00025203378328371266,1.738403802481119e-08,0.0005841387966857767,4.029099163234768e-08,0.0009469844241747862,6.53182800506819e-08
13904,0.001807146166560054,1.299731132451132e-07,0.001825766531463691,1.3131232245855085e-07,0.0018632202624242942,1.3400606030094175e-07,0.001906937937426161,1.3715031195527626e-07,0.0019438334805369736,1.3980390395116323e-07,2.093671252626641e-06,1.5058049860663415e-10,1.6741815900282236e-05,1.2041006832769158e-09,0.00010059705091569665,7.2351158598746154e-09,0.0003072492717461287,2.209790504503227e-08,0.0005880211484912348,4.2291509529001356e-08
12738,0.0017105854350845898,1.3428995408106374e-07,0.0017022847306480383,1.336383051223142e-07,0.0017216664208511178,1.3515986974808587e-07,0.0017552137019549163,1.3779350776848142e-07,0.0017903280137154247,1.4055016593777867e-07,2.622153094814094e-07,2.058528100811818e-11,3.9433381629942136e-06,3.0957278717178627e-10,3.5063989494787484e-05,2.7527076067504698e-09,0.00014910354160213785,1.1705412278390474e-08,0.00034596624671325417,2.7160170098387043e-08
11946,0.0015952313178331137,1.33536859018342e-07,0.0016064996123311259,1.3448012827148217e-07,0.0016254611345460222,1.3606739783576278e-07,0.0016538489302436571,1.3844374102156848e-07,0.0016863414834044318,1.411636935714408e-07,4.970740788449418e-09,4.161008528753908e-13,9.610730796209457e-07,8.045145484856401e-11,1.0992108183289886e-05,9.201496888740906e-10,6.654895076006585e-05,5.570814562202063e-09,0.00019543883047679896,1.6360190061677462e-08
11220,0.001465304688677999,1.305975658358288e-07,0.0015116759934192807,1.3473048069690558e-07,0.0015378752482992893,1.370655301514518e-07,0.001563553671261622,1.3935415964898594e-07,0.0015922832127196016,1.4191472484131922e-07,3.1744900094516013e-12,2.8293137339140833e-16,1.950835692528395e-07,1.7387127384388546e-11,3.01243585460574e-06,2.68488044082508e-10,2.6322228164664255e-05,2.3460096403444077e-09,0.0001034238693982696,9.217813671860036e-09
10428,0.0013349228664293817,1.2801331668866339e-07,0.0013880446377493867,1.331074643027797e-07,0.0014219820283942562,1.3636191296454316e-07,0.0014503765354324904,1.3908482311397109e-07,0.0014790189717578427,1.4183150860738807e-07,2.9504083606678745e-12,2.8293137328997645e-16,8.411469549121546e-09,8.066234703798951e-13,8.271058889850336e-07,7.931586967635536e-11,9.628139800306355e-06,9.232968738306822e-10,5.053388941211712e-05,4.845980956282808e-09
9680,0.001254011007815463,1.2954659171647347e-07,0.0012864812708955618,1.329009577371448e-07,0.0013182193012698166,1.3617967988324553e-07,0.0013461160377391697,1.3906157414660845e-07,0.0013723295912092376,1.417695858687229e-07,2.7387756925349483e-12,2.8293137319575914e-16,1.5387669796529516e-11,1.5896353095588343e-15,2.1587426193117467e-07,2.230106011685689e-11,3.068642883812642e-06,3.1700856237733907e-10,2.1847876281887085e-05,2.257012012591641e-09
