,UMAP01,UMAP02,gene_ID,ndimage_ID
0,7.1523495,2.7503645,85,742
1,5.126934,11.292814,85,842
2,4.9789834,11.378857,85,2052
3,7.019847,6.7100167,85,1145
4,2.2570634,10.8886385,85,896
5,5.0870657,10.928176,85,2152
6,10.472515,5.2302294,85,558
7,7.0500207,7.6057115,85,751
8,5.089519,9.49388,85,746
9,3.4510255,9.3547535,85,236
10,10.40737,5.5447135,85,810
11,3.8292303,10.815893,85,1526
12,7.4918375,10.044265,85,2064
13,7.951566,8.286281,85,1980
14,6.328945,11.024882,85,1775
15,9.497876,3.9139626,85,302
16,5.605405,11.04866,85,1323
17,8.408036,9.431841,85,2156
18,8.297325,7.455118,85,2308
19,6.5100064,9.961069,85,618
20,7.798649,9.460476,85,2108
21,4.708522,11.208713,85,1964
22,7.967972,8.221658,85,611
23,9.835975,6.228745,85,1641
24,5.289654,11.122044,85,2056
25,8.355834,9.886923,85,598
26,6.1802726,11.036043,85,813
27,4.187804,10.113953,85,1862
28,9.725465,9.282108,85,1060
29,10.35647,5.7753615,85,1614
30,4.737373,10.27963,85,797
31,7.7070932,7.0439906,85,1394
32,10.052007,4.3680577,85,954
33,8.741711,5.0927896,85,227
34,6.094101,11.153055,85,1021
35,5.67652,10.26214,85,1434
36,9.529249,8.5481615,85,671
37,3.5285656,10.359525,85,1796
38,3.587307,10.654557,85,1859
39,8.709018,6.1821213,85,387
40,7.8899894,10.454364,85,1827
41,3.6546457,10.383109,85,2010
42,10.126296,7.9370704,85,1146
43,3.0361245,5.8903074,85,1722
44,3.9383214,11.400365,85,2037
45,6.667741,2.5474827,85,1880
46,10.25776,8.065478,85,1587
47,7.210699,10.823921,85,2146
48,9.492855,7.02942,85,1193
49,7.1311646,7.643403,85,1041
50,6.6956115,10.281478,85,1751
51,2.9019396,11.044931,85,556
52,1.9174821,10.553676,85,1619
53,3.4158144,11.067459,85,1379
54,9.448593,4.9533005,85,1708
55,8.9981575,9.534548,85,1065
56,8.862845,9.505346,85,1027
57,7.197817,4.748715,85,1303
58,8.754886,8.980035,85,750
59,5.39711,10.759614,85,662
60,9.1813545,8.9898815,85,1802
61,2.1988735,11.181208,85,931
62,5.5434937,5.388357,85,512
63,1.7433201,10.8029175,85,2119
64,6.891328,9.578789,85,2323
65,4.525461,10.514603,85,1155
66,7.108783,2.6496694,85,1667
67,4.473022,11.33433,85,516
68,2.6059694,11.323261,85,2135
69,7.823746,9.608233,85,256
70,1.4506656,10.310842,85,1890
71,6.064108,4.8104863,85,1643
72,9.175012,10.3018465,85,550
73,7.619364,10.29729,85,1031
74,6.3147,11.128277,85,1624
75,10.330223,4.6154346,85,1970
76,4.6004863,10.9842825,85,743
77,8.681631,9.232646,85,2433
78,7.6437287,10.188954,85,1682
79,7.962917,10.23152,85,1225
80,9.91061,6.169933,85,1800
81,7.1592116,10.3838825,85,1998
82,9.39194,5.9639883,85,1480
83,5.9784274,10.221144,85,326
84,6.856746,11.031912,85,1245
85,5.837655,4.695366,85,1237
86,3.3705347,11.3566675,85,2150
87,7.009842,9.749908,85,845
88,8.738427,10.785183,85,800
89,4.5304904,11.448665,85,1777
90,4.986085,10.5501995,85,1214
91,3.8058822,11.454057,85,482
92,4.1916614,8.143442,85,1714
93,6.291026,10.182979,85,503
94,3.4716487,9.170178,85,560
95,7.226747,10.58594,85,811
96,7.8758307,9.776462,85,2226
97,7.1217227,2.5847287,85,2265
98,2.6572878,12.187911,85,665
99,9.169814,8.80242,85,2182
100,8.312156,2.858565,85,971
101,9.013128,10.396254,85,2275
102,8.7198105,8.827119,85,511
103,2.810995,11.406325,85,1630
104,6.851811,9.666946,85,715
105,3.8742576,8.447726,85,1425
106,6.1950088,9.243973,85,1254
107,7.0948405,7.4840665,85,490
108,9.518496,6.3931565,85,1493
109,6.924236,6.411975,85,1113
110,9.662169,6.9636765,85,1129
111,9.021205,7.247457,85,1353
112,5.1153927,10.067515,85,306
113,4.0268903,6.567156,85,938
114,4.5722003,10.974454,85,681
115,9.351386,8.154015,85,272
116,5.8164334,9.389356,85,1267
117,9.186168,9.289139,85,947
118,7.6127176,10.246149,85,1305
119,8.899541,9.632417,85,2036
120,2.7097402,9.115092,85,502
121,6.10313,3.9367328,85,1655
122,6.766941,10.368575,85,1576
123,8.159641,7.2690506,85,946
124,8.675924,9.32216,85,1578
125,9.214114,6.0467963,85,661
126,5.316538,10.104101,85,1976
127,8.958032,4.102771,85,224
128,4.0847178,10.536073,85,2360
129,8.346466,7.4111543,85,2438
130,6.196171,3.205416,85,1349
131,3.9182148,10.966468,85,1258
132,9.384108,6.0500264,85,978
133,9.051764,9.415765,85,1133
134,7.131116,6.4920173,85,1403
135,3.6665754,11.3490095,85,344
136,4.9798665,10.708085,85,1150
137,5.696891,10.241434,85,1090
138,5.5765524,11.147097,85,1038
139,7.0048313,9.86495,85,498
140,6.941625,10.273207,85,1264
141,6.962677,9.334458,85,1495
142,4.63422,11.239516,85,1736
143,4.612147,11.154479,85,1497
144,9.753439,3.5926216,85,2050
145,8.01258,9.5936775,85,475
146,8.997124,8.845957,85,1140
147,9.2261095,8.201018,85,1731
148,7.642805,2.4779205,85,639
149,9.177,7.66778,85,2011
150,9.4093275,7.145992,85,1168
151,5.4571915,10.954078,85,2279
152,7.734727,10.083916,85,985
153,4.853668,10.091553,85,852
154,7.0093203,10.845246,85,574
155,7.8797526,8.505103,85,1131
156,8.052695,10.471288,85,2106
157,9.480838,3.8733907,85,1995
158,9.433349,7.1406155,85,1545
159,3.4961035,12.284349,85,582
160,4.050318,10.818252,85,1543
161,6.364616,11.129582,85,632
162,7.9638915,5.872688,85,1098
163,9.718622,9.340843,85,1272
164,9.231225,8.687508,85,2312
165,8.36213,3.9320593,85,1780
166,8.665398,9.598729,85,2096
167,7.619123,5.048381,85,993
168,7.343474,2.8603036,85,1239
169,5.256558,10.928549,85,583
170,7.7931433,9.191815,85,1969
171,7.428322,9.742431,85,1048
172,3.5461247,9.968205,85,1537
173,6.378134,2.6422749,85,626
174,8.821615,9.689238,85,1275
175,9.068623,5.037078,85,951
176,8.733054,8.858954,85,615
177,9.49661,8.711177,85,314
178,8.786356,9.724683,85,407
179,6.7222915,10.185567,85,1990
180,3.894288,10.924025,85,581
