gene_ID,ndimage_ID,PCA01 (39.15),PCA02 (25.26),PCA03 (9.57),PCA04 (6.30),PCA05 (3.90),PCA06 (3.42)
85,742,-1.3008728,0.092492975,-0.025660997,-0.26136428,0.012238628,-0.058148853
85,842,-0.8698102,-0.6826608,-0.118593164,0.35349214,0.2966026,0.1291758
85,2052,-1.1043196,-0.36295062,-0.05900978,0.14702818,0.17265217,0.053001076
85,1145,-0.8718145,-0.055564623,-0.3239989,-0.34409937,0.24864288,0.0077876477
85,896,-0.54525536,-0.92172176,-0.044301912,0.46929017,0.17946301,0.09837661
85,2152,-0.8394195,-0.6516954,-0.29694876,0.2409655,0.5422757,0.11135994
85,558,-1.3571138,0.18235385,0.023459438,-0.31265876,-0.08104073,-0.08413575
85,751,-0.82119757,-0.47754768,-0.28890976,0.053739768,0.41564643,0.038546376
85,746,-0.9462182,-0.37730184,-0.1328732,0.05777002,0.20001514,0.0013326702
85,236,-0.5513093,-0.42298698,-0.5136668,-0.16460834,0.5381197,0.054940756
85,810,-1.3562498,0.12365243,0.014711707,-0.24777894,-0.033876408,-0.059683573
85,1526,-0.8166777,-1.0520473,-0.20953415,0.7253829,0.5929758,0.23010273
85,2064,-1.1225657,-0.4375957,-0.15155327,0.20545436,0.3842257,0.09253885
85,1980,-0.9520818,-0.35827222,-0.17829469,0.018948812,0.25908226,0.020756274
85,1775,-0.66070837,-0.44886455,-0.39338395,-0.05497356,0.43278325,-0.005811292
85,302,-1.2253484,-0.110242255,-0.049309835,-0.07778008,0.106491156,0.0017120843
85,1645,-1.2782599,0.0091947885,-0.034633998,-0.1792621,0.054850813,-0.038962442
85,1323,-1.1919129,-0.28575623,-0.06534143,0.106582746,0.19971254,0.052234486
85,2156,-1.1187898,-0.29722536,-0.0936041,0.07312841,0.20328191,0.041661378
85,2308,-1.2395688,-0.070194714,-0.030228661,-0.10570734,0.0604449,-0.025173357
85,618,-1.1864206,-0.1987923,0.037352003,0.040526614,-0.021962645,0.011524162
85,325,-1.2721895,-0.014762464,-0.035992023,-0.15517111,0.06530061,-0.034273524
85,2108,-1.2412543,-0.0821988,-0.06547193,-0.10591535,0.12990025,-0.011093586
85,1964,-1.0854038,-0.4461761,-0.1511195,0.19414803,0.36062387,0.08615455
85,611,-0.93869466,-0.28036737,-0.2523679,0.09975543,0.30683953,0.14122018
85,1641,-1.3248416,0.09312862,-0.0038425832,-0.23850384,-0.00884835,-0.058621272
85,2056,-1.1354506,-0.25735113,-0.09989135,0.025935553,0.20373733,0.030581849
85,598,-1.2656279,-0.06257731,-0.020004235,-0.095731266,0.057638753,-0.017151982
85,813,-1.1911857,-0.2653783,-0.018802589,0.10118583,0.108707264,0.03711916
85,1862,-0.7929645,-0.54554355,-0.19711384,0.14355677,0.3007262,0.012624092
85,1060,-1.2622688,-0.041303605,-0.039884504,-0.12928565,0.07773208,-0.015338594
85,1614,-1.3237698,0.03679205,-0.010700747,-0.17560753,0.033243053,-0.03595407
85,797,-0.46299425,-0.8298575,-0.41822147,0.2758542,0.54905534,0.0505985
85,1394,-1.06544,-0.013816558,-0.2163278,-0.31575674,0.20972344,0.006456788
85,954,-1.2313714,-0.061112437,-0.06754812,-0.13586755,0.11409597,-0.020954369
85,227,-1.219522,-0.060340863,-0.0415526,-0.1307052,0.05902945,-0.033783518
85,1021,-1.1745913,-0.22867024,-0.058833674,0.029087547,0.14862698,0.02834691
85,1434,-0.7997052,-0.35140362,-0.36899155,-0.11888557,0.45321882,0.037091553
85,671,-1.2196767,-0.20141692,-0.082936056,0.01280588,0.21011734,0.026389347
85,1796,-0.92307204,-0.6606876,-0.15111528,0.3539307,0.3591703,0.10479277
85,1859,-1.1036632,-0.32263714,-0.029931175,0.1040735,0.11458283,0.051638976
85,387,-1.0434716,-0.37973303,-0.14351347,0.10732988,0.27289456,0.023989288
85,1827,-1.0572577,-0.42666596,-0.09371511,0.18086466,0.23072428,0.054347556
85,2010,-0.9415405,-0.57709724,-0.081896886,0.28352666,0.23721755,0.1041026
85,1146,-1.3195858,0.064373374,0.016833946,-0.19570065,-0.037744775,-0.052055877
85,1722,0.12279821,-0.12534873,-1.0696877,-0.5696667,0.68919164,0.3079143
85,2037,-1.0990067,-0.44540146,-0.0862198,0.2342222,0.24992229,0.08472298
85,1880,-1.3387547,0.15444037,0.007624311,-0.29788464,-0.05144578,-0.07707816
85,1587,-1.2894953,0.010897401,0.005697721,-0.15741874,-0.009278439,-0.03613369
85,2146,-1.2119006,-0.16653629,-0.07727792,-0.029709743,0.17458913,0.015772277
85,1193,-1.3058367,-0.03589679,-0.023618806,-0.10600813,0.08162927,-0.012349648
85,1159,-1.278743,0.21844593,-0.040153675,-0.40131357,-0.05919383,-0.066382505
85,1041,-0.8592194,-0.45871058,-0.2994633,0.0438378,0.44435143,0.0672742
85,1751,-1.1345923,-0.40854305,-0.11000219,0.19719431,0.3030465,0.07767575
85,556,-0.896816,-0.83776265,-0.17925963,0.5540236,0.47993362,0.2091334
85,1619,-0.6092455,-0.80967736,-0.22749035,0.34114885,0.3585468,0.06462923
85,1379,-1.1054217,-0.239591,0.032930516,0.026579812,-0.017180856,0.025093317
85,1708,-1.3018717,0.04655226,-0.024471192,-0.20670255,0.036209334,-0.043113396
85,1065,-1.2276995,-0.08263978,-0.0737763,-0.11491028,0.13308863,-0.0036177298
85,1027,-1.2980852,-0.0038569628,-0.023148058,-0.14843121,0.05739682,-0.026778152
85,1303,-1.1287075,0.39843646,-0.17850322,-0.46679264,-0.0838358,0.13828397
