,ISO01,ISO02,gene_ID,ndimage_ID
0,-1.5859877,-0.20521195,85,742
1,-1.2418742,-1.395851,85,842
2,-1.5167452,-0.9686695,85,2052
3,-1.0890474,-0.29533476,85,1145
4,-0.7459621,-1.5602208,85,896
5,-1.3565278,-1.4859974,85,2152
6,-1.6236403,-0.100173414,85,558
7,-1.1625429,-1.0548173,85,751
8,-1.1809628,-0.8178783,85,746
9,-0.87512004,-0.84269434,85,236
10,-1.696077,-0.2687089,85,810
11,-1.6485184,-2.2830033,85,1526
12,-1.8108042,-1.2920412,85,2064
13,-1.2216611,-0.8209305,85,1980
14,-0.9056737,-0.8863037,85,1775
15,-1.5779006,-0.50636864,85,302
16,-1.586994,-0.34403077,85,1645
17,-1.7275032,-0.9188207,85,1323
18,-1.5120034,-0.8442356,85,2156
19,-1.5382358,-0.4129648,85,2308
20,-1.4275769,-0.6196366,85,618
21,-1.5862122,-0.37223783,85,325
22,-1.622984,-0.4930604,85,2108
23,-1.6866344,-1.2166443,85,1964
24,-1.4431574,-1.021726,85,611
25,-1.6209486,-0.23644324,85,1641
26,-1.5183394,-0.7770087,85,2056
27,-1.607779,-0.43706244,85,598
28,-1.6059129,-0.84094363,85,813
29,-1.0652562,-1.0950822,85,1862
30,-1.6111948,-0.3964423,85,1060
31,-1.7066282,-0.37627122,85,1614
32,-0.63199353,-1.4838209,85,797
33,-1.3357784,-0.32711777,85,1394
34,-1.5594642,-0.43290034,85,954
35,-1.49524,-0.3832771,85,227
36,-1.57517,-0.72128356,85,1021
37,-1.1335703,-0.87074226,85,1434
38,-1.7349694,-0.7746682,85,671
39,-1.3900609,-1.4081,85,1796
40,-1.4677688,-0.8850245,85,1859
41,-1.4517508,-0.98701906,85,387
42,-1.4856936,-1.046752,85,1827
43,-1.3559881,-1.267861,85,2010
44,-1.5881408,-0.2624499,85,1146
45,-0.11863625,-0.4664079,85,1722
46,-1.6037842,-1.1817043,85,2037
47,-1.6093285,-0.13453244,85,1880
48,-1.574593,-0.32453865,85,1587
49,-1.6483333,-0.6614056,85,2146
50,-1.750111,-0.5111245,85,1193
51,-1.5037295,0.035956133,85,1159
52,-1.2338754,-1.0810727,85,1041
53,-1.7359259,-1.1801007,85,1751
54,-1.5817915,-1.9251702,85,556
55,-0.77707016,-1.3915449,85,1619
56,-1.3182042,-0.57799697,85,1379
57,-1.6390591,-0.31830412,85,1708
58,-1.6002948,-0.48491207,85,1065
59,-1.654998,-0.39294383,85,1027
60,-1.6083281,0.29733637,85,1303
61,-1.8188272,-0.9885946,85,750
62,-1.350344,-1.0790681,85,662
63,-1.6535809,-0.2638263,85,1802
64,-0.883783,-1.0688809,85,931
65,-1.347952,0.43460336,85,512
66,-0.5687954,-1.824638,85,2119
67,-1.3713552,-1.1689574,85,2323
68,-1.3287046,-1.7864536,85,1155
69,-1.5845872,-0.0926939,85,1667
70,-1.5605874,-0.6211306,85,516
71,-1.3630186,-1.9927486,85,2135
72,-1.5440005,-0.79022896,85,256
73,-0.5824433,-1.7666767,85,1890
74,-1.4707949,0.5144981,85,1643
75,-1.6139874,-0.18311597,85,550
76,-1.4769832,-0.618739,85,1031
77,-1.8274852,-1.2233772,85,1624
78,-1.6512145,-0.2107327,85,1970
79,-1.7082456,-0.8123733,85,743
80,-1.6869433,-0.031379245,85,1475
81,-1.7096307,-1.0488683,85,2433
82,-1.7604094,-0.61785513,85,1682
83,-0.84990305,-0.95864403,85,1225
84,-1.5964456,-0.37156513,85,1800
85,-1.2055751,-0.5134218,85,1998
86,-1.6240761,-0.47968274,85,1480
87,-1.514855,-1.46505,85,326
88,-1.3640618,-0.40297848,85,1245
89,-0.91573524,-0.0892636,85,1237
90,-1.4037321,-1.8073118,85,2150
91,-1.6874667,-0.7703336,85,845
92,-1.3164943,-0.55715305,85,800
93,-1.4107484,-0.7077459,85,1777
94,-1.3099082,-0.71451485,85,1214
95,-1.5640898,-1.7190853,85,482
96,-0.6627444,0.081890374,85,1714
97,-1.7542459,-0.8308955,85,503
98,-0.8330034,-1.8756529,85,560
99,-1.2304006,-0.96764684,85,811
100,-1.9871817,-1.6117485,85,2226
101,-1.6870471,-0.047635015,85,1611
102,-1.6090567,-0.084025174,85,2265
103,-0.9235481,-0.52900046,85,665
104,-1.648223,-0.35425568,85,2182
105,-1.615598,-0.24155569,85,971
106,-1.4705864,-0.9768073,85,2275
107,-1.6564391,0.0056481385,85,1728
108,-1.463793,-0.7444762,85,511
109,-1.2631867,-0.8849202,85,1630
110,-1.4205545,-0.38080755,85,715
111,-0.33319336,-1.3116548,85,1425
112,-1.3566661,-0.39659607,85,1254
113,-1.3649797,-0.44347528,85,490
114,-1.5696645,-0.42718437,85,1493
115,-1.314266,-0.12540975,85,1113
116,-1.5583805,-0.44113427,85,1129
117,-1.4874022,-0.16143177,85,1353
118,-1.5335495,-1.1631896,85,306
119,-0.57284814,0.25867513,85,938
120,-1.613949,-1.7355878,85,681
121,-1.5399095,-0.63199675,85,272
122,-1.0836368,-0.7961537,85,1267
123,-1.6817689,-0.45181334,85,947
124,-1.0279642,-0.7931105,85,1305
125,-1.6698663,-0.6181391,85,2036
126,-0.5656643,-0.6144008,85,502
127,-1.73284,0.58698964,85,1655
128,-1.4459549,-0.7895191,85,1576
129,-1.6545055,-0.027427142,85,706
130,-1.5313208,-0.99037987,85,946
131,-1.8109647,-0.75102377,85,1578
132,-1.5154965,-0.17961875,85,661
133,-1.3804914,-1.1636758,85,1976
134,-1.6918662,-0.67021406,85,224
135,-1.5053102,-1.6354424,85,2360
136,-1.6371772,-0.07947997,85,1625
137,-1.6320219,-0.7802752,85,2438
138,-2.0966043,0.54143745,85,1349
139,-1.4979638,-1.4173483,85,1258
140,-1.4626781,-0.67034465,85,978
141,-1.7099061,-0.6323896,85,1133
142,-1.0648829,-0.27258664,85,1403
143,-1.6132003,-0.058444537,85,398
144,-1.5195843,-1.1698192,85,344
145,-1.6363478,-1.3942395,85,1150
146,-1.1099633,-0.6549656,85,1090
147,-1.6790394,-1.5274245,85,1038
148,-1.4391047,-0.9701164,85,498
149,-1.4480156,-0.39359692,85,1264
150,-1.4831486,-0.9561005,85,1495
151,-1.268242,-1.1328802,85,1736
152,-1.5502621,-1.1588231,85,1497
153,-1.6507394,-0.2477274,85,2050
154,-1.3964164,-0.64497703,85,475
155,-1.6201664,-0.7574298,85,1140
156,-1.5684661,-0.5215771,85,1731
157,-1.4641993,-0.4809682,85,639
158,-1.6376991,-0.58575124,85,2011
159,-1.6016454,-0.46740845,85,1168
160,-1.8694927,-1.2829738,85,2279
161,-1.6996552,-0.7052772,85,985
162,-1.57202,-0.92019916,85,852
163,-1.427192,-0.4564438,85,574
164,-1.4688603,-0.47618788,85,1131
165,-1.6420823,-0.6802363,85,2106
166,-1.5898564,-0.16609515,85,1995
167,-1.7027522,-0.6487361,85,1545
168,-1.1148,-0.7372928,85,582
169,-1.6185937,-0.12909444,85,713
170,-0.93921554,-0.9166483,85,1543
171,-1.6838703,-0.013864451,85,711
172,-1.557498,-1.5346124,85,632
173,-0.71620554,-0.3951743,85,1098
174,-1.5665435,-0.3262536,85,1272
175,-1.6337993,-0.46333534,85,2312
176,-1.4921893,-0.19102943,85,1780
177,-1.5671263,-0.6285977,85,2096
178,-1.6021678,0.024287838,85,293
179,-1.2406123,-0.7039854,85,993
180,-1.5946418,-0.4892398,85,1239
181,-1.4791927,-1.0810922,85,583
182,-1.7570331,-0.8474345,85,1969
183,-1.3212253,-0.29350102,85,1048
184,-0.773932,-1.5757533,85,1537
185,-1.5616511,0.050649457,85,626
186,-1.5973288,-0.35960844,85,1275
187,-1.1314521,-0.46482536,85,951
188,-1.7347625,-1.7239141,85,615
189,-1.6700641,-0.4102992,85,314
190,-1.5284519,-0.62616986,85,407
191,-1.5604563,-0.48883018,85,1990
192,-1.2423887,-0.9893152,85,581
193,-1.7099687,-0.9464813,85,2369
194,-1.6920513,-0.81248105,85,997
195,-1.4241862,-0.92045057,85,747
196,-1.7975348,-0.84779197,85,199
197,-2.589752,-0.0610444,85,1367
198,-1.3831248,-0.43350357,85,2253
199,-0.0045443373,-0.14426251,85,1902
200,-1.5654241,-0.17395906,85,1452
201,-1.434744,-0.22676626,85,1285
202,-1.6325133,-0.2990954,85,1119
203,-1.0082318,-0.6860802,85,261
204,-1.5523787,-1.4257131,85,2144
205,-1.2576195,-1.0732963,85,1256
206,-1.2428329,-1.2227764,85,401
207,-1.1768523,-2.250102,85,216
208,-1.3634877,-0.5489383,85,745
209,-1.6066673,-0.343094,85,1006
210,-1.6522382,-0.038810175,85,716
211,-1.5612522,0.6311007,85,1315
212,-1.592944,-0.36708856,85,670
213,-1.3279914,-1.0046487,85,2006
214,-1.37795,-0.992271,85,972
215,-1.6125648,-0.25839472,85,2107
216,-1.6687282,-0.47806486,85,2573
217,-1.5920997,-0.15451169,85,2431
218,-0.77278614,-0.50967324,85,1680
219,-1.6213689,-1.5307089,85,691
220,-1.7121412,0.03321704,85,1196
221,-0.9597013,-1.773031,85,439
222,-1.6959665,-0.5145035,85,1788
223,-1.5922252,-0.9211128,85,1209
224,-1.6329477,-0.58023524,85,649
225,-1.6331142,-0.20099454,85,779
226,-0.8777923,-1.6762264,85,1646
227,-1.4468911,-0.9073148,85,271
228,-1.6815192,-0.6659788,85,1511
229,-1.5433176,-0.17928948,85,2097
230,-1.7387153,-1.0038981,85,2058
231,-1.6125973,-0.07976255,85,580
232,-1.1875206,-0.9016007,85,646
233,-1.6751435,-0.47275296,85,2021
234,-1.4252775,-0.53588206,85,653
235,-0.2756134,-1.853052,85,759
236,-1.4682924,-1.1369425,85,1878
237,-1.2220786,-0.45404404,85,882
238,-1.4934634,-0.81759024,85,480
239,-1.5837042,-0.26956972,85,666
240,-1.6260626,-0.8221562,85,1446
241,-1.6286808,-0.06785455,85,1732
242,-1.2369752,0.40726194,85,1613
243,-1.9196963,-1.2336199,85,2205
244,-1.1686822,-1.9872515,85,2403
245,-1.608097,-0.35938963,85,1651
246,-0.2782917,-2.269864,85,421
247,-1.4139756,-0.8885047,85,494
248,-1.5870129,-0.26973253,85,1276
249,-1.5880656,-0.003026729,85,1799
250,-1.5669749,-0.36774945,85,590
251,-1.5030063,-0.13497908,85,1226
252,-1.4383063,-0.59005517,85,1740
253,-1.6735163,-0.5832572,85,1169
254,-1.4397571,-1.2544179,85,1913
255,-0.9707543,-0.9974516,85,575
256,-1.5707245,-0.9687624,85,1860
257,-1.6158512,-0.3798758,85,1061
258,-1.730454,-0.48222926,85,1756
259,-1.6378127,-0.1924399,85,820
260,-1.7062228,-0.79090166,85,1517
261,-1.6413392,0.0023127398,85,1496
262,-2.1273677,2.0350728,85,2244
263,-1.7082918,-0.49185607,85,1925
264,-1.2131356,-1.123516,85,2110
265,-1.5254701,-0.63191545,85,1106
266,-1.5429736,-0.24817903,85,1711
267,-1.5452605,-0.1538602,85,2361
268,-1.4900713,-0.43422103,85,545
269,-1.0266905,-1.2416782,85,1382
270,-1.6182933,-0.1765083,85,1784
271,-0.4414135,-0.78852004,85,1648
272,-1.192674,-0.8122851,85,1954
273,-1.6409249,-0.65139085,85,1807
274,-0.9529777,-0.08480307,85,1205
275,-1.7665707,-1.0661416,85,1752
276,-1.2523438,-0.21083646,85,687
277,-1.4648098,-0.22762954,85,375
278,-1.6542493,-0.7803266,85,274
279,-1.5672994,-1.06457,85,1828
280,-1.534367,-0.38292208,85,291
281,-1.6782103,-1.6041706,85,629
282,-1.655164,-0.47226235,85,2444
283,-1.0135845,-1.0635741,85,276
284,-1.5142581,0.2386279,85,808
285,-1.395231,-0.3780492,85,1024
286,-0.9244074,-1.6098648,85,1757
287,-1.2706263,-1.1560833,85,1268
288,-1.6028361,-0.2814553,85,1485
289,-1.515702,-0.27405792,85,1334
290,-1.4946306,-1.143814,85,778
291,-1.1585927,-1.7538121,85,428
292,-1.5819771,-0.15983136,85,1156
293,-0.49052715,-1.4142286,85,824
294,-1.461848,-1.4673452,85,1388
295,-1.6813451,-0.3622023,85,2319
296,-1.6636739,-0.5681418,85,592
297,-1.6973492,-0.3869397,85,1269
298,-1.6296602,-0.6849318,85,2136
299,-1.5226413,-0.43016955,85,991
300,-1.6006899,-0.58204114,85,2015
301,-1.2989373,-1.1326348,85,642
302,-1.6181644,-0.3414265,85,1312
303,-1.5372874,-1.7361999,85,447
304,-1.585539,-0.4013306,85,1197
305,-1.4479059,0.7282131,85,1934
306,-1.5904071,-0.13643508,85,769
307,-1.5448681,-0.08235379,85,918
308,-1.6718237,-0.3169013,85,2346
309,-1.4916062,-1.4187585,85,708
310,-1.6342535,-0.58286583,85,561
311,-1.6422775,-0.41145384,85,786
312,-1.6784928,-0.36972824,85,1972
313,-1.1976243,-0.6582139,85,727
314,-1.099539,-1.3023797,85,1130
315,-1.373147,-0.83677274,85,331
316,-1.4225209,-0.4986535,85,1563
317,-1.2274569,-0.40420932,85,718
318,-1.4553162,-0.46582338,85,1639
319,-0.5100906,-1.5032096,85,1149
320,-1.6387633,-0.3462625,85,1932
321,-1.5977362,-0.32353812,85,1443
322,-1.2192339,-1.2986251,85,994
323,-1.4546133,-0.4209927,85,537
324,-1.3666091,-1.0387515,85,777
325,-1.1607891,-0.75682944,85,929
326,-1.6825219,-0.30196044,85,1814
327,-1.2648381,-1.6253543,85,1582
328,-1.4144706,-1.4565477,85,468
329,-1.1294355,-0.47043952,85,393
330,-1.3717979,-1.7454455,85,1899
331,-1.2844664,-0.88335437,85,301
332,-1.5743452,-0.29507062,85,1713
333,-1.6520911,-0.2017621,85,945
334,-1.3362733,-1.0082775,85,1319
335,-1.6576778,-1.0864851,85,1626
336,-1.3976868,-0.43001312,85,729
337,-0.71434337,-0.81621253,85,948
338,-1.7471268,-0.6404607,85,1765
339,-1.637261,-0.6741756,85,2277
340,-1.3061991,-0.8470826,85,2367
341,-1.5678099,-0.35003093,85,920
342,-0.33094844,-1.053259,85,267
343,-0.13957211,-0.94899654,85,1360
344,-1.4296875,-0.7204883,85,169
345,-1.652663,-0.46313453,85,793
346,-1.6216968,-0.18512894,85,1622
347,-1.7027277,-1.041648,85,569
348,-1.717601,-0.22373287,85,233
349,-1.3627526,-0.45022127,85,2234
350,-1.654965,-0.503153,85,1105
351,-1.6964712,-0.5166431,85,369
352,-1.748512,-1.1642356,85,1177
353,-1.5415666,-0.17558771,85,2230
354,-1.6025856,-1.8041773,85,1381
355,-1.5584357,-0.33848703,85,1053
356,-1.6045771,-0.7230432,85,1811
357,-1.4891087,-0.7166452,85,2077
358,-1.6834773,-0.6112919,85,1243
359,-1.6243821,-0.24191451,85,1466
360,-1.2246785,-1.0300877,85,2451
361,-1.6083636,-0.17763868,85,1492
362,-1.6477854,-0.053869985,85,1549
363,-1.4791052,-0.19381562,85,1762
364,-1.5897322,-0.6310454,85,542
365,-1.4319613,-0.7139878,85,304
366,-1.4886366,-0.17669223,85,1440
367,-0.9003874,-0.63941026,85,873
368,-1.3252267,-0.3597803,85,1327
369,-1.6331247,-0.34680638,85,799
370,-0.94576395,-1.5418086,85,426
371,-1.7286295,0.21483268,85,720
372,-1.5220796,-0.25510395,85,1581
373,-1.6058835,-0.2853542,85,549
374,-1.4588553,-0.47454423,85,546
375,-1.6300277,-0.2888421,85,1222
376,0.15570074,-0.9866745,85,383
377,-1.7500048,-1.0711111,85,1115
378,-1.5936836,-0.26869032,85,1062
379,-1.1077749,-1.6277248,85,677
380,-1.4882516,-1.9973758,85,1600
381,-0.45803013,0.56852365,85,911
382,-1.5761902,-0.37110063,85,508
383,-1.3086631,-0.40511712,85,619
384,-1.5484003,-0.17250516,85,1657
385,-1.6246668,-0.041262027,85,1170
386,-1.5044062,-0.48011252,85,1779
387,-1.7497431,-0.75005174,85,770
388,-1.4896173,-0.7623036,85,817
389,-1.6527528,-0.2845892,85,1761
390,0.36522648,-0.33231828,85,1389
391,-1.5697317,-0.32267803,85,721
392,-1.1839935,-0.5569515,85,2238
393,-0.59374535,-2.0705554,85,818
394,-1.702405,-0.5277617,85,936
395,-1.6569701,-0.8806916,85,1233
396,-1.5567477,-0.11207042,85,1173
397,-1.1385908,-0.41848657,85,784
398,-1.4397221,-0.46221346,85,1683
399,-0.95215446,0.05656791,85,1183
400,-1.4660124,-0.431246,85,2232
401,-1.6215116,-0.10385408,85,1819
402,-1.6512046,-0.38236532,85,1033
403,-1.2230827,-1.6736151,85,1867
404,-1.6505147,-0.5556521,85,540
405,-1.70967,0.03735012,85,578
406,-1.2875774,-1.1268628,85,442
407,-1.4427985,-0.58325845,85,992
408,-1.5120362,0.050729416,85,1036
409,-1.20717,-0.9234802,85,2169
410,-1.1448487,-0.9826699,85,1000
411,-1.7230147,-1.0693494,85,1253
412,-1.5909276,-0.21822844,85,2269
413,-1.1065986,-1.0918878,85,1590
414,-1.6308343,-0.13907157,85,908
415,-1.6633847,-0.08139996,85,1136
416,-1.6080204,-0.13341248,85,2548
417,-1.5415881,-0.7765284,85,1357
418,-1.437327,-0.90585464,85,1229
419,-1.6569701,-0.0038666173,85,1552
420,-1.4102026,-0.2969434,85,1679
421,-1.3783685,-1.0058517,85,507
422,-0.77543736,-0.22823149,85,1546
