gene_ID,ndimage_ID,PCA01 (50.50),PCA02 (25.57),PCA03 (9.09),PCA04 (5.88),PCA05 (2.83)
85,742,-0.2557027,0.19414714,-0.09661655,-0.2830459,0.054662246
85,842,-0.36893642,0.4973312,-0.06115122,-0.3000428,0.2945575
85,2052,0.07048207,0.839432,0.09183151,-0.2861467,-0.015887547
85,1145,-0.328638,0.023653315,-0.07197753,-0.18547131,0.008790885
85,896,0.031889617,0.42024434,0.25769508,-0.45339057,0.13083568
85,2152,-0.082140744,0.7884549,0.08653203,-0.3960977,0.1271407
85,558,-0.5386416,0.15467612,-0.21288316,-0.20581059,0.07858558
85,751,-0.5782367,0.80897725,-0.22145268,0.30316824,-0.0028216694
85,746,-0.43760997,0.75681067,-0.17042682,-0.07505814,0.1938152
85,236,-0.14388207,1.1970668,0.19297978,0.053730797,0.12065105
85,810,-0.19868527,0.045691703,0.16721049,-0.24333617,0.012237979
85,1526,0.050961148,0.5428662,0.3673219,-0.5288507,0.21132086
85,2064,-0.08976388,0.45454034,0.073240966,-0.41749316,0.024250004
85,1980,-0.46478137,0.22220127,-0.13155213,-0.26240444,0.08543352
85,1775,-0.41359887,0.88172597,-0.10010151,0.080418535,0.2066834
85,302,-0.66868395,0.73643446,-0.2539685,0.47624555,-0.17387569
85,1645,-0.6033143,0.033947736,-0.17394997,-0.1623973,0.09495035
85,1323,0.19323793,0.005875107,0.4019866,-0.27583593,-0.15358236
85,2156,-0.41419432,0.17837816,-0.092452705,-0.26427412,0.03210607
85,2308,-0.22541432,0.58493024,-0.10266511,-0.31237638,0.053206634
85,618,-0.51797783,1.1118118,0.18054216,0.5699746,0.3995035
85,325,-0.49344012,0.7907768,0.33794796,0.8174878,0.5000736
85,2108,-0.11675983,0.32924682,0.13701423,-0.3987398,0.065682545
85,1964,0.2881943,0.17803761,0.20351724,-0.37391934,-0.12147913
85,611,-0.24962266,0.7783699,-0.075356,-0.22941394,0.08061197
85,1641,-0.13233723,0.26805294,-0.02300561,-0.34602666,0.098104626
85,2056,-0.19445181,0.33898816,0.0026095104,-0.35427058,-0.025362067
85,598,-0.048046283,0.5904067,-0.011555373,-0.3997061,0.08891741
85,813,0.058377706,0.4083351,0.065426365,-0.41630682,-0.0025393285
85,1862,-0.4020631,0.7075374,-0.2020588,-0.07925221,-0.0032378996
85,1060,-0.18262742,0.62346345,0.011441407,-0.3945952,0.23045875
85,1614,-0.51356035,0.1851794,-0.1935792,-0.23273467,0.048506435
85,797,-0.3882227,0.7675831,-0.1325497,-0.11342572,0.1984536
85,1394,-0.5364813,-0.11956085,0.06978409,-0.06662886,0.020828588
85,954,-0.5568702,0.18264824,-0.23271787,-0.2164969,0.06177653
85,227,-0.6481704,0.71052843,-0.30145898,0.3756088,-0.19104017
85,1021,0.08194868,-0.011422767,0.29710767,-0.24872144,-0.11393256
85,1434,-0.4224152,0.5910824,-0.2410237,-0.06053328,0.0687066
85,671,-0.067110516,0.29398373,0.046663545,-0.37540218,0.07156091
85,1796,-0.1985596,0.74514276,0.08385938,-0.3650561,0.37472388
85,1859,0.06825999,-0.024623964,0.32698148,-0.23509659,-0.10802067
85,387,-0.5273166,0.35799196,-0.31226316,-0.18642215,-0.016088901
85,1827,-0.35539004,0.10638192,0.05508614,-0.25603202,0.045747843
85,2010,-0.02419085,0.9974187,0.15347317,-0.35075128,0.18222608
85,1146,-0.5671831,0.40697002,-0.35760128,-0.12681273,-0.00576798
85,1722,0.089702375,1.154114,0.3077358,-0.049734525,-0.043556873
85,2037,-0.00016653903,1.0090747,0.18442161,-0.4156517,0.23666961
85,1880,-0.6226856,0.051996525,-0.16196866,-0.17672634,0.095483795
85,1587,-0.53177875,0.4570442,-0.33234602,-0.14057636,-0.041381206
85,2146,0.06590368,0.22809881,0.15190116,-0.34810913,0.030075999
85,1193,-0.481486,0.0023406823,0.09213168,-0.17068543,0.021871563
85,1159,-0.6142004,0.2758339,-0.38249055,-0.1463072,-0.0069253095
85,1041,-0.36286154,0.30078214,-0.058889005,-0.31603536,0.07761519
85,1751,0.0365294,-0.08152215,0.15985352,-0.19939823,-0.07943153
85,556,0.29900825,0.8267458,0.37575802,-0.6175247,0.06583321
85,1619,-0.28178653,1.2012367,0.16608833,0.09374953,0.3781239
85,1379,-0.13499822,0.10969477,0.02537975,-0.27161294,0.0046119317
85,1708,-0.49978662,-0.05202532,-0.05772493,-0.12817393,0.06073861
85,1065,-0.11176484,0.42422858,-0.026672196,-0.36515415,-0.011780544
85,1027,-0.08680498,0.20990965,0.17155673,-0.3562889,0.013894234
85,1303,-0.5358192,0.39414716,-0.36758536,-0.11140679,-0.09644078
85,750,-0.09601052,0.37267518,0.06619905,-0.39577648,0.021772603
85,662,-0.17101626,1.1072346,0.08143079,-0.0649949,0.21545981
85,1802,-0.4330191,-0.027570961,0.08346617,-0.15871209,0.0011886713
85,931,-0.10513537,0.70880145,0.20538138,-0.44858405,0.43570492
85,512,-0.48454753,0.65701073,-0.289066,0.08617532,-0.22027719
85,2119,0.14997192,1.1914073,0.3928069,-0.5202221,0.3578198
85,2323,-0.37751803,0.564583,-0.19261491,-0.21421917,-0.02096195
85,1155,-0.33385304,0.42394084,0.084373794,-0.3418496,0.388158
85,1667,-0.60482615,0.15918498,-0.2833087,-0.18910576,0.059096057
85,516,-0.13366917,0.6609973,0.18269148,-0.47967666,0.32210076
85,2135,0.28531024,0.99897134,0.4315679,-0.63615716,0.28695753
85,256,-0.53193367,0.65968126,-0.302307,0.022610797,-0.06276391
85,1890,0.3594013,0.16480741,0.32884237,-0.3893021,-0.07739812
85,1643,-0.4760577,0.5056892,-0.3283881,-0.066497564,-0.154587
85,550,-0.27991682,1.051866,0.0060828384,0.041469052,0.183724
85,1031,-0.33732063,0.43270653,0.031702433,-0.35281664,0.29286793
85,1624,-0.1423518,0.6350495,0.16997667,-0.45300704,0.3355737
85,1970,-0.5694854,0.27694473,-0.31549364,-0.19111368,0.024688432
85,743,-0.28837374,0.83096695,-0.0037830623,-0.28630024,0.3027632
85,1475,-0.61354077,0.08067471,-0.19689654,-0.18574217,0.089012645
85,2433,-0.25387213,0.11045793,0.11244981,-0.27681822,-0.009475112
85,1682,0.06728125,0.2513705,0.16215116,-0.39036828,0.003942102
85,1225,-0.6011774,0.7884087,-0.2493652,0.2953194,-0.0018235863
85,1800,-0.5378939,0.14233963,-0.17524579,-0.22242561,0.06686199
85,1998,-0.14896287,0.36038312,0.15940441,-0.39704967,0.14937098
85,1480,-0.26815882,-0.02477002,0.0052269218,-0.1854377,0.0007826657
85,326,0.20019159,0.36071104,-0.14058164,0.79409695,0.5726527
85,1245,-0.2859016,0.23319513,-0.05457217,-0.29567248,0.01640278
85,1237,-0.32784954,0.7549985,-0.12746525,0.08312358,0.0013825255
85,2150,0.43240416,0.4482423,0.3755591,-0.5211363,-0.08069776
85,845,-0.39720565,0.41339344,-0.06063629,-0.29764014,0.27360478
85,800,-0.68393135,0.8186555,-0.11341383,0.63860786,0.0005938276
85,1777,-0.2440639,0.52642137,-0.07076788,-0.32588762,0.02971351
85,1214,0.031218465,0.32990506,0.22889076,-0.42383006,0.06636602
85,482,0.26146472,0.49531353,0.30175608,-0.51585287,0.018997636
85,1714,-0.14431657,0.47326574,-0.083784066,-0.27749112,-0.09131577
85,503,0.118531115,0.272203,0.12976329,-0.39561585,-0.02469646
85,560,-0.16016905,0.9391702,0.11622404,-0.33590108,0.36556128
85,811,-0.21635747,0.41303337,0.0913768,-0.39627963,0.17488886
