original_ID,ndimage_ID
1065,1064
1888,1886
2313,2310
1793,1792
1207,1207
1072,1073
1251,1250
1235,1234
2463,2462
839,838
2154,2153
398,397
764,763
652,652
1464,1463
1401,1400
2063,2059
2091,2090
2196,2196
1754,1753
1419,1418
917,916
906,905
1426,1424
1188,1187
486,485
1787,1786
796,795
294,294
1659,1658
1853,1852
337,336
1333,1333
966,965
695,694
209,209
826,825
1157,1157
1522,1521
567,566
603,602
2046,2045
680,680
2310,2309
1930,1929
1934,1933
654,654
1495,1494
1640,1640
1710,1709
2014,2013
2162,2161
1874,1873
1938,1937
425,424
1371,1370
2425,2424
1076,1076
405,404
1746,1745
1440,1439
477,476
1336,1335
304,303
1783,1782
1725,1724
1572,1571
1584,1583
1455,1454
2431,2430
1144,1143
753,752
514,513
