original_ID,ndimage_ID
812,811
2227,2226
1612,1611
2266,2265
666,665
2183,2182
973,971
2276,2275
1729,1728
512,511
1631,1630
716,715
1425,1425
1255,1254
491,490
1494,1493
1114,1113
1130,1129
1354,1353
307,306
942,938
682,681
273,272
1268,1267
948,947
1306,1305
2036,2036
503,502
1656,1655
1576,1576
707,706
947,946
1579,1578
662,661
1977,1976
225,224
2361,2360
1626,1625
2439,2438
1350,1349
1259,1258
979,978
1134,1133
1404,1403
399,398
345,344
1151,1150
1091,1090
1039,1038
499,498
1265,1264
1496,1495
1736,1736
1498,1497
2050,2050
476,475
1141,1140
1732,1731
639,639
2012,2011
1169,1168
2280,2279
985,985
853,852
574,574
1133,1131
2106,2106
1996,1995
1546,1545
583,582
714,713
1544,1543
712,711
633,632
1099,1098
1273,1272
2312,2312
1781,1780
2097,2096
293,293
994,993
1239,1239
584,583
1970,1969
1049,1048
1538,1537
627,626
1276,1275
951,951
616,615
315,314
407,407
1991,1990
582,581
2369,2369
998,997
748,747
199,199
1368,1367
