original_ID,ndimage_ID
743,742
843,842
2053,2052
1146,1145
896,896
2153,2152
559,558
752,751
747,746
237,236
811,810
1527,1526
2065,2064
1981,1980
1776,1775
303,302
1646,1645
1323,1323
2157,2156
2309,2308
620,618
326,325
2109,2108
1965,1964
612,611
1642,1641
2057,2056
599,598
814,813
1863,1862
1061,1060
1615,1614
798,797
1395,1394
955,954
228,227
1021,1021
1435,1434
672,671
1797,1796
1860,1859
387,387
1828,1827
2010,2010
1147,1146
1723,1722
2038,2037
1881,1880
1588,1587
2147,2146
1194,1193
1160,1159
1042,1041
1751,1751
557,556
1620,1619
1383,1379
1709,1708
1066,1065
1029,1027
1304,1303
751,750
664,662
1803,1802
932,931
513,512
2119,2119
2324,2323
1155,1155
1668,1667
517,516
2136,2135
256,256
1891,1890
1643,1643
551,550
1032,1031
1624,1624
1971,1970
744,743
1476,1475
2434,2433
1683,1682
1226,1225
1801,1800
1999,1998
1481,1480
327,326
1246,1245
1241,1237
2150,2150
846,845
801,800
1778,1777
1215,1214
483,482
1715,1714
504,503
561,560
