original_ID,ndimage_ID
1174,1173
785,784
1684,1683
1184,1183
2233,2232
1820,1819
1033,1033
1868,1867
541,540
579,578
443,442
993,992
1036,1036
2172,2169
1001,1000
723,723
1254,1253
2270,2269
1591,1590
909,908
1137,1136
2549,2548
1358,1357
1228,1229
1552,1552
1680,1679
508,507
1547,1546
1362,1361
1098,1097
1068,1067
1378,1378
727,726
510,509
1907,1906
497,497
924,925
1411,1409
1108,1108
806,805
2216,2215
2054,2053
496,495
1586,1585
1185,1185
626,625
1279,1278
595,594
974,973
791,790
838,837
900,879
1100,1099
658,655
368,367
1058,1057
1092,1091
739,738
1593,1591
1840,1839
1477,1476
572,571
1281,1280
1976,1975
1432,1431
1506,1506
1190,1189
1501,1500
1413,1412
701,701
875,874
2132,2132
1718,1718
902,901
1070,1068
1561,1560
1250,1249
501,500
2170,2170
1654,1653
901,900
1621,1620
1101,1100
996,995
321,320
1447,1447
970,969
325,324
1553,1553
1300,1299
885,886
1511,1510
808,807
1416,1415
1504,1503
367,366
1105,1104
2133,2134
1549,1548
749,748

