ndimage_ID,GLYMA_17G195900_-_vs_-_GLYMA_05G216000,GLYMA_17G195900_-_vs_-_GLYMA_17G185800,GLYMA_17G195900_-_vs_-_GLYMA_05G203100,GLYMA_17G195900_-_vs_-_GLYMA_15G210100,GLYMA_17G195900_-_vs_-_GLYMA_05G092200,GLYMA_05G216000_-_vs_-_GLYMA_17G185800,GLYMA_05G216000_-_vs_-_GLYMA_05G203100,GLYMA_05G216000_-_vs_-_GLYMA_15G210100,GLYMA_05G216000_-_vs_-_GLYMA_05G092200,GLYMA_17G185800_-_vs_-_GLYMA_05G203100,GLYMA_17G185800_-_vs_-_GLYMA_15G210100,GLYMA_17G185800_-_vs_-_GLYMA_05G092200,GLYMA_05G203100_-_vs_-_GLYMA_15G210100,GLYMA_05G203100_-_vs_-_GLYMA_05G092200,GLYMA_15G210100_-_vs_-_GLYMA_05G092200
742,160.02045615567067,,,188.85298140706647,455.93613181178506,,,38.64441989228302,315.8150846878488,,,,,,326.1648442058657
842,438.622700998367,413.1892458652588,,449.01120076918585,538.5876070044701,69.23770303177787,,24.975335843104293,382.5902434294347,,75.76527526750407,356.93917927534466,,,394.20927389035154
2052,413.72314620881616,394.00961310959775,,402.70745802092637,726.9692358573624,44.80993483749015,,23.200375755554198,449.4239766054727,,23.56186492996311,440.59964889823937,,,441.97519598137865
1145,340.67476819566235,283.25122821143907,255.3400372536887,288.4099173916986,228.14575102130934,64.46635305722033,88.37493285959667,71.57010295680112,358.3337023951694,28.932683668253553,48.98894894278672,300.91016241094604,39.78431787895806,272.99897145319574,306.0688515912057
896,368.3946267305974,371.74715025893295,,358.9524710776386,236.31349488736478,123.87957678532149,,42.8896335847962,344.6015896643544,,108.52902344982722,354.7762540960796,,,335.1594340113956
2152,524.7204511833094,481.74932100343244,,493.37913582763156,808.8949347019122,51.75821792332379,,42.724837451595945,566.3202465064837,,19.568603593233938,527.4155538137204,,,534.6803761275293
558,215.85266948167464,174.05907399100914,,185.95415097626028,492.4604989690708,49.44759374402827,,35.5883761410694,418.71716744109705,,25.383311300911355,378.2058077052454,,,387.49389641036527
751,436.6211902024609,458.38919716345634,,448.62843164450146,750.3756583878901,37.36274769696448,,94.82180686573766,507.4746465127123,,111.3449457767108,537.3655754560082,,,512.6842828034268
746,302.33743623451136,270.8936080037167,,324.73814706831604,403.75292765313344,32.42193864230297,,45.25417956319371,325.06577954290213,,59.165368358715014,292.8427847758171,,,351.62637797235493
236,492.2426482780153,457.76024088615355,,483.2435326279189,732.4441858793697,135.38831406584632,,120.0005693845972,599.7966121359523,,163.64116912361777,609.5633845393971,,,590.7974964858558
810,190.6103276128282,175.91028487465337,,244.2544330701925,429.7936516852961,80.12864806180747,,84.78039274738022,286.7558461591211,,76.21105501227325,254.10541379411296,,,274.99628141767266
1526,605.328612150406,495.23062635054146,502.2443772198219,588.2842332944683,445.4957999609372,177.10060188406143,112.34982169780572,57.48215236449363,423.2893122145197,94.29550939441104,165.31033174751937,393.31866847797085,91.33561143438214,315.41397043356716,401.45382650821387
2064,538.770843310254,514.0718425437611,,545.519933115841,1133.8632802977097,44.98149434137393,,84.36117170419246,762.7771853516031,,113.73679109138811,761.532015391009,,,735.4188590936906
1980,321.95126934858274,295.9798755408197,,334.4392654507541,449.7408632836548,33.59601944638162,,24.94269058556108,375.83060590470467,,43.77275055119815,349.85921209694163,,,388.31860200687606
1775,188.42270450280228,208.94573114420908,,205.99539718389724,163.61872308944427,68.84771290942932,,40.142076067543336,212.98866532465627,,68.59184069181731,220.95845485747927,,,225.56084034041896
302,307.0683910475354,312.9502415903467,270.3844336000721,296.0527920656777,440.6561464332431,20.31130863265472,37.643093066953725,26.024411144969157,312.0172064630649,45.09202321363464,19.454581066605382,317.89905700587616,28.219276904570616,275.33324901560155,301.00160748120715
1645,211.5680763917331,166.2739500041302,,184.99224541080451,326.7503259580381,57.52067096493606,,36.1736679064404,310.0370669188733,,36.38504021851056,287.3687469797831,,,274.86490861544416
1323,352.95744291238117,310.4042759756204,304.36940880700513,363.0663752642496,426.291727202684,52.934486306469864,53.853327647486324,34.92252122354641,384.72821547928714,15.464243956529799,56.88130561995123,333.33295201359266,63.61797363515193,340.16940962505134,389.1351201475598
2156,320.63841404944395,293.1074524364299,,330.3829382170695,505.6967923024532,33.45414372891835,,34.571727788287625,449.89746599367044,,38.38380011779235,422.36650438065635,,,459.64199016129595
2308,203.6621348591905,178.1072221511918,,212.9308431947431,329.56963175818055,30.148308037698563,,12.165528211735843,250.27537462335673,,39.406071965943006,238.87365527805628,,,259.4991600291986
618,197.94422552553374,184.5183092557034,,195.36714419244944,348.16054280423714,18.973260458911664,,9.028551934655638,272.3223364626415,,21.317760908201976,275.01083311072955,,,268.78851401129094
325,237.20556719855693,196.14285749008803,,200.2232463876539,299.69416965074765,43.47482456643799,,46.35762018412325,275.64894177160096,,12.413299593199067,236.59571663439223,,,232.2017153604372
2108,210.41224054005013,211.5051281667978,,214.88065735907273,657.2679401550822,8.518223566558898,,6.482975623898435,491.8074353973129,,5.274098146882627,494.8691680273637,,,497.3412877616182
1964,446.6002970810598,410.5169566410135,,454.05962844991825,557.9612924244249,38.933315817771984,,29.023608039296523,497.10660119395175,,50.09260154601978,461.02326075390545,,,504.3945583876716
611,387.25123678549147,344.2909985143013,,377.26196642948184,661.7374051107652,45.68618851514569,,37.202622389818345,489.1578725467565,,40.27257770193146,449.5373615669074,,,477.95056546881386
1641,137.00667185885294,,,151.1468988973411,381.85506504448074,,,28.463439205386216,316.9325250782944,,,,,,305.3149884675455
2056,482.14375102097165,425.0354446660278,,446.41260768564456,945.9593976777788,71.09004765519262,,56.88299256311387,615.6589145327873,,55.482513155128004,574.2884178089693,,,575.9343441467583
598,237.67819943111488,194.42401118879874,,244.1284012855743,570.6050477655093,63.497852524845,,30.974146431424426,418.25208363802693,,75.59453573124277,430.4860670047308,,,421.5032398023977
813,338.450353638888,209.42861125619086,275.93258896009877,288.97233292969383,602.4372027248681,146.44615626479805,72.63150054526766,70.10380019751464,412.33672527716726,75.3572624954678,109.30772085805656,398.34820324181743,47.55869778917248,339.9185195691137,386.4673373861679
1862,441.60223545818815,391.166014443579,,399.26960602035393,575.9409789582406,57.716284881513275,,43.50300408884779,544.4838908784524,,17.446361416195973,496.53934485287203,,,502.1512614406181
1060,192.94281310407726,196.61997964750077,228.03062751016458,217.0547123849987,489.479697629447,28.949151534248053,70.03759082677557,46.91515929954067,370.8825656122656,81.07889055037151,21.2206649904364,364.92675348044185,97.51243706306326,437.4858001585838,374.04280956679577
1614,361.85409217432095,311.78365276262565,,328.8385344223558,500.1983806392542,59.12597963806441,,54.90523693813862,360.3785092324935,,39.50117463532161,311.16723028273367,,,314.80874807718357
797,456.8470303346177,422.8217965998902,,484.12929011431055,603.845847175851,57.94443660698972,,119.29198045771138,473.5671213473408,,92.5238015024551,439.92388865828485,,,503.6534583779457
1394,237.73220571700543,217.3896894860788,303.65075099315175,258.43061544497755,354.271454897652,26.371173886908807,117.99680393559997,34.21405299746865,298.00806075683283,109.9757229201108,47.31209537986272,276.8379437370841,121.68023622524963,356.05204346165755,316.16014127485096
954,216.3332871957573,230.2352416791719,217.47149637441893,201.64641173996668,215.74706906437058,40.08559920551541,20.23944924013737,14.708469873818395,248.86412396342246,20.463034507006284,33.02409452599866,259.96300672899923,17.799078042269716,247.97451099889656,234.17724850763176
227,255.47324453492604,221.00404839407108,,227.87719871408228,348.3016479902721,68.47488801987653,,79.41468508416709,363.19829388894885,,13.189915859159376,310.57114267222425,,,311.85409137038977
1021,476.0185158052317,392.1676084357928,,403.9696054653825,749.6777160737366,89.73616916405649,,75.56493748901228,528.7906479905471,,25.021845652386865,439.8936951965261,,,460.5643871453832
1434,371.39344464914063,316.98726100669063,339.538136755379,370.3472630556666,521.3601726968828,95.9749366869494,32.967967755829264,21.479375241069604,310.3219713688112,66.99201222414067,93.74355424425694,336.5021260956018,32.69324526491662,282.22616641623426,312.0459319241719
671,334.12861344191566,311.6224325511543,,311.725050450383,732.9930977423779,68.13772104071266,,87.34500886161213,562.2728941112184,,30.795751020309847,518.4953224125704,,,498.8798145559897
1796,478.81226858352994,419.9340746761569,,480.02139263589237,675.1484675053684,70.86586856267041,,82.49977134193345,425.79598885439344,,73.99304285613347,384.0614952590989,,,382.6400561015803
1859,405.3851206668574,388.57533166867927,393.3298865478629,401.9465601070465,640.0080258248639,24.063681280140578,16.448971233876986,9.238913740586163,420.9067440630749,16.050638827430866,21.162444635123936,413.89535970108716,13.025309648391623,410.303130624998,417.07476468674247
387,299.8570413851875,285.8686920226552,,337.0656875436751,534.499038213023,58.131473408095076,,57.854615158799575,349.85533058549305,,68.46617427276657,308.48571557764376,,,375.05735882958453
1827,314.72786508838715,291.38651027288415,,282.30801006955977,564.9874246097698,35.04105244806778,,35.752737403764826,444.05678407491627,,16.79031506621809,422.2687418605632,,,411.2171414683417
2010,504.876281725064,510.20248271643686,,559.2802575985961,1047.6185562105638,24.227897588815384,,59.21558787120833,642.5110882930819,,65.74086191641094,653.098741699762,,,700.6485799039408
1146,151.5936672544245,131.1677352795748,,148.27999619454783,104.2727006613843,41.7966630082947,,25.052609984235232,200.39348907825809,,29.267469624398245,188.61116880196383,,,203.71645846884397
1722,859.8960847583711,751.2227196200014,,787.7104182679784,1065.2776833519165,146.6875074723691,,98.87422056934048,834.271783654524,,78.70636789591808,715.3069854457073,,,753.1238994189326
2037,438.03576979780377,419.31828182355525,,450.3591416217185,863.4317787253752,33.28997033778094,,26.709586611828463,535.1365067572825,,32.88405266316136,516.3700875629904,,,538.4400113849094
1880,126.2790406410012,134.5345605273647,,131.8574245590661,192.7190538297727,9.901533537290401,,6.382700512055052,175.66743815073823,,6.209524370662097,182.3258217611967,,,179.6300598568188
1587,202.57144466222607,151.40387930398208,,216.65026157737967,412.3498514167661,54.60232384287195,,18.66667716590883,257.047501898668,,69.6772476610189,270.22770221238403,,,272.122425716815
2146,405.77548491831703,346.9861968691622,306.1135493141692,341.50893215376124,871.6596239988837,62.25776856092692,251.49331431555322,80.93838333994997,664.614689572527,191.48049683652553,34.33143899401554,607.220194329992,187.08226275542327,719.4836813599783,590.6148235273173
1193,391.35824573528726,321.6142791271743,,375.8709788315016,570.0729612008562,74.63905638442439,,31.55446898113577,368.77471119167495,,59.10733174683149,308.67776645461106,,,356.74676306030653
1159,95.32769562793692,,,92.28405793741707,107.15900301157977,,,20.75309896869562,94.52074196468205,,,,,,91.47710427416219
1041,302.7699116135813,308.11873396742385,,309.5819428427808,411.5869662764857,96.41801507569828,,23.196185546445804,346.1736892797079,,97.48407654031124,378.47016294761903,,,353.0891121440388
1751,359.23939305574487,300.72815061327447,,339.5268659032142,733.1807121395057,72.32907461089869,,44.97973557732405,557.1513939221845,,44.029508912993194,485.09649657299246,,,528.2142377969199
556,591.0730001235542,558.4015914462183,,596.8086091953012,960.0548022784051,113.65669521210539,,78.44289030096554,690.9534429959299,,76.87993932176698,620.859932090865,,,665.3452746677659
1619,430.3994309340749,369.9360371154706,,389.51372896459833,803.4926902357174,89.15341585339058,,45.8272760395512,538.9956729714218,,48.06242544170048,508.16178286727836,,,495.8884374984971
1379,304.1703527963988,302.4224968533606,,328.5933664100915,508.25454558585454,14.771129379331384,,31.74863754464952,351.69678332171185,,39.634773008317474,350.29248530589143,,,376.1197969354045
1708,189.09073698644966,172.09441900472373,,179.18514830128592,414.0220672928436,33.63010268973611,,16.367015189487795,379.0790979357805,,22.31575757147154,374.92631952341975,,,371.7501175498606
1065,239.59715960881243,221.81195679534738,,252.65672414180332,639.0763544953832,75.95016353351049,,76.69331065404619,479.73119396530774,,66.8353087166664,418.9377995055366,,,445.42299344152525
1027,383.9269091441984,341.15864866825297,336.112193434457,367.19594569136854,401.30721254661483,61.865025743431005,73.65690333867126,76.37240900810373,270.565720883731,12.240974572970739,32.905722433665176,211.6642177615074,32.769835846088135,204.02752764105955,236.2994581217161
1303,249.1731235136969,243.35626389639359,,309.85610681305866,334.8931077134721,22.031149387555192,,75.98889254555904,340.7215467478753,,69.69306049545402,334.9046871305719,,,401.4045300472371
750,386.9524952045628,363.9105414601073,,373.46353924372386,689.4489528610392,32.49922448171631,,32.559980521074735,487.19135276633455,,32.14221975428549,458.1765424811321,,,465.83255056418267
662,366.05732262178736,291.06649834699425,301.41435175097314,260.4370318189342,682.6860291070466,98.79522326831743,69.12207005503191,147.19215545127332,472.95747194786117,48.60838157350938,72.74986032187527,448.4875580964892,81.54960769478517,404.3571767184681,475.8429316769349
1802,219.4441567555076,195.7682392442411,,229.68336364996802,538.9600537538549,63.18900397699718,,50.9744992650941,389.39004028204056,,52.96033811080553,349.2462154517337,,,361.0928164587926
931,459.77929590434707,484.4580134619534,,500.3377339505391,676.8400171144058,69.96181738170773,,83.71549375001185,434.469447404268,,33.1256986711716,459.36893013429057,,,475.02788545045996
512,427.0854662608242,371.7268326962298,,451.81449559686064,495.5744355104701,140.5225514352425,,48.88767630855227,602.5898082065917,,168.1602261340711,521.602142810659,,,627.8755603408525
2119,455.88902314668127,400.52627042698845,411.17006085069363,452.07175388375896,936.1662001733214,62.11743468985102,65.27576843826085,46.43097865808247,618.2419845307965,26.290729010251127,64.68429358549565,583.1235015619427,48.41644817408802,565.1422617252595,609.8291898664546
2323,428.4241086224482,319.0534453080139,349.56000878090055,408.97000595814114,881.833719804642,140.55361276552986,82.19408078053694,25.66636436244324,651.3918674886054,61.12677009395907,120.21014156430729,618.9593423499618,61.5603805829174,571.4106360500264,630.4025364474758
1155,531.5591433457671,448.34497536496406,,498.7399827623329,822.0903065546117,165.76685486470174,,41.85311719558294,541.9802052085082,,134.2850918445228,528.8305976580866,,,510.42979402135654
1667,108.57977928433735,91.54665211366465,,104.18139373919172,258.2229148393898,23.454515473575963,,9.752735761712898,231.96959404752516,,15.096737627135045,213.83727365794357,,,226.47201528347063
516,383.21691376541304,346.9508913942401,,394.95516213611734,690.8569392016024,67.18287754518698,,32.380818694984164,489.09785222047043,,84.17505856264277,460.17369542398734,,,494.96453230708175
2135,701.496784489819,641.2670191716247,,743.288434533509,1406.9609122458896,69.71747280720764,,55.6961000684207,893.5311203792506,,117.82520300179542,869.4580140628035,,,922.3164540564311
256,392.2072349726699,347.62635114261593,,383.9056003721778,561.9901782092824,51.49875082998887,,37.996571831186,418.29978729967513,,49.88108171912773,400.33431717464543,,,405.00491211432484
1890,541.8951813299316,527.7671524249921,,568.0171910944453,889.8583366727523,42.77865348223404,,33.10969832754124,570.3015420719606,,73.4145484394747,562.4027238747776,,,595.5286407229385
1643,349.0275061007712,340.4553491009423,,353.7007387645822,586.285330673649,37.38152181409107,,15.069013067761507,556.1584087962823,,41.35237366040285,547.5862517964536,,,560.8316414600935
550,146.37747694418073,159.13503336514808,,172.33793274018998,353.47993001675843,23.51714610236673,,30.41073436012672,215.73895116530218,,24.66925254344553,236.77712934481733,,,246.14821187198493
1031,287.4625446727364,291.4563033629958,,317.1713900438252,564.5302820079172,35.76424229711308,,43.001596675684695,360.57647742646043,,36.27737952305918,379.445708873398,,,397.14617961946027
1624,435.7803322137754,429.10194446621256,,415.44481980967055,865.9601140127799,58.19751679354173,,159.4063267218949,623.339624977551,,111.91689139946853,575.8501896551247,,,570.6117204461062
1970,182.42749981555136,169.58255848148946,,168.45566932626366,405.0298713749326,14.77965296482727,,47.24446762550105,307.20696682877616,,39.642192038130126,296.2867206925707,,,317.20695139380564
743,483.0394719158851,437.05997228903124,,475.5230948964032,835.0009903148259,133.07556345018838,,75.91405399159807,558.0582033607091,,88.8444840414484,578.8697839185297,,,566.7807970002206
1475,173.43160586750398,171.07331508791424,,187.54128296470324,462.7477028483675,8.44051745460397,,41.55956703490718,325.64265827211256,,33.87619902950314,327.8242535772347,,,352.1832712531455
2433,455.190071924922,380.7876227978071,376.9905960661721,395.4556174163071,780.504722942728,103.70232671380737,85.7259995275809,70.94694066419768,554.8459419218026,59.468842078084116,39.14761256320756,518.0750143613515,35.70158896629323,470.99759228149424,504.3367621762324
1682,485.07894942526025,381.7128431383913,,436.59054920029746,802.1978799059087,145.6123278741401,,98.04532318346614,641.1084573327468,,66.89348416868434,589.9959028812802,,,599.7953861146651
1225,296.6149717016346,274.92640166266915,,296.73082488517895,327.5360148701401,87.79662855748573,,12.170976361660777,257.8601533036897,,87.9124817410302,248.35318461415957,,,257.97600648723414
1800,188.23720952893717,165.55237482389677,182.48797528409503,181.8731329866516,530.2837518119667,39.72603011953471,40.44382166963534,19.090671685530342,388.7922685406622,32.74736263932755,25.193749605203703,376.83809957516064,25.707909321123324,348.496104959454,373.0936650326387
1998,294.26188322093867,251.176238010592,,273.09445658503824,414.0591989482855,54.14940066962329,,28.693324929786694,368.6276068806378,,30.359706446530325,327.17184886885605,,,347.52063635480397
1480,310.4571653563641,270.25614681052195,,296.5005807326835,616.3202876110827,58.131868895693444,,18.11756532567515,411.4735621715105,,49.809665732583355,355.26107810798374,,,399.5907799182755
