ndimage_cellID,orig_cellID
572,573
1190,1191
1904,1905
1673,1673
787,788
857,858
1308,1309
2523,2524
1064,1065
1886,1888
2310,2313
1792,1793
1207,1207
1073,1072
1250,1251
1234,1235
2462,2463
838,839
2153,2154
397,398
763,764
652,652
1463,1464
1400,1401
2059,2063
2090,2091
2196,2196
1753,1754
1418,1419
905,906
1424,1426
1187,1188
485,486
1786,1787
795,796
294,294
1658,1659
1852,1853
336,337
1333,1333
965,966
694,695
209,209
825,826
1157,1157
566,567
602,603
2045,2046
680,680
2309,2310
1929,1930
1933,1934
654,654
1494,1495
1640,1640
1709,1710
2013,2014
2161,2162
1873,1874
1937,1938
