ndimage_cellID,orig_cellID
1115,1116
1062,1063
677,677
1600,1601
911,911
1953,1954
508,509
619,619
1657,1658
1170,1171
1779,1780
770,772
817,818
1761,1761
721,722
2238,2239
818,819
936,937
1233,1234
1173,1174
784,785
1683,1684
1183,1184
2232,2233
1819,1820
1033,1033
1867,1868
540,541
578,579
442,443
992,993
1036,1036
2169,2172
1000,1001
723,723
1253,1254
2269,2270
1590,1591
908,909
1136,1137
2548,2549
1357,1358
1229,1228
1552,1552
1679,1680
507,508
1546,1547
1361,1362
1097,1098
1067,1068
1378,1378
726,727
509,510
1906,1907
497,497
925,924
1409,1411
1108,1108
805,806
2215,2216
