ndimage_cellID,orig_cellID
1305,1306
2036,2036
502,503
1655,1656
1576,1576
706,707
946,947
1578,1579
661,662
1976,1977
224,225
2360,2361
1625,1626
2438,2439
1349,1350
1258,1259
978,979
1133,1134
1403,1404
398,399
344,345
1150,1151
1090,1091
1038,1039
498,499
1264,1265
1495,1496
1736,1736
1497,1498
2050,2050
475,476
1140,1141
1731,1732
639,639
2011,2012
1168,1169
2279,2280
985,985
852,853
574,574
1131,1133
2106,2106
1995,1996
582,583
713,714
1543,1544
711,712
632,633
1098,1099
1272,1273
2312,2312
1780,1781
2096,2097
293,293
1239,1239
583,584
1969,1970
1537,1538
626,627
1275,1276
