ndimage_cellID,orig_cellID
496,498
1078,1077
1088,1090
1950,1952
386,385
1598,1599
434,435
541,542
1293,1293
1824,1825
1917,1918
2364,2364
455,456
1604,1605
1842,1843
2461,2462
1456,1459
1945,1946
1918,1922
2222,2223
861,863
1734,1735
1212,1213
1102,1103
2416,2416
887,887
1916,1917
941,941
188,188
553,554
1808,1809
935,936
1117,1118
2261,2262
377,378
1380,1382
548,549
552,553
859,860
2282,2283
1479,1480
493,494
2041,2041
1436,1437
1350,1351
730,731
783,784
1354,1355
1238,1238
437,438
2506,2507
2354,2355
2418,2419
1203,1205
422,423
816,817
1347,1348
1295,1296
1875,1876
1903,1904
