ndimage_cellID,orig_cellID
2024,2025
737,738
1302,1303
1739,1740
1165,1166
1070,1069
612,613
728,729
2120,2121
2272,2272
395,396
579,580
832,833
1441,1442
510,511
385,388
956,958
1984,1984
1266,1267
1822,1823
2352,2353
492,493
1040,1041
1217,1218
1230,1231
1163,1162
599,600
1547,1548
1538,1539
1206,1208
1502,1503
1284,1285
1631,1632
927,928
1701,1702
915,916
798,799
1304,1305
683,683
427,428
815,816
1518,1519
1290,1291
1669,1670
1043,1044
2515,2517
1172,1173
333,334
627,628
862,862
486,487
1398,1399
522,523
2235,2236
372,373
1891,1892
806,807
608,609
1938,1939
1457,1457
