ndimage_cellID,orig_cellID
2053,2054
495,496
1585,1586
1185,1185
625,626
1278,1279
594,595
973,974
837,838
879,900
1099,1100
655,658
367,368
1057,1058
1091,1092
738,739
1591,1593
1839,1840
1476,1477
571,572
1280,1281
1975,1976
1431,1432
1189,1190
1500,1501
1412,1413
701,701
874,875
2132,2132
901,902
1249,1250
500,501
2170,2170
1653,1654
900,901
1620,1621
1100,1101
995,996
320,321
1447,1447
969,970
324,325
1553,1553
1299,1300
886,885
1510,1511
807,808
1415,1416
1503,1504
366,367
1104,1105
2134,2133
1548,1549
748,749
1958,1959
504,507
613,614
2456,2457
1084,1085
2493,2494
