ndimage_cellID,orig_cellID
742,743
842,843
2052,2053
1145,1146
896,896
2152,2153
558,559
751,752
236,237
810,811
1526,1527
2064,2065
1980,1981
1775,1776
302,303
1645,1646
1323,1323
2156,2157
2308,2309
618,620
325,326
2108,2109
1964,1965
611,612
1641,1642
2056,2057
598,599
813,814
1862,1863
1060,1061
1614,1615
797,798
1394,1395
954,955
227,228
1021,1021
1434,1435
671,672
1796,1797
1859,1860
387,387
1827,1828
2010,2010
1146,1147
1722,1723
2037,2038
1880,1881
1587,1588
2146,2147
1193,1194
1159,1160
1041,1042
1751,1751
556,557
1619,1620
1379,1383
1708,1709
1065,1066
1027,1029
1303,1304
