ndimage_cellID,orig_cellID
951,951
615,616
314,315
407,407
1990,1991
581,582
2369,2369
997,998
747,748
199,199
1367,1368
2253,2254
1902,1903
1452,1453
1285,1286
1119,1120
261,261
1256,1256
401,402
745,746
1006,1007
716,717
1315,1316
670,670
972,972
2107,2108
2573,2573
2431,2432
1680,1681
691,692
1196,1197
439,440
1788,1789
1209,1211
649,655
779,780
1646,1647
271,271
1511,1512
2097,2098
2058,2059
580,581
2021,2022
653,653
759,760
1878,1879
882,882
480,481
666,667
1446,1446
1732,1733
1613,1614
2205,2206
1651,1652
494,495
1276,1277
1799,1800
590,591
1226,1229
1740,1745
