ndimage_cellID,orig_cellID
750,751
662,664
1802,1803
931,932
512,513
2119,2119
2323,2324
1155,1155
1667,1668
516,517
2135,2136
256,256
1890,1891
1643,1643
550,551
1031,1032
1624,1624
1970,1971
743,744
1475,1476
2433,2434
1682,1683
1225,1226
1800,1801
1480,1481
326,327
1245,1246
1237,1241
845,846
800,801
1777,1778
482,483
1714,1715
503,504
560,561
811,812
2226,2227
1611,1612
2265,2266
665,666
2182,2183
971,973
2275,2276
1728,1729
511,512
1630,1631
715,716
1425,1425
1254,1255
490,491
1493,1494
1113,1114
1129,1130
1353,1354
306,307
938,942
681,682
272,273
1267,1268
947,948
