,UMAP01,UMAP02,gene_ID,ndimage_ID
0,4.6640544,6.2572703,85,742
1,9.356472,9.149035,85,842
2,7.3662643,8.941265,85,2052
3,6.820598,6.5153756,85,1145
4,9.375796,8.726859,85,896
5,7.497026,8.858314,85,2152
6,4.766269,7.921441,85,558
7,9.58446,11.273716,85,751
8,9.418888,10.782387,85,746
9,8.097382,10.213792,85,236
10,4.221894,5.019168,85,810
11,8.79181,7.9579387,85,1526
12,7.5592337,7.4510508,85,2064
13,8.09682,7.98862,85,1980
14,9.427056,10.968429,85,1775
15,8.629935,11.338252,85,302
16,5.3705697,6.5882416,85,1645
17,6.886115,4.8385878,85,1323
18,7.378686,7.164584,85,2156
19,6.325813,8.450019,85,2308
20,8.617198,10.965929,85,618
21,9.2991705,11.812776,85,325
22,6.614766,7.5303135,85,2108
23,7.2799253,6.2252235,85,1964
24,7.569249,9.338294,85,611
25,4.962768,6.797603,85,1641
26,6.291767,6.9717927,85,2056
27,5.8690987,7.6582174,85,598
28,7.4451594,7.0052056,85,813
29,9.282678,10.485417,85,1862
30,6.496425,8.573793,85,1060
31,5.701159,6.9809265,85,1614
32,9.412855,10.772783,85,797
33,4.643989,3.3161688,85,1394
34,5.8860154,7.6812863,85,954
35,7.867443,10.908419,85,227
36,6.6735754,5.0902104,85,1021
37,8.496358,10.375795,85,1434
38,6.304657,6.587341,85,671
39,9.3322935,9.130422,85,1796
40,6.963768,5.085036,85,1859
41,7.0983853,8.584406,85,387
42,7.8076987,7.039298,85,1827
43,7.834707,9.25023,85,2010
44,8.314549,9.41379,85,1146
45,9.239137,8.91227,85,1722
46,7.8440447,9.755016,85,2037
47,4.5355635,6.6372566,85,1880
48,6.725627,9.57872,85,1587
49,6.236946,6.4819603,85,2146
50,5.974132,4.597533,85,1193
51,6.5851583,10.2172575,85,1159
52,8.137005,7.8046722,85,1041
53,6.802281,4.7010064,85,1751
54,8.629543,8.073027,85,556
55,9.177544,10.521932,85,1619
56,6.885472,6.079933,85,1379
57,4.8181686,5.733169,85,1708
58,6.0246487,7.4017177,85,1065
59,5.676946,6.7621098,85,1027
60,8.511521,9.656451,85,1303
61,7.511545,7.3478703,85,750
62,7.8798823,9.889717,85,662
63,4.333408,5.1437116,85,1802
64,9.2727585,9.139409,85,931
65,9.247958,11.978179,85,512
66,9.078262,8.791661,85,2119
67,7.610279,9.286988,85,2323
68,9.290158,8.914273,85,1155
69,3.7279775,7.4827967,85,1667
70,7.6963696,8.713871,85,516
71,9.046473,8.652792,85,2135
72,8.422147,10.269946,85,256
73,8.38684,6.7525234,85,1890
74,8.773516,8.934585,85,1643
75,6.9873524,10.461389,85,550
76,7.8017564,8.619047,85,1031
77,8.803481,8.602841,85,1624
78,5.2347984,7.929668,85,1970
79,7.9854383,9.505885,85,743
80,3.2747233,6.573099,85,1475
81,7.0518517,6.143161,85,2433
82,6.6527967,6.064957,85,1682
83,9.637645,11.359402,85,1225
84,5.810177,7.202196,85,1800
85,8.114319,8.103942,85,1998
86,5.5796638,4.592345,85,1480
87,9.12738,11.312135,85,326
88,6.826873,6.8121705,85,1245
89,8.889312,10.492875,85,1237
90,8.147104,7.0618877,85,2150
91,8.065464,9.470203,85,845
92,10.143786,12.461885,85,800
93,7.190621,8.673677,85,1777
94,7.9469504,7.754224,85,1214
95,8.517622,7.701608,85,482
96,9.528385,8.234649,85,1714
97,6.785415,6.1289325,85,503
98,9.37649,9.125193,85,560
99,8.008401,8.308844,85,811
100,7.0855927,5.0670347,85,2226
101,2.4046738,5.1178293,85,1611
102,6.634246,10.981156,85,2265
103,9.183252,10.893712,85,665
104,5.3084135,6.648333,85,2182
105,4.2460666,5.0369883,85,971
106,7.283678,8.845106,85,2275
107,1.7086998,4.819848,85,1728
108,8.574645,10.787511,85,511
109,7.94069,8.6372385,85,1630
110,9.661067,11.222878,85,715
111,9.281794,8.626221,85,1425
112,8.432439,9.34837,85,1254
113,7.9764175,9.332524,85,490
114,5.639933,6.580826,85,1493
115,7.978585,11.034904,85,1113
116,5.691898,6.1140103,85,1129
117,4.771999,5.648741,85,1353
118,8.040859,9.843533,85,306
119,7.774646,10.481864,85,938
120,9.241862,8.758634,85,681
121,8.295665,10.781882,85,272
122,7.197786,5.8554697,85,1267
123,5.6575656,4.5976334,85,947
124,9.482313,10.918594,85,1305
125,7.07818,7.9934626,85,2036
126,9.005644,11.10084,85,502
127,8.790665,11.53757,85,1655
128,7.530421,7.269297,85,1576
129,5.8808403,10.275823,85,706
130,6.568794,4.758984,85,946
131,2.78752,0.193964,85,1578
132,5.353929,7.9745836,85,661
133,7.827904,6.9207406,85,1976
134,8.351667,10.798395,85,224
135,8.160341,6.9416537,85,2360
136,4.144228,7.9109116,85,1625
137,6.226865,6.754066,85,2438
138,9.597084,12.005306,85,1349
139,7.372857,5.709283,85,1258
140,8.489317,10.285799,85,978
141,6.1014543,3.907943,85,1133
142,6.6469483,8.042756,85,1403
143,7.678251,10.440632,85,398
144,8.317017,10.03547,85,344
145,7.903804,6.8992524,85,1150
146,9.611443,11.443456,85,1090
147,8.670417,8.11055,85,1038
148,7.1946263,1.7930706,85,498
149,6.7034907,7.059261,85,1264
150,7.900804,9.048681,85,1495
151,7.374611,8.990464,85,1736
152,7.3558035,5.571505,85,1497
153,6.8092256,9.498678,85,2050
154,7.4308333,10.177857,85,475
155,6.267733,4.7809005,85,1140
156,8.127465,9.913231,85,1731
157,9.556604,11.30869,85,639
158,6.2488713,6.38422,85,2011
159,5.724816,6.448132,85,1168
160,8.334292,8.536538,85,2279
161,6.4001446,4.8946266,85,985
162,6.6205554,4.9507494,85,852
163,8.213403,10.050907,85,574
164,6.6532335,7.0717444,85,1131
165,6.145948,7.4354424,85,2106
166,5.024977,7.761512,85,1995
167,6.248847,6.522778,85,1545
168,8.43602,10.380622,85,582
169,6.0297565,10.228251,85,713
170,7.7106986,6.7430654,85,1543
171,6.306954,10.8618145,85,711
172,8.25234,7.2792845,85,632
173,7.6726213,10.2333555,85,1098
174,5.7851844,6.745837,85,1272
