ndimage_cellID,inside_hull,eccentricity
1,False,-0.0
2,True,250.00199999200007
3,True,156.0
4,True,127.0
5,True,231.03679360655957
6,True,288.0
7,True,307.0
8,True,226.0
9,True,246.0
10,True,500.0639959045242
11,True,497.32584891597986
12,True,281.04448046528154
13,True,502.0
14,True,318.3535770177555
15,True,427.0
16,True,340.649379861464
17,True,392.0
18,True,372.3022965279693
19,True,595.0
20,True,417.0
21,True,184.5453873712372
22,True,599.0
23,True,522.1618523025212
24,True,525.0
25,True,561.0
26,True,255.87692353942353
27,True,504.60776846972936
28,True,177.05366418123066
29,True,535.4409397870133
30,True,406.69644699702013
31,True,833.0
32,True,200.82081565415473
33,True,664.2175848319586
34,True,210.6418761785035
35,True,235.26155657055403
36,True,68.8839603971781
37,True,658.0
38,True,668.6890159109838
39,True,570.4778698599973
40,True,468.8027303674756
41,True,739.0
42,True,234.3608329051593
43,True,211.74040710265956
44,True,814.0
45,True,851.9870891040545
46,True,394.3665807342199
47,True,774.9819352733326
48,True,752.6938288573914
49,True,870.4188646852732
50,True,834.5393939173872
51,True,959.2085279020407
52,True,572.8568756679106
53,True,1063.9309188100513
54,True,901.940685411186
55,True,762.0616772939052
56,True,880.6571410032396
57,True,568.5076956383265
58,True,202.20039564748632
59,True,163.97560794215707
60,True,960.0
61,True,1015.0
62,True,150.94369811290565
63,True,325.16149833582693
64,True,840.0976133759696
65,True,992.3633407175015
66,True,678.5609773631254
67,True,1081.0
68,True,630.1269713319689
69,True,1016.0875946492015
70,True,1117.1647148026113
71,True,411.0012165432117
72,True,1054.5416065760517
73,True,432.7597485903697
74,True,1089.4815280673647
75,True,772.8939125132246
76,True,1136.6908110827676
77,True,193.59752064528098
78,True,1166.6520475274538
79,True,1154.0
80,True,1168.6847307978317
81,True,289.4995682207488
82,True,1163.7224755069396
83,True,619.0218089857578
84,True,1061.9703385688322
85,True,1224.0
86,True,1189.0
87,True,1218.334108526885
88,True,970.5405710221495
89,True,96.79876032264049
90,True,944.1038078516578
91,True,1214.2573862241893
92,True,858.1515017757646
93,True,1240.0
94,True,1049.8118879113533
95,True,1260.4320687764177
96,True,1263.1013419357926
97,True,940.1494562036399
98,True,1301.9604448676619
99,True,1300.0
100,True,988.3612699817816
101,True,1303.8297434864724
102,True,242.404620418011
103,True,1376.2227290667743
104,True,656.9048637359903
105,True,1388.0
106,True,1391.0
107,True,1327.1190602202953
108,True,1230.6603918222117
109,True,1349.0
110,True,969.5612409744936
111,True,1395.0
112,True,1160.2241162809883
113,True,1218.6656637486756
114,True,1355.0
115,True,817.3181754983796
116,True,1418.0
117,True,595.0
118,True,1421.059463921197
119,True,490.1683384307885
120,True,1067.5626445319263
121,True,1351.7492370998402
122,True,1385.3880322855398
123,True,1451.0
124,True,437.14757233684827
125,True,1429.0
126,True,333.3976604596979
127,True,1500.0
128,True,180.01388835309348
129,True,1349.4758241628488
130,True,161.47135968957468
131,True,1179.2476415070755
132,True,1405.957680728691
133,True,1266.9112044654116
134,True,1485.538622857043
135,True,1029.315306405185
136,True,1530.0735276449952
137,True,879.477117382823
138,True,822.5387528864521
139,True,1398.3708377966125
140,True,1479.137586568606
141,True,1259.2855117089214
142,True,1455.0
143,True,686.0029154456998
144,True,839.793426980707
145,True,1568.1103277512077
146,True,1364.4705933071625
147,True,1319.4695904036591
148,True,993.7092129994569
149,True,1541.0
150,True,1356.0567834718427
151,True,1587.633458957073
152,True,1554.7620396703799
153,True,1561.1844862155144
154,True,1559.8015899466188
155,True,1710.7904605766307
156,True,1387.913902228809
157,True,1730.115603073968
158,True,1634.2147961635887
159,True,399.6248240537617
160,True,806.1228194264197
161,True,1170.9897523035802
162,True,1621.0
163,True,374.22586762542215
164,True,1599.0
165,True,1539.847070328739
166,True,514.979611246892
167,True,1596.7830159417404
168,True,1585.0
169,True,1630.3143868591726
170,True,1506.38009811601
171,True,1613.6071393000218
