count,sum_10_-_GLYMA_17G195900,mean_10_-_GLYMA_17G195900,sum_15_-_GLYMA_17G195900,mean_15_-_GLYMA_17G195900,sum_20_-_GLYMA_17G195900,mean_20_-_GLYMA_17G195900,sum_25_-_GLYMA_17G195900,mean_25_-_GLYMA_17G195900,sum_30_-_GLYMA_17G195900,mean_30_-_GLYMA_17G195900,sum_10_-_GLYMA_05G092200,mean_10_-_GLYMA_05G092200,sum_15_-_GLYMA_05G092200,mean_15_-_GLYMA_05G092200,sum_20_-_GLYMA_05G092200,mean_20_-_GLYMA_05G092200,sum_25_-_GLYMA_05G092200,mean_25_-_GLYMA_05G092200,sum_30_-_GLYMA_05G092200,mean_30_-_GLYMA_05G092200
13244,0.0012837428280399348,9.693014406825241e-08,0.0012360603484186164,9.33298360328161e-08,0.001229841734196617,9.28602940347793e-08,0.0012411198538420866,9.371185849003977e-08,0.0012599004707493798,9.512990567422076e-08,0.0050496790315555495,3.8128050676197143e-07,0.004423403358898873,3.3399300505125887e-07,0.004018966420868534,3.034556343150509e-07,0.003713113168111529,2.803619124215893e-07,0.003462166791347557,2.614139830374175e-07
15224,0.0018845435500255078,1.2378767406893771e-07,0.0017478304187108955,1.148075682285139e-07,0.0016826455536831308,1.1052585087251254e-07,0.0016564020599383156,1.0880202705848105e-07,0.0016508599037680489,1.0843798632212618e-07,0.006812306694500744,4.4747153799926064e-07,0.005871866607787538,3.8569801680159865e-07,0.0052491127742498095,3.447919583716375e-07,0.004782096871083116,3.1411566415417207e-07,0.004408042709115485,2.895456324957623e-07
14080,0.0021368555170750334,1.517653066104427e-07,0.0019880719628483216,1.4119829281593193e-07,0.0018912124082557775,1.3431906308634783e-07,0.0018341443395399192,1.3026593320596017e-07,0.0018017412606865398,1.2796457817375991e-07,0.0063415523448328535,4.503943426727879e-07,0.005679814515538251,4.033959172967508e-07,0.005079152480965743,3.6073526143222604e-07,0.004595369469614341,3.263756725578367e-07,0.004206823369145749,2.9878006883137423e-07
13068,0.002204058790772127,1.6866075840007095e-07,0.002102236487435734,1.6086903025985109e-07,0.002006671944754114,1.5355616351041584e-07,0.0019360140173990475,1.481492207988252e-07,0.0018876581636455302,1.4444889528967938e-07,0.0051441857030017695,3.9364751323858045e-07,0.004994597215311001,3.8220058274494956e-07,0.004609459917328563,3.527287968570985e-07,0.004229243704139801,3.2363358617537503e-07,0.003900323167913624,2.9846366451741843e-07
12562,0.002214548058778451,1.7628944903506217e-07,0.00218578500847978,1.7399976185955898e-07,0.00211999311993857,1.687623881498623e-07,0.002054031296815029,1.6351148677081907e-07,0.0020003054560445324,1.5923463270534408e-07,0.003954215907510574,3.1477598372158684e-07,0.004197364134476382,3.341318368473477e-07,0.004085449010984178,3.2522281571279876e-07,0.0038572064813892294,3.0705353298752023e-07,0.0036164348713496075,2.8788687082865847e-07
12320,0.0022338891083780324,1.813221678878273e-07,0.0022493788420985448,1.8257945146903772e-07,0.002210987976833711,1.7946330980793108e-07,0.0021550436566712904,1.7492237472981252e-07,0.002102596548026825,1.7066530422295656e-07,0.0031121004106757825,2.5260555281459275e-07,0.003520485223553111,2.857536707429473e-07,0.0036417753978293392,2.955986524212126e-07,0.0035805845647663486,2.9063186402324257e-07,0.0034463311772609836,2.7973467347897594e-07
11154,0.002073022325852654,1.8585461053009273e-07,0.00212561613776486,1.905698527671562e-07,0.0021224316302696934,1.9028434913660511e-07,0.0020880917847885894,1.8720564683419307e-07,0.0020463787111251173,1.8346590560562285e-07,0.002136485574960188,1.9154434059173282e-07,0.0025034042059715184,2.2444003998310188e-07,0.0027580299265042066,2.4726823798674974e-07,0.0028496446161169276,2.554818554883385e-07,0.0028389504473170786,2.545230811652392e-07
11308,0.0021913350203274133,1.9378625931441574e-07,0.0022370793568053347,1.9783156674967586e-07,0.0022464856559748763,1.9866339370135094e-07,0.0022253770752835036,1.9679669926454753e-07,0.0021919377621885798,1.9383956156602227e-07,0.001623302073656201,1.4355342002619394e-07,0.0019570303241280363,1.7306599965759077e-07,0.002293943701539522,2.0286024951711373e-07,0.002506446902704857,2.2165253826537468e-07,0.0026011123839563047,2.3002408772163996e-07
10098,0.002028925816951466,2.009235310904601e-07,0.002068920889892703,2.048842235980098e-07,0.002087398554713711,2.0671405770585373e-07,0.0020841096286350314,2.0638835696524376e-07,0.0020658407052360998,2.0457919441831054e-07,0.000995031727545831,9.853750520358794e-08,0.0012442355246274797,1.2321603531664485e-07,0.0015583529688471861,1.5432293214965202e-07,0.0018181355588612193,1.8004907495159628e-07,0.0019847662214463892,1.9655042795072186e-07
10252,0.0021168209545973553,2.064788289696991e-07,0.0021457392117348846,2.092995719600941e-07,0.0021641259673289724,2.1109305182686035e-07,0.002172057763766457,2.118667346631347e-07,0.0021651329417464067,2.1119127406812394e-07,0.0006617925187864908,6.455252816879543e-08,0.0008997912742012574,8.776738921198375e-08,0.0012063545009642393,1.1767016201367921e-07,0.001502988806442654,1.466044485410314e-07,0.001730021589904578,1.687496673726666e-07
9306,0.0019806843355157657,2.128394944676301e-07,0.0019915529269573153,2.140074067222561e-07,0.0020129418808181123,2.1630581139244705e-07,0.002030945590380272,2.1824044598971332e-07,0.002035170967049097,2.186944946323981e-07,0.0003288417767272141,3.5336533067613804e-08,0.0005339819093909872,5.738039000547896e-08,0.0007865346477980898,8.451908959790348e-08,0.0010584049442087825,1.1373360672778665e-07,0.0012958375804255678,1.392475371185867e-07
8448,0.0018271653038737143,2.1628377176535446e-07,0.0018398007437863382,2.1777944410349647e-07,0.001871978460155043,2.2158835939335264e-07,0.0018975209461373232,2.246118544196642e-07,0.0019090964549259152,2.2598206142588957e-07,0.00014030348052923908,1.6607893055070914e-08,0.0002856664108904735,3.381467931942158e-08,0.00047377282465975337,5.60810635250655e-08,0.0006963307888358584,8.242551951182036e-08,0.0009146246156518556,1.0826522439060791e-07
8426,0.0017611092510922302,2.0900893082034537e-07,0.0018183649634065104,2.1580405452249114e-07,0.0018740337062017986,2.2241083624516956e-07,0.0019106259388350201,2.2675361248932116e-07,0.0019312147931237,2.2919710338520058e-07,7.743104089479108e-05,9.189537253120232e-09,0.00019702194930469957,2.338261919115827e-08,0.0003507928957627161,4.1632197455817246e-08,0.0005454741239914301,6.473701922518753e-08,0.0007542874279464645,8.951903963285836e-08
7370,0.001487032310766615,2.0176829182722048e-07,0.0016008139854454884,2.1720678228568364e-07,0.0016629899083669929,2.2564313546363539e-07,0.001697875568389174,2.303766035806206e-07,0.0017190558963918593,2.3325046084014374e-07,4.56581036614712e-05,6.195129397757286e-09,0.00010847881283643226,1.471897053411564e-08,0.00020597184718062732,2.7947333403070192e-08,0.000342061762591811,4.641272219698928e-08,0.0005043443744433061,6.843207251605238e-08
