count,sum_10_-_GLYMA_17G195900,mean_10_-_GLYMA_17G195900,sum_15_-_GLYMA_17G195900,mean_15_-_GLYMA_17G195900,sum_20_-_GLYMA_17G195900,mean_20_-_GLYMA_17G195900,sum_25_-_GLYMA_17G195900,mean_25_-_GLYMA_17G195900,sum_30_-_GLYMA_17G195900,mean_30_-_GLYMA_17G195900,sum_10_-_GLYMA_05G092200,mean_10_-_GLYMA_05G092200,sum_15_-_GLYMA_05G092200,mean_15_-_GLYMA_05G092200,sum_20_-_GLYMA_05G092200,mean_20_-_GLYMA_05G092200,sum_25_-_GLYMA_05G092200,mean_25_-_GLYMA_05G092200,sum_30_-_GLYMA_05G092200,mean_30_-_GLYMA_05G092200
12998,0.0012077699958450623,9.291967963110188e-08,0.0011482236903262231,8.833848979275451e-08,0.0011398766169515072,8.769630842833568e-08,0.0011519921872604462,8.862841877676921e-08,0.0011721730641567648,9.018103278633366e-08,0.005274734434230736,4.05811235130846e-07,0.004797419994851753,3.6908909023324763e-07,0.0043973647766185914,3.3831087679786053e-07,0.004040373404158642,3.108457765932176e-07,0.0037270970356112535,2.8674388641416015e-07
16436,0.001990182475666389,1.2108678970956372e-07,0.0018185440535849317,1.1064395556004695e-07,0.0017371583983118888,1.0569228512484113e-07,0.0016997075565218446,1.0341369898526677e-07,0.0016848194244566607,1.0250787444978466e-07,0.007306834722568497,4.4456283296230816e-07,0.006292742828701749,3.8286339916657027e-07,0.005556966762015351,3.3809727196491547e-07,0.0049940393303664855,3.038476107548361e-07,0.00454955610025412,2.7680433805391333e-07
15290,0.0021011886553241603,1.3742241042015436e-07,0.0019690899048679855,1.287828583955517e-07,0.001878947290234907,1.2288733095061524e-07,0.0018240429692005739,1.1929646626557057e-07,0.0017907773155882336,1.1712081854730108e-07,0.007204261522646972,4.7117472352171166e-07,0.006338208891730788,4.145329556396853e-07,0.0055792904226954374,3.648980001762876e-07,0.004981342358125073,3.257908671108615e-07,0.004509955555704543,2.9496112202122583e-07
14784,0.002226249694589794,1.5058507133318413e-07,0.0021547702177722324,1.457501500116499e-07,0.0020644507948992157,1.3964088168961144e-07,0.0019901842122237202,1.3461743859738367e-07,0.0019344791556559224,1.3084950998754886e-07,0.00607846021361121,4.111512590375548e-07,0.005712832896022628,3.864199740275046e-07,0.005187429001215368,3.508812906666239e-07,0.00470732430766127,3.184066766545773e-07,0.004304381183927803,2.9115132467044124e-07
14498,0.0022514892857622955,1.5529654336889884e-07,0.002253566685101864,1.554398320528255e-07,0.002193415133794041,1.5129087693433862e-07,0.0021212217747303727,1.4631133775212944e-07,0.0020576106621450077,1.4192375928714358e-07,0.004501321160947148,3.1047876679177456e-07,0.004657393681086897,3.212438737127119e-07,0.004499423199871345,3.103478548676607e-07,0.004231963003080938,2.918997794924085e-07,0.003955333652537554,2.728192614524454e-07
13926,0.0022583622457279144,1.621687667476601e-07,0.0023014338274960446,1.652616564337243e-07,0.002276304963378157,1.634571997255606e-07,0.0022191962046334552,1.5935632662885648e-07,0.002158375625090666,1.5498891462664555e-07,0.0030544256641991015,2.193325911388124e-07,0.0035296773150679172,2.534595228398619e-07,0.003711724299588113,2.6653197613012444e-07,0.00368081181348438,2.643122083501637e-07,0.0035549986049745116,2.5527779728382247e-07
13574,0.0023005893990699525,1.6948500066818568e-07,0.002330740863276658,1.7170626663302327e-07,0.002317865386636327,1.7075772702492462e-07,0.002272158413100545,1.673904827685682e-07,0.0022161912858910697,1.632673704060019e-07,0.0018436785997540653,1.35824266962875e-07,0.002456641999973924,1.80981435094587e-07,0.0028796594804572488,2.1214523946200448e-07,0.003066059700984719,2.2587739067222035e-07,0.0030997600337417876,2.2836010267730866e-07
12562,0.002205979588989,1.756073546401051e-07,0.0022295964756665937,1.7748738064532667e-07,0.002230247903911009,1.7753923769391888e-07,0.0022036302661158085,1.7542033642061842e-07,0.0021617979299788322,1.7209026667559564e-07,0.0009565385130619677,7.614539986164367e-08,0.0015062044629435842,1.1990164487689733e-07,0.002005927000416596,1.59682136635615e-07,0.002331137761294288,1.8557059077330745e-07,0.0024980729274174064,1.9885949111744996e-07
12298,0.002256747571252781,1.8350525054909587e-07,0.0022540734724684182,1.8328780878747913e-07,0.0022504350113567635,1.8299195083401882e-07,0.002231433135101872,1.8144683160691755e-07,0.002197660256158868,1.7870062255316867e-07,0.0004685932997818723,3.810321188663785e-08,0.0008935993044646436,7.266216494264463e-08,0.0013798913689019223,1.122045347944318e-07,0.0017781314611645762,1.4458704351639098e-07,0.002039926968838495,1.658746925385018e-07
11506,0.0021027218512133317,1.8275003052436395e-07,0.0021020880945317928,1.826949499853809e-07,0.0021088150381105633,1.832795965679266e-07,0.002108441331492323,1.8324711728596587e-07,0.002094668269285759,1.8205008424176595e-07,0.00017716324016624294,1.5397465684533542e-08,0.0004307378681013439,3.743593499924769e-08,0.0008010440188276169,6.961967832675272e-08,0.0011723592580648412,1.0189112272421704e-07,0.001466107108165667,1.274210940522916e-07
