,UMAP01,UMAP02,gene_ID,ndimage_ID
0,-0.43632865,5.0135236,85,742
1,1.481227,0.87091273,85,842
2,-0.7207367,1.1438987,85,2052
3,5.9976,6.6172485,85,1145
4,6.0204844,1.4695421,85,896
5,0.7862429,-0.2122936,85,2152
6,0.6000477,7.2491145,85,558
7,1.0438192,0.16246778,85,751
8,1.0756838,2.0379026,85,746
9,1.5921601,0.66895,85,236
10,-1.0169379,3.8028092,85,810
11,0.54195076,-0.41678548,85,1526
12,-0.019076264,-0.10880652,85,2064
13,1.408354,2.1292248,85,1980
14,6.071808,4.127023,85,1775
15,0.15130487,1.7401187,85,302
16,-0.26102275,3.9538352,85,1645
17,-0.9823068,1.3483886,85,1323
18,0.6272785,1.6400286,85,2156
19,-0.7749085,3.6092088,85,2308
20,1.7231338,3.7641587,85,618
21,-0.52473766,3.7267768,85,325
22,-0.28883898,4.020036,85,2108
23,0.09320111,0.16447188,85,1964
24,0.81092566,0.73409957,85,611
25,-0.058671843,6.462948,85,1641
26,0.023830758,0.9804499,85,2056
27,-0.82411844,3.3654678,85,598
28,-0.82063454,2.6415603,85,813
29,0.8262724,1.4710901,85,1862
30,-0.7754939,3.0496628,85,1060
31,-1.0148913,3.2847533,85,1614
32,6.2138724,2.1414876,85,797
33,1.1107438,3.5338497,85,1394
34,0.50896436,3.6455889,85,954
35,-0.027990174,3.3413098,85,227
36,-0.40445447,1.2734785,85,1021
37,1.5664461,0.9924647,85,1434
38,-0.9715257,1.4497057,85,671
39,-0.18971312,0.14792278,85,1796
40,-0.097336136,2.083238,85,1859
41,0.16557822,1.0985414,85,387
42,0.6355055,1.7027575,85,1827
43,0.12831566,0.17102343,85,2010
44,0.017312974,5.564858,85,1146
45,1.6364745,0.44454518,85,1722
46,-0.41010436,0.35264307,85,2037
47,0.1506817,6.234572,85,1880
48,-0.14592376,5.2064595,85,1587
49,-0.047973122,1.8225329,85,2146
50,-1.0907024,1.8751915,85,1193
51,4.3065276,8.718486,85,1159
52,1.0429883,1.4961143,85,1041
53,-1.0145427,1.8586072,85,1751
54,0.09276494,-0.27865124,85,556
55,0.67298937,0.7545048,85,1619
56,-0.45193955,2.7107434,85,1379
57,-0.73014337,4.2670293,85,1708
58,-0.8030758,3.3218153,85,1065
59,-0.8289557,1.6151675,85,1027
60,5.9380507,8.636134,85,1303
61,-0.7501584,0.8840489,85,750
62,-0.18179518,1.4192894,85,662
63,-1.0336037,3.8576672,85,1802
64,1.6051465,0.8460736,85,931
65,6.441487,8.0118475,85,512
66,0.9407985,-0.113435835,85,2119
67,0.62670356,0.5711829,85,2323
68,0.7992836,0.56047964,85,1155
69,2.5989447,9.143478,85,1667
70,-0.9954237,1.6642139,85,516
71,0.6958063,-0.44014674,85,2135
72,-0.40810493,1.3071879,85,256
73,0.92148334,-0.3195237,85,1890
74,6.379066,8.192306,85,1643
75,-0.39292058,5.3304915,85,550
76,-0.20450506,2.8262663,85,1031
77,-0.3045176,0.0699205,85,1624
78,-0.5303839,4.9692054,85,1970
79,-0.061060473,0.5954261,85,743
80,0.11917155,6.572424,85,1475
81,0.04898586,0.5859921,85,2433
82,-0.9012337,1.2501857,85,1682
83,4.7652903,2.3550966,85,1225
84,-0.22091815,5.1741343,85,1800
85,1.144892,3.2324934,85,1998
86,-0.96590334,2.754466,85,1480
87,0.13146113,-0.067421995,85,326
88,0.9868808,3.3700802,85,1245
89,6.1660295,6.6067824,85,1237
90,0.7189046,-0.37893158,85,2150
91,-0.78491914,0.8794741,85,845
92,1.3508818,3.2433407,85,800
93,0.37983078,3.2505774,85,1777
94,0.16499144,1.7739054,85,1214
95,0.4880345,-0.38597766,85,482
96,6.2468967,6.6387005,85,1714
97,-1.0108,1.4887295,85,503
98,1.0662371,-0.31118545,85,560
99,0.589666,0.9502087,85,811
100,-0.049421072,-0.14895175,85,2226
101,1.8724109,9.094369,85,1611
102,0.10652737,6.2963815,85,2265
103,1.0819092,1.7778037,85,665
104,-0.59944665,5.0833025,85,2182
105,-0.65178955,3.873634,85,971
106,4.342503,1.2961805,85,2275
107,0.34685114,7.0415783,85,1728
108,0.4563157,1.780562,85,511
109,0.7667182,2.1424246,85,1630
110,1.0779879,2.0230176,85,715
111,1.6334313,0.52333426,85,1425
112,0.93228215,3.3434136,85,1254
113,1.3681904,1.6753688,85,490
114,0.8875532,2.1375732,85,1493
115,1.2328819,2.2711606,85,1113
116,-0.025883583,3.2018142,85,1129
117,1.1781014,3.8494756,85,1353
118,0.37458387,0.95987207,85,306
119,6.38004,6.953563,85,938
120,0.40616474,-0.33397046,85,681
121,1.1957663,1.8526399,85,272
122,1.4017346,1.9424742,85,1267
123,-0.9356112,1.3262866,85,947
124,6.1145043,6.520082,85,1305
125,-0.39716008,3.7782893,85,2036
126,6.2649584,6.6507297,85,502
127,6.3125954,8.209239,85,1655
128,0.6363528,1.2970334,85,1576
129,0.034745287,6.3472466,85,706
130,-0.09862842,1.0725847,85,946
131,-0.92249113,1.4932883,85,1578
132,1.5800711,7.923858,85,661
133,0.03145157,0.13983566,85,1976
134,-0.049502444,1.7807665,85,224
135,1.3693588,0.53791064,85,2360
136,0.20955049,6.1382804,85,1625
137,-0.43638307,1.6993407,85,2438
138,6.853738,9.229227,85,1349
139,0.5727975,0.4222354,85,1258
140,1.1060985,1.0290476,85,978
141,-1.0555502,2.6422446,85,1133
142,1.3698088,3.5397367,85,1403
143,0.19556196,5.5801454,85,398
144,-0.6568058,1.0571004,85,344
145,-0.16360041,0.030241916,85,1150
146,1.9964082,3.77892,85,1090
147,0.37464878,-0.25101432,85,1038
148,0.09907814,1.7256182,85,498
149,-0.046170626,3.225369,85,1264
150,-0.28662074,1.5475717,85,1495
151,0.59764624,1.6120968,85,1736
152,-0.41505542,1.000537,85,1497
153,-0.84253925,3.378159,85,2050
154,0.5287886,1.8274282,85,475
155,-0.33234107,1.8587978,85,1140
156,0.4569405,4.170606,85,1731
157,1.7331874,3.9425266,85,639
158,-0.724607,2.745901,85,2011
159,-0.4965523,1.8858848,85,1168
160,-0.20990327,0.051646873,85,2279
161,-1.0509489,1.927093,85,985
162,-0.90687525,2.1868303,85,852
163,2.1350188,3.3823967,85,574
164,0.5402471,2.3887477,85,1131
165,-0.37370282,1.5593448,85,2106
166,0.42578968,5.850539,85,1995
167,-1.0649968,2.2812316,85,1545
168,1.0092264,1.8080022,85,582
169,0.16756976,5.953845,85,713
170,6.1181192,6.618719,85,1543
171,2.2799094,8.594405,85,711
172,0.8911773,-0.31682354,85,632
173,5.9513607,6.5014777,85,1098
174,-0.15401667,5.4482155,85,1272
175,-0.4244517,3.661351,85,2312
176,0.4601128,3.3455198,85,1780
177,1.1312784,1.9377587,85,2096
178,1.0017644,5.7335877,85,293
179,1.3716438,1.033399,85,993
180,-0.23050086,1.7930938,85,1239
181,0.5650209,1.4283149,85,583
182,-0.47319978,1.1639231,85,1969
183,1.2585108,3.5114226,85,1048
184,1.5117977,0.46255374,85,1537
185,1.310264,3.6526399,85,626
186,-0.17441173,3.7626646,85,1275
187,4.8958216,6.017446,85,951
188,0.40266493,-0.37828636,85,615
189,0.4419586,1.3374504,85,314
190,1.0376421,3.668777,85,407
191,-1.0453631,2.7527103,85,1990
192,0.52219415,0.43175486,85,581
193,-0.8301189,1.1100067,85,2369
194,-0.871948,1.1159267,85,997
195,-0.44739598,1.3036101,85,747
