ndimage_cellID,x0,x1,y0,y1,length,height,total_area,nuclei_area,cyto_area,c2t_area_ratio,orig_comX,orig_comY,ndimage_comX,ndimage_comY,orig_cellID
58,6323,6422,3271,3380,99,109,5575,33,5542,0.9940807174887892,6369.41,3329.9,6366.38,3329.85,59
59,3200,3802,3326,3743,602,417,112801,5740,107061,0.9491139262949797,3518.56,3542.18,3515.04,3542.39,60
60,3628,3639,3327,3340,11,13,96,0,96,1.0,3735.7,3219.74,3633.94,3332.55,2000
61,5186,5889,3351,3870,703,519,230128,0,230128,1.0,5519.55,3621.18,5516.29,3621.4,61
62,10115,10522,3369,4118,407,749,132502,0,132502,1.0,10332.59,3759.3,10329.11,3760.0,62
63,4628,4867,3429,3793,239,364,42516,0,42516,1.0,4756.07,3598.3,4752.79,3598.6,63
64,4628,4702,3466,3508,74,42,1829,0,1829,1.0,4667.24,3483.26,4664.45,3483.14,64
65,9143,9590,3477,4070,447,593,165833,0,165833,1.0,9353.16,3773.54,9350.02,3773.75,65
66,10165,10718,3529,4405,553,876,237309,4077,233232,0.9828198677673413,10516.26,3982.18,10512.71,3982.62,66
67,7543,8262,3539,3979,719,440,151987,919,151068,0.9939534302275852,7901.73,3763.52,7898.89,3763.61,67
68,10683,10718,3574,3655,35,81,2113,0,2113,1.0,10706.86,3610.49,10703.35,3610.22,68
69,10100,10247,3593,3758,147,165,13885,0,13885,1.0,10185.33,3665.52,10181.89,3665.92,69
70,8446,8532,3645,3745,86,100,4864,0,4864,1.0,8495.46,3700.32,8492.32,3700.07,70
71,9401,10272,3646,4155,871,509,222012,0,222012,1.0,9788.48,3904.54,9785.92,3904.81,71
72,2998,3923,3716,4970,925,1254,604659,5594,599065,0.990748504528999,3379.84,4269.45,3376.86,4270.27,72
73,5070,6392,3746,4710,1322,964,765706,955,764751,0.9987527850114796,5637.94,4259.31,5635.73,4259.63,73
74,6310,6420,3751,3850,110,99,5970,0,5970,1.0,6371.65,3804.76,6368.72,3804.69,74
75,5793,6497,3791,4160,704,369,102084,0,102084,1.0,6229.61,3945.46,6225.21,3946.38,75
76,9868,10417,3966,4550,549,584,170405,0,170405,1.0,10129.35,4251.58,10126.09,4251.62,76
77,9153,9657,3979,4490,504,511,134019,0,134019,1.0,9404.77,4220.89,9401.32,4221.1,77
78,9498,10222,4064,4678,724,614,204923,0,204923,1.0,9838.15,4392.03,9835.08,4392.08,78
79,10350,10718,4082,4696,368,614,122521,0,122521,1.0,10590.44,4433.77,10586.63,4434.03,79
80,4618,5117,4121,4900,499,779,160258,174,160084,0.9989142507706323,4868.92,4493.27,4865.82,4493.65,80
81,3443,4242,4130,4853,799,723,321983,3663,318320,0.9886236229863067,3826.52,4536.21,3823.33,4536.42,81
82,2598,2868,4316,4674,270,358,50495,456,50039,0.9909694029111793,2742.53,4492.4,2739.1,4491.86,82
83,9268,9557,4341,4740,289,399,50541,0,50541,1.0,9423.82,4562.88,9420.39,4563.09,83
84,4983,5082,4404,4475,99,71,4186,1034,3152,0.7529861442904922,5031.75,4435.69,5028.75,4435.78,84
85,5803,5924,4416,4650,121,234,11300,0,11300,1.0,5866.03,4522.26,5862.43,4522.87,85
86,4753,5239,4426,5103,486,677,165167,7536,157631,0.9543734523240115,5024.62,4768.69,5021.55,4768.86,86
87,9446,10084,4501,4890,638,389,142739,0,142739,1.0,9742.95,4679.68,9739.88,4680.01,87
88,10073,10669,4511,4853,596,342,97700,0,97700,1.0,10326.71,4667.47,10323.81,4667.75,88
89,2628,3124,4539,5075,496,536,167649,1219,166430,0.9927288561220168,2882.22,4822.59,2879.18,4822.97,89
90,5458,5822,4615,4872,364,257,50524,0,50524,1.0,5658.0,4756.18,5654.92,4756.02,90
91,4296,4939,4636,5328,643,692,254573,0,254573,1.0,4615.68,4991.99,4612.56,4992.36,91
92,10656,10718,4659,4780,62,121,4964,0,4964,1.0,10698.04,4717.34,10694.67,4717.69,92
93,3745,4523,4706,5563,778,857,373306,0,373306,1.0,4125.23,5150.31,4121.87,5150.2,94
94,9898,10309,4706,5258,411,552,79881,957,78924,0.9880196792729184,10141.67,4995.69,10138.49,4995.56,93
95,3341,3994,4716,5237,653,521,197318,270,197048,0.9986316504322971,3672.53,4972.88,3669.43,4972.59,95
96,5778,5802,4716,4747,24,31,439,0,439,1.0,5658.0,4756.18,5788.9,4731.39,2001
97,10243,10718,4729,5290,475,561,173506,664,172842,0.9961730430071583,10503.91,4958.08,10500.38,4958.45,97
98,5718,5934,4746,5220,216,474,52703,0,52703,1.0,5827.71,4976.42,5824.92,4978.74,96
99,9688,10227,4759,4989,539,230,68002,0,68002,1.0,9986.84,4867.96,9983.48,4867.97,98
100,2988,3464,4809,5428,476,619,175652,0,175652,1.0,3209.22,5106.77,3206.45,5106.86,99
101,2333,2702,4826,5250,369,424,87924,0,87924,1.0,2502.66,5056.4,2499.66,5056.16,100
102,8468,8594,4849,4963,126,114,7459,1731,5728,0.7679313580908969,8537.5,4902.58,8533.8,4902.7,101
103,8333,8429,4863,4973,96,110,7403,438,6965,0.9408347967040389,8383.74,4918.19,8380.55,4918.38,102
104,8425,8469,4864,4898,44,34,1179,608,571,0.48430873621713316,8447.96,4880.35,8444.49,4880.7,103
105,8418,8524,4885,4955,106,70,4263,2884,1379,0.32348111658456485,8467.54,4921.47,8464.09,4921.58,104
106,8258,8347,4894,4975,89,81,4520,0,4520,1.0,8306.63,4932.55,8303.42,4932.3,105
107,8181,8290,4926,5041,109,115,5657,396,5261,0.9299982322785929,8240.61,4980.81,8236.93,4981.38,107
108,8550,8662,4926,5061,112,135,6863,0,6863,1.0,8608.79,4997.57,8605.2,4997.16,106
109,8423,8532,4934,5065,109,131,7647,0,7647,1.0,8487.81,4989.15,8484.84,4989.3,108
110,8343,8492,4951,5091,149,140,11180,66,11114,0.9940966010733453,8426.97,5028.72,8423.58,5028.71,109
111,8520,8573,4955,5025,53,70,2291,0,2291,1.0,8544.69,4989.5,8541.13,4989.82,110
112,8216,8399,4964,5080,183,116,13169,0,13169,1.0,8310.85,5027.25,8307.73,5027.28,111
113,4555,5844,4986,5930,1289,944,553717,658,553059,0.9988116673318681,5179.38,5461.7,5175.75,5462.2,112
114,8503,8588,5000,5090,85,90,3837,0,3837,1.0,8552.25,5046.57,8549.38,5046.31,113
115,2388,3122,5009,5488,734,479,193441,0,193441,1.0,2778.52,5254.93,2775.19,5255.2,114
116,8133,8183,5014,5065,50,51,1647,540,1107,0.6721311475409836,8158.97,5038.28,8155.61,5038.59,115
117,8626,8702,5024,5120,76,96,5373,0,5373,1.0,8669.08,5069.38,8665.89,5068.99,116
118,8068,8199,5035,5178,131,143,11874,1107,10767,0.9067710965133906,8136.06,5110.64,8133.26,5110.63,117
119,8168,8347,5039,5250,179,211,18606,100,18506,0.9946253896592497,8255.25,5132.66,8251.8,5132.86,118
120,8470,8697,5045,5216,227,171,18480,0,18480,1.0,8599.65,5124.72,8596.53,5124.58,119
121,10095,10424,5063,5360,329,297,55947,816,55131,0.9854147675478578,10278.02,5200.0,10274.7,5200.11,121
122,8343,8413,5064,5131,70,67,3231,0,3231,1.0,8378.34,5095.07,8374.99,5095.31,120
123,10255,10718,5071,5505,463,434,99338,315,99023,0.9968290080331796,10561.4,5313.5,10557.21,5313.66,122
124,7891,8013,5076,5144,122,68,4061,3027,1034,0.2546170893868505,7952.52,5109.55,7949.03,5110.02,123
125,7545,7702,5081,5230,157,149,16114,2411,13703,0.8503785528112201,7627.96,5156.24,7624.6,5156.38,124
126,7958,8069,5081,5150,111,69,4479,3047,1432,0.31971422192453675,8017.33,5119.92,8014.05,5120.09,125
127,8386,8507,5091,5205,121,114,9579,51,9528,0.9946758534293768,8449.57,5143.01,8446.03,5143.13,126
128,7683,7787,5101,5192,104,91,6195,909,5286,0.853268765133172,7735.69,5143.6,7732.85,5144.02,127
129,3198,3927,5109,5810,729,701,302060,2029,300031,0.9932827914983778,3581.63,5474.62,3578.51,5474.61,128
130,8290,8409,5121,5250,119,129,11122,0,11122,1.0,8347.88,5183.61,8344.28,5184.14,130
131,7918,8106,5122,5250,188,128,13794,3997,9797,0.7102363346382485,8014.76,5190.06,8012.06,5189.98,129
132,7446,7547,5129,5205,101,76,4557,211,4346,0.9536976080754883,7491.43,5163.06,7488.2,5162.82,131
133,7778,7839,5131,5201,61,70,2827,96,2731,0.9660417403608065,7817.54,5163.4,7814.23,5163.87,133
134,7838,7922,5131,5211,84,80,4857,341,4516,0.9297920527074326,7881.72,5170.1,7878.46,5170.13,132
135,7336,7482,5134,5305,146,171,17953,0,17953,1.0,7403.99,5215.78,7400.72,5216.32,134
136,7910,7969,5139,5185,59,46,1583,192,1391,0.8787113076437144,7939.54,5157.76,7936.5,5157.97,135
137,8471,8567,5141,5251,96,110,7443,0,7443,1.0,8527.13,5194.3,8523.73,5194.48,136
138,7455,7559,5156,5305,104,149,7119,0,7119,1.0,7508.83,5230.84,7505.77,5230.68,138
139,8558,8674,5156,5288,116,132,9410,3422,5988,0.6363443145589798,8618.09,5229.68,8614.76,5229.63,137
140,8048,8272,5166,5342,224,176,24017,0,24017,1.0,8163.32,5249.15,8160.16,5249.26,139
141,7760,7824,5169,5265,64,96,4500,2092,2408,0.5351111111111111,7791.01,5218.5,7788.12,5218.91,140
142,7168,7347,5171,5352,179,181,18480,1892,16588,0.8976190476190476,7271.01,5267.81,7267.62,5267.97,141
143,7661,7727,5172,5240,66,68,2977,0,2977,1.0,7696.81,5206.75,7693.49,5206.55,142
144,8665,8842,5176,5327,177,151,17302,2257,15045,0.8695526528725003,8752.5,5246.59,8749.39,5247.06,143
145,7720,7764,5179,5265,44,86,2736,0,2736,1.0,7746.54,5219.77,7743.66,5220.85,144
146,1990,3796,5190,6440,1806,1250,1162095,492,1161603,0.9995766266957521,2927.49,5847.65,2923.53,5847.66,145
147,7820,7859,5194,5260,39,66,1891,0,1891,1.0,7839.87,5228.16,7836.8,5228.21,148
148,7748,7992,5194,5378,244,184,24509,628,23881,0.9743767595577135,7877.56,5301.76,7874.16,5301.41,146
149,8353,8508,5194,5315,155,121,13262,0,13262,1.0,8436.4,5255.44,8433.19,5255.6,147
150,7898,7943,5204,5253,45,49,1525,159,1366,0.8957377049180328,7920.5,5230.13,7918.01,5230.15,149
151,7523,7594,5212,5295,71,83,4021,0,4021,1.0,7562.03,5251.73,7558.87,5251.86,150
152,7586,7737,5220,5302,151,82,7570,0,7570,1.0,7656.07,5257.71,7653.59,5257.96,151
153,3705,5109,5226,6903,1404,1677,1193078,0,1193078,1.0,4492.74,6059.02,4489.63,6058.96,152
154,7968,8110,5236,5431,142,195,14415,8,14407,0.999445022545959,8046.55,5318.47,8043.63,5319.65,153
155,8493,8588,5236,5340,95,104,6798,0,6798,1.0,8544.0,5287.58,8541.16,5287.76,154
156,8223,8392,5243,5511,169,268,24229,0,24229,1.0,8307.79,5346.62,8304.76,5347.24,155
157,7036,7192,5249,5432,156,183,18227,1193,17034,0.9345476490920064,7119.31,5344.11,7116.48,5344.05,156
158,7818,7847,5259,5290,29,31,699,72,627,0.8969957081545065,7833.8,5275.74,7830.99,5275.23,157
159,7705,7759,5261,5318,54,57,1729,0,1729,1.0,7731.82,5286.94,7728.11,5287.64,158
160,7733,7784,5263,5325,51,62,1966,151,1815,0.9231943031536114,7765.27,5297.78,7761.7,5297.5,159
161,7455,7563,5269,5375,108,106,6653,2837,3816,0.5735758304524274,7514.92,5324.94,7511.99,5325.2,160
162,8533,8774,5271,5580,241,309,42283,3384,38899,0.9199678357732421,8665.23,5405.46,8662.29,5406.01,161
163,7436,7487,5276,5340,51,64,1451,0,1451,1.0,7465.69,5306.96,7462.3,5306.86,162
164,7653,7704,5279,5313,51,34,1405,0,1405,1.0,7680.13,5295.37,7676.95,5295.62,163
165,8800,8897,5279,5385,97,106,6524,392,6132,0.9399141630901288,8850.3,5323.09,8847.1,5323.46,164
166,7608,7655,5284,5328,47,44,1566,0,1566,1.0,7633.3,5306.64,7630.62,5307.08,165
167,7285,7377,5285,5370,92,85,4428,0,4428,1.0,7335.76,5326.57,7332.64,5326.77,166
168,7563,7607,5285,5338,44,53,1789,0,1789,1.0,7585.7,5311.51,7583.12,5311.48,167
169,7373,7457,5286,5361,84,75,4147,0,4147,1.0,7416.54,5321.14,7413.64,5321.49,168
170,7643,7772,5306,5405,129,99,7963,507,7456,0.9363305286952154,7706.18,5351.73,7703.13,5351.81,169
171,8748,8819,5306,5358,71,52,2477,0,2477,1.0,8786.7,5332.36,8783.59,5332.44,170
172,8333,8549,5307,5478,216,171,29775,833,28942,0.9720235096557515,8442.27,5396.79,8439.12,5396.98,171
173,8080,8274,5319,5433,194,114,15075,545,14530,0.9638474295190713,8182.34,5375.31,8179.56,5375.61,172
174,7578,7652,5324,5360,74,36,2096,73,2023,0.9651717557251909,7620.03,5344.01,7616.4,5344.41,173
175,7506,7582,5330,5423,76,93,4504,0,4504,1.0,7550.88,5378.06,7547.84,5377.94,174
176,7186,7278,5334,5452,92,118,7884,489,7395,0.9379756468797564,7235.02,5388.7,7231.6,5388.75,175
177,7731,8044,5334,5525,313,191,33753,0,33753,1.0,7896.4,5418.4,7893.13,5418.56,176
178,7410,7472,5339,5400,62,61,2636,0,2636,1.0,7440.77,5370.96,7437.7,5371.13,177
179,7327,7420,5341,5430,93,89,5108,0,5108,1.0,7377.74,5383.0,7374.77,5383.0,178
180,7266,7358,5343,5450,92,107,5431,0,5431,1.0,7311.24,5396.72,7307.83,5396.67,179
181,8735,8840,5351,5545,105,194,14568,2423,12145,0.8336765513454146,8789.96,5447.15,8786.77,5447.53,180
182,6933,7083,5354,5490,150,136,14906,0,14906,1.0,7001.49,5420.69,6998.4,5420.94,181
183,7573,7658,5361,5405,85,44,2879,1283,1596,0.5543591524835012,7615.35,5379.74,7612.54,5380.15,182
184,7101,7194,5370,5460,93,90,2811,155,2656,0.9448594806118819,7154.65,5419.0,7151.4,5419.08,183
185,7453,7512,5371,5418,59,47,1637,0,1637,1.0,7485.4,5391.98,7481.79,5392.56,184
186,8851,8952,5371,5460,101,89,3279,2522,757,0.2308630680085392,8907.78,5416.37,8904.05,5416.03,185
187,7565,7712,5385,5470,147,85,6870,1503,5367,0.7812227074235808,7639.38,5421.83,7636.28,5422.03,186
