,LLE01,LLE02,gene_ID,ndimage_ID
0,-0.0040458413,-0.013831388,85,742
1,-0.003912761,-0.0018035657,85,842
2,-0.014370916,0.006178002,85,2052
3,0.014412092,-0.0064184256,85,1145
4,-0.0027976288,-0.0037556277,85,896
5,-0.011936697,-0.003368555,85,2152
6,-0.0048441,-0.009287758,85,558
7,-0.011848855,0.0018558778,85,751
8,-0.008786841,0.003859333,85,746
9,-0.010395294,-0.0047499742,85,236
10,-0.006993589,-0.014508995,85,810
11,-0.010126424,-0.009019712,85,1526
12,-0.018059341,0.0015000247,85,2064
13,0.009120414,-0.005077765,85,1980
14,-0.0029934093,0.0043070903,85,1775
15,-0.008949744,0.005185946,85,302
16,-0.0075344397,-0.001993385,85,1645
17,-0.011889355,0.0019132121,85,1323
18,-0.007453626,0.0016984708,85,2156
19,-0.0081880335,-0.0030246517,85,2308
20,-0.007880157,-0.0027105394,85,618
21,-0.007696228,-0.00050289626,85,325
22,-0.0074086767,-0.003970869,85,2108
23,-0.010897445,-0.003699022,85,1964
24,-0.004774156,0.0030421915,85,611
25,-0.002458479,-0.018956704,85,1641
26,-0.023319295,0.009965937,85,2056
27,-0.01055779,-0.0021661606,85,598
28,-0.012258946,-0.0025878819,85,813
29,-0.002115939,-0.0045606047,85,1862
30,-0.007463377,-0.003190171,85,1060
31,-0.0152790025,0.005929367,85,1614
32,-0.0046283063,-0.005601548,85,797
33,0.011146522,-0.0018938633,85,1394
34,-0.0013064079,0.002929346,85,954
35,-0.009790494,-0.001698472,85,227
36,-0.0144094555,0.0013747547,85,1021
37,-0.0056597586,-0.004979295,85,1434
38,-0.01175304,0.00093710213,85,671
39,-0.016346982,0.0014286918,85,1796
40,-0.015035203,0.004799759,85,1859
41,-0.009835754,-0.003634609,85,387
42,-0.010087921,0.0017062835,85,1827
43,-0.013817615,-0.0013078381,85,2010
44,-0.006701193,-0.0018918324,85,1146
45,-0.10262137,0.07628974,85,1722
46,-0.018707057,0.0052789478,85,2037
47,-0.004556139,-0.009035548,85,1880
48,-0.0070057795,-0.003357676,85,1587
49,-0.00860696,-0.001188131,85,2146
50,-0.014531375,0.0042167767,85,1193
51,-0.0015246621,-0.001974627,85,1159
52,-0.008311957,0.0041176495,85,1041
53,-0.0133722145,-0.0030120942,85,1751
54,-0.024840608,0.0069399187,85,556
55,-0.016751312,-0.0018249587,85,1619
56,-0.0125547005,0.0018915748,85,1379
57,-0.0054310844,-0.008040186,85,1708
58,-0.008442992,-0.00612208,85,1065
59,-0.015111641,0.004640182,85,1027
60,-0.0031703787,0.0056936345,85,1303
61,-0.011617156,0.0014444555,85,750
62,-0.015549392,0.0022272698,85,662
63,-0.00881372,-0.012151784,85,1802
64,-0.005888881,-0.004263051,85,931
65,0.014917287,0.0006201527,85,512
66,-0.0150842685,0.0017737577,85,2119
67,-0.015064106,0.0099647315,85,2323
68,-0.012438328,-0.0027900822,85,1155
69,-0.0038684292,-0.008399248,85,1667
70,-0.013850493,0.003130516,85,516
71,-0.02637012,0.004308601,85,2135
72,-0.010347345,-0.0021727846,85,256
73,-0.012734088,-0.0044250786,85,1890
74,-0.007238236,0.00863684,85,1643
75,-0.007257294,-0.00095090386,85,550
76,-0.009066197,-0.00060292025,85,1031
77,-0.01834523,0.0058163237,85,1624
78,-0.0074531618,-0.0017367081,85,1970
79,-0.018463304,0.0047860355,85,743
80,-0.0030571157,-0.016458536,85,1475
81,-0.013700441,0.0032022644,85,2433
82,-0.01853193,0.007042356,85,1682
83,-0.0017396595,-0.0027299963,85,1225
84,-0.006133079,-0.00952499,85,1800
85,-0.0032370687,-0.00021129224,85,1998
86,-0.012896016,0.0007626481,85,1480
87,-0.015005325,-0.0033831142,85,326
88,-0.004470886,-0.0010832372,85,1245
89,0.0033938757,-0.009266416,85,1237
90,0.0026230407,-0.02541978,85,2150
91,-0.017115548,0.0067947297,85,845
92,-0.00529465,0.0047280565,85,800
93,-0.009008205,-0.002827147,85,1777
94,-0.022758463,0.010011953,85,1214
95,-0.03311254,0.011938009,85,482
96,0.008720958,0.00075300917,85,1714
97,-0.014432291,0.004136237,85,503
98,-0.01302346,-0.00912939,85,560
99,-0.011669985,0.0009819623,85,811
100,-0.021002116,0.0045597823,85,2226
101,-0.00306326,-0.013291412,85,1611
102,-0.0060710837,-0.0071176765,85,2265
103,-0.008882927,-0.003198852,85,665
104,-0.0048836106,-0.012345315,85,2182
105,-0.010262945,-0.0013403612,85,971
106,-0.0047543827,0.009545425,85,2275
107,-0.0021028218,-0.02011858,85,1728
108,-0.011005436,-0.004878976,85,511
109,-0.014100487,0.0021855368,85,1630
110,-0.00694801,-0.00257603,85,715
111,0.018849948,-0.012789492,85,1425
112,-0.0019210428,-0.0029374887,85,1254
113,-0.0026853962,-0.0063664964,85,490
114,-0.0031913111,-0.0022941318,85,1493
115,-0.009304179,-0.00028727646,85,1113
116,-0.009926057,-0.0015979056,85,1129
117,0.007078051,-0.0009816409,85,1353
118,-0.009063898,-0.004388182,85,306
119,0.018879794,-0.006130025,85,938
120,-0.017151982,-0.0039398745,85,681
121,-0.008397611,-0.0034146581,85,272
122,-0.0043140077,-0.0012321688,85,1267
123,-0.014876151,0.004490258,85,947
124,0.016793331,0.007765221,85,1305
125,-0.0068620406,-0.0042460617,85,2036
126,0.026628887,-0.014364026,85,502
127,0.011359295,-0.0012273071,85,1655
128,-0.0014191881,-0.0030156965,85,1576
129,-0.004623802,-0.010017687,85,706
130,-0.009686015,-0.0016509778,85,946
131,-0.012986643,0.004786761,85,1578
132,-0.0053018807,-0.005427359,85,661
133,-0.011112569,-0.002978312,85,1976
134,-0.003540313,0.0024705494,85,224
135,0.014914792,-0.016037783,85,2360
136,-0.0031493043,-0.011262658,85,1625
137,-0.010997498,0.00086080784,85,2438
138,0.0064420905,0.003209919,85,1349
139,7.111184e-05,-0.014447587,85,1258
140,-0.011035817,0.00026396586,85,978
141,-0.009968913,-0.007970132,85,1133
142,-0.00093943876,-0.0009810234,85,1403
143,-0.006093596,-0.0039307484,85,398
