,UMAP01,UMAP02,gene_ID,ndimage_ID
0,-1.5595001,5.165545,85,742
1,3.7241282,-0.5118288,85,842
2,3.0967793,-1.6023507,85,2052
3,-2.878121,4.7602596,85,1145
4,2.5452533,-1.0102742,85,896
5,3.0916786,-2.2336295,85,2152
6,0.21396872,2.858034,85,558
7,3.3834496,0.6793274,85,751
8,3.100024,0.46158764,85,746
9,3.501519,-1.6056978,85,236
10,-2.7131379,5.4123464,85,810
11,3.2114525,-2.5306242,85,1526
12,3.2235596,-2.6089349,85,2064
13,1.8829097,-1.3694372,85,1980
14,1.7020245,1.245869,85,1775
15,3.026139,1.0327927,85,302
16,-1.9547465,4.870593,85,1645
17,-3.8971899,5.2624187,85,1323
18,-2.9989324,4.0181084,85,2156
19,-1.5830728,3.850123,85,2308
20,2.349237,1.1550423,85,618
21,2.6287234,1.1755806,85,325
22,-1.8988557,4.007674,85,2108
23,2.1124642,-2.4923337,85,1964
24,2.9525104,-1.0470161,85,611
25,-0.8053757,4.985252,85,1641
26,2.451092,-2.5265012,85,2056
27,-1.8221574,3.9716043,85,598
28,1.6843889,-1.2931484,85,813
29,3.3879335,-0.7341458,85,1862
30,-1.7204598,3.8892667,85,1060
31,1.4603059,-1.8403519,85,1614
32,3.7243588,-0.42491806,85,797
33,-1.5926806,5.9175878,85,1394
34,-1.8783417,4.3995967,85,954
35,2.589149,0.807689,85,227
36,-4.9888535,5.328992,85,1021
37,3.38175,-0.5790967,85,1434
38,-3.2990952,4.2162075,85,671
39,3.8527944,-1.3015493,85,1796
40,-4.4691324,5.415274,85,1859
41,1.8606964,-0.95630455,85,387
42,-2.9369206,3.998639,85,1827
43,3.6899295,-2.1006455,85,2010
44,1.5692991,1.4693336,85,1146
45,3.949533,-2.2748265,85,1722
46,3.8386319,-1.2089568,85,2037
47,-0.6382393,4.8851213,85,1880
48,1.5824202,1.1967785,85,1587
49,1.373356,-2.0682418,85,2146
50,-4.312708,5.467991,85,1193
51,0.67253155,2.8596587,85,1159
52,1.6924613,-1.3025911,85,1041
53,-3.371379,5.690651,85,1751
54,3.5173168,-2.5106506,85,556
55,3.7362318,-0.5592298,85,1619
56,-3.089507,4.065138,85,1379
57,-1.3514051,5.1971054,85,1708
58,-2.8421838,4.619868,85,1065
59,1.7658103,-2.33017,85,1027
60,-2.5465941,4.466078,85,1303
61,2.0119493,-1.852077,85,750
62,2.8368971,-0.8388189,85,662
63,-3.050857,5.352797,85,1802
64,3.8690753,-1.2168604,85,931
65,2.462584,-1.3482898,85,512
66,3.4766202,-1.5732566,85,2119
67,2.8130848,-1.4564693,85,2323
68,3.8343742,-1.3933871,85,1155
69,0.34516746,4.4338,85,1667
70,3.1411912,-1.6209073,85,516
71,3.8532147,-2.6130154,85,2135
72,3.4996586,-0.23007093,85,256
73,-6.1378207,5.587732,85,1890
74,2.1657364,-1.122933,85,1643
75,1.4620494,1.5339991,85,550
76,2.343448,-0.7308912,85,1031
77,3.687397,-1.8866465,85,1624
78,-1.1935413,3.9591947,85,1970
79,3.750128,-0.75024384,85,743
80,-1.6017634,5.0686316,85,1475
81,-4.924086,5.0391736,85,2433
82,-4.895132,4.994546,85,1682
83,2.7981987,1.0939151,85,1225
84,-1.8467935,4.616342,85,1800
85,-2.158169,4.234022,85,1998
86,-3.2778172,5.716121,85,1480
87,3.658566,0.23321377,85,326
88,-2.3148603,4.493535,85,1245
89,3.309076,-1.6936628,85,1237
90,3.6247582,-2.9629812,85,2150
91,3.864859,-1.2181686,85,845
92,0.683009,0.75869906,85,800
93,-1.7261775,3.8166244,85,1777
94,1.5504597,-2.0337641,85,1214
95,3.671332,-2.8291245,85,482
96,-2.5851786,4.1377783,85,1714
97,1.4825554,-2.078941,85,503
98,3.8811986,-1.1717844,85,560
99,2.8429823,-1.5306484,85,811
100,-5.8848124,5.433464,85,2226
101,0.7671458,4.5333757,85,1611
102,1.7652574,1.0789714,85,2265
103,3.6679583,-0.36817136,85,665
104,-1.6167916,4.9820976,85,2182
105,-2.5445242,5.6764445,85,971
106,-1.6325225,1.4216965,85,2275
107,-0.42675674,5.6182694,85,1728
108,2.5408602,0.8166865,85,511
109,2.8632867,-0.78173804,85,1630
110,3.3817315,0.46815497,85,715
111,3.208564,-2.4216998,85,1425
112,2.9205124,0.26549923,85,1254
113,3.2297826,-2.0246909,85,490
114,-3.4295552,5.0920696,85,1493
115,2.3203475,-0.5565784,85,1113
116,-3.062601,4.787739,85,1129
117,-1.0649506,4.7461214,85,1353
118,3.8322737,-1.0574048,85,306
119,2.0518417,-1.8974215,85,938
120,3.7501616,-1.9050298,85,681
121,3.5462308,-0.25729927,85,272
122,-3.66606,5.2453184,85,1267
123,-4.30267,5.492256,85,947
124,3.3734574,-0.06721245,85,1305
125,-1.4735304,3.8253968,85,2036
126,3.7562983,-0.30651048,85,502
127,-2.46903,4.4205647,85,1655
128,1.4478931,-2.072347,85,1576
129,0.5916922,2.7124553,85,706
130,-3.3814132,5.646699,85,946
131,-2.8500886,6.040632,85,1578
132,0.44097784,2.9025452,85,661
133,2.1874056,-2.5201368,85,1976
134,3.372564,0.34917423,85,224
135,-6.076061,5.529602,85,2360
136,0.008006208,3.9097893,85,1625
137,1.528823,-1.7460691,85,2438
138,-2.614125,4.605924,85,1349
139,-5.934607,5.44281,85,1258
140,2.9238825,-0.08795374,85,978
141,-2.6723497,5.674966,85,1133
142,-2.3918312,4.4889283,85,1403
143,1.6025414,1.3213903,85,398
144,3.2824786,-0.72096944,85,344
145,2.465245,-2.6021593,85,1150
146,2.7983437,1.1876303,85,1090
147,3.1322825,-2.519831,85,1038
148,-3.0674038,5.9739943,85,498
149,-2.6606596,4.5686398,85,1264
150,2.7136536,-1.0365695,85,1495
151,2.8143966,-1.2847143,85,1736
152,-4.1511326,5.3300834,85,1497
153,2.329892,-0.5580866,85,2050
154,2.575222,-0.88232416,85,475
155,-3.2752984,5.479287,85,1140
156,2.0026896,0.0026946831,85,1731
157,1.7042986,1.0173659,85,639
158,-3.433184,4.3913155,85,2011
159,1.3287268,-2.0366867,85,1168
160,3.6121752,-2.2210772,85,2279
161,-3.5425096,5.3691015,85,985
162,-3.2702782,5.704927,85,852
163,1.2552954,1.1843078,85,574
164,1.3193786,-2.0506651,85,1131
165,1.6333681,-1.4697102,85,2106
166,-0.893267,4.996748,85,1995
167,-2.99155,4.618784,85,1545
168,2.9689543,0.16855493,85,582
169,0.56802905,2.2631948,85,713
170,-6.065976,5.5176115,85,1543
171,0.8724907,1.9083022,85,711
172,2.6802578,-2.5779626,85,632
173,-2.5305047,4.1718087,85,1098
174,-1.643015,4.98139,85,1272
175,-1.6323807,3.8307273,85,2312
176,-1.9287143,4.7853627,85,1780
177,2.4004307,-1.6160097,85,2096
178,0.91032714,1.1376041,85,293
179,3.27303,0.5695589,85,993
180,1.5649124,-1.5633394,85,1239
181,3.2911937,0.13234003,85,583
182,1.9125166,-0.8524155,85,1969
183,0.73715466,0.90589935,85,1048
184,3.2120664,-2.5400367,85,1537
185,2.315967,1.0845191,85,626
186,-2.0907288,5.2503786,85,1275
187,0.82123333,1.1985291,85,951
188,3.6109288,-1.9366262,85,615
189,3.7496805,-0.30794507,85,314
190,-1.7358869,3.8746138,85,407
191,-3.1364636,5.5929427,85,1990
192,3.6365342,-1.9420866,85,581
193,2.1933095,-2.1843898,85,2369
194,3.3643003,-1.7730181,85,997
195,-4.063084,5.2950993,85,747
196,-4.16644,5.30607,85,199
197,-3.04307,5.5460124,85,1367
198,2.5824058,-0.86971,85,2253
199,-4.8307877,5.3849487,85,1902
200,-0.6719649,4.8037295,85,1452
201,1.0824544,1.6379424,85,1285
202,-3.1405597,5.2280536,85,1119
203,3.059372,0.9920854,85,261
204,3.8061233,-1.5033756,85,2144
205,3.7635226,-0.5046018,85,1256
206,2.9967575,-1.1702005,85,401
207,3.657621,-2.9722443,85,216
208,2.1332052,1.0266438,85,745
209,1.6316962,-1.3472751,85,1006
210,0.5449669,2.8621671,85,716
211,2.3844204,0.8982227,85,1315
212,2.4834132,1.0612111,85,670
213,3.6450415,-2.1297362,85,2006
214,-2.010255,4.7094407,85,972
215,-1.7326103,3.8877378,85,2107
216,-2.1101952,4.360522,85,2573
217,-1.7161063,3.9388304,85,2431
218,3.7259672,-2.172356,85,1680
219,-6.01964,5.474387,85,691
220,0.7714181,2.046889,85,1196
221,3.6534233,-2.0300155,85,439
222,-3.4907095,4.413029,85,1788
223,2.7674437,-2.4772422,85,1209
224,1.840447,-1.068301,85,649
225,-3.076731,4.8784823,85,779
226,3.2566686,-2.4315302,85,1646
227,3.3283713,0.4217903,85,271
228,-3.1782453,5.4271293,85,1511
229,0.56965095,3.6741853,85,2097
230,-4.1738834,5.5236673,85,2058
231,0.6838239,2.8352537,85,580
232,3.275431,0.54817045,85,646
233,1.8675902,-2.3628561,85,2021
234,2.5754325,-0.6727142,85,653
235,3.2734778,-2.487489,85,759
236,-4.9908776,5.3050456,85,1878
237,-0.42522672,3.5542104,85,882
238,3.5066593,-0.16332838,85,480
239,2.245736,-0.13695383,85,666
240,1.4781392,-2.0530558,85,1446
241,-1.7866992,4.9424725,85,1732
242,-6.0078554,5.5253024,85,1613
243,3.4654126,-2.426064,85,2205
244,3.6281216,-2.9944134,85,2403
245,-2.7084157,4.605746,85,1651
246,3.263199,-2.3651261,85,421
247,3.0136945,0.033407383,85,494
248,2.7352686,1.2191796,85,1276
249,0.48701042,2.5516212,85,1799
250,-1.8220232,4.023694,85,590
251,1.4928808,1.4225656,85,1226
252,3.0387063,0.15202214,85,1740
253,2.7970414,-1.4848635,85,1169
254,-5.9958253,5.4741216,85,1913
255,3.1802592,0.91993266,85,575
256,-4.9241624,5.001979,85,1860
257,-0.2483638,2.7984612,85,1061
258,-2.4540021,4.622513,85,1756
259,-1.5025423,5.958284,85,820
260,1.3133758,-2.0167603,85,1517
