ndimage_cellID,x0,x1,y0,y1,length,height,total_area,nuclei_area,cyto_area,c2t_area_ratio,number_nuclei,orig_comX,orig_comY,ndimage_comX,ndimage_comY,orig_cellID
651,9550,9697,3887,4028,147,141,10032,0,10032,1.0,0,9615.72,3952.01,9615.41,3951.53,656
652,9113,9426,3888,4302,313,414,69065,0,69065,1.0,0,9243.5,4091.18,9243.14,4090.75,657
653,9327,9563,3892,4196,236,304,25805,1745,24060,0.9323774462313505,2,9448.46,4049.83,9447.99,4049.43,658
654,6155,6342,3895,4100,187,205,22685,0,22685,1.0,0,6251.3,3998.97,6250.76,3998.34,659
655,8446,8740,3904,4184,294,280,38833,0,38833,1.0,0,8567.02,4026.67,8566.83,4026.2,660
656,6420,6469,3905,3971,49,66,1863,0,1863,1.0,0,6450.47,3936.36,6449.86,3935.99,661
657,5726,5856,3908,4043,130,135,11162,0,11162,1.0,0,5783.43,3977.1,5783.06,3976.64,662
658,5281,5572,3910,4152,291,242,34630,1229,33401,0.9645105399942246,1,5424.82,4016.62,5424.53,4016.13,664
659,8717,8943,3910,4147,226,237,31646,0,31646,1.0,0,8821.5,4025.99,8821.11,4025.54,663
660,11335,11442,3916,3985,107,69,3022,0,3022,1.0,0,11386.48,3943.98,11386.81,3944.2,665
661,6729,7002,3933,4167,273,234,42815,0,42815,1.0,0,6863.22,4049.31,6862.67,4048.91,666
662,6319,6522,3934,4210,203,276,32113,0,32113,1.0,0,6411.7,4060.1,6411.36,4059.88,667
663,1569,2361,3939,4598,792,659,301647,0,301647,1.0,0,1986.1,4279.25,1985.54,4278.81,668
664,10965,11643,3946,4713,678,767,313820,0,313820,1.0,0,11326.62,4270.95,11326.19,4270.75,669
665,5468,5628,3947,4170,160,223,19441,788,18653,0.9594671056015637,1,5555.51,4062.41,5554.61,4062.18,670
666,7273,8021,3985,4496,748,511,219082,0,219082,1.0,0,7629.68,4226.57,7629.46,4225.85,671
667,9492,9592,3991,4122,100,131,8518,0,8518,1.0,0,9540.77,4053.37,9540.29,4052.93,672
668,5786,5919,4006,4136,133,130,12470,0,12470,1.0,0,5853.47,4072.76,5853.01,4072.24,674
669,8945,9065,4006,4129,120,123,10139,0,10139,1.0,0,9005.14,4070.09,9004.69,4069.52,675
670,8193,8479,4013,4240,286,227,39055,0,39055,1.0,0,8347.28,4123.37,8346.69,4122.85,676
671,8545,8748,4018,4203,203,185,22099,0,22099,1.0,0,8651.42,4108.77,8650.83,4108.37,677
672,9031,9167,4026,4169,136,143,13705,0,13705,1.0,0,9102.62,4100.35,9102.06,4099.85,678
673,5690,5947,4035,4438,257,403,40256,1128,39128,0.9719793322734499,1,5825.8,4217.03,5825.53,4217.13,679
674,8817,8974,4039,4208,157,169,14934,0,14934,1.0,0,8900.68,4135.63,8900.17,4134.92,680
675,3325,3808,4042,4645,483,603,189789,0,189789,1.0,0,3588.61,4373.44,3587.98,4372.66,681
676,5891,6038,4049,4235,147,186,19395,0,19395,1.0,0,5961.31,4152.72,5960.77,4152.0,682
677,8245,8291,4054,4086,46,32,939,0,939,1.0,0,8265.3,4069.18,8264.98,4068.67,683
678,7989,8249,4058,4311,260,253,44139,0,44139,1.0,0,8111.08,4178.71,8110.61,4178.28,684
679,6099,6293,4063,4301,194,238,29337,0,29337,1.0,0,6199.33,4180.16,6198.8,4179.7,685
680,2838,3425,4068,4695,587,627,260353,914,259439,0.9964893817240439,1,3118.0,4381.82,3117.45,4381.24,686
681,6266,6405,4082,4250,139,168,13702,0,13702,1.0,0,6331.03,4168.68,6330.59,4168.11,687
682,6443,6637,4084,4313,194,229,23940,1216,22724,0.9492063492063492,0,6531.85,4206.18,6531.37,4205.6,688
683,3728,3885,4098,4231,157,133,11556,0,11556,1.0,0,3803.58,4161.65,3802.89,4161.0,689
684,9503,9545,4105,4175,42,70,2087,0,2087,1.0,0,9523.24,4139.84,9522.7,4139.36,690
685,8649,8857,4106,4302,208,196,26590,0,26590,1.0,0,8756.74,4214.66,8756.19,4214.02,691
686,9427,9482,4110,4160,55,50,1560,583,977,0.6262820512820513,1,9456.35,4132.3,9455.76,4131.94,692
687,1754,2877,4111,4847,1123,736,451940,496,451444,0.9989025091826349,1,2382.59,4509.67,2381.89,4509.2,693
688,3744,4135,4118,4715,391,597,138364,0,138364,1.0,0,3946.02,4397.52,3945.52,4396.82,694
689,5496,5621,4121,4261,125,140,10047,0,10047,1.0,0,5565.62,4183.48,5564.99,4183.06,695
690,8864,9154,4125,4524,290,399,61675,1229,60446,0.9800729631130928,1,9030.2,4313.73,9029.71,4313.56,697
691,6589,6878,4126,4354,289,228,35445,651,34794,0.9816335167160389,0,6742.81,4230.73,6742.53,4230.25,696
692,9437,9516,4128,4326,79,198,8901,0,8901,1.0,0,9475.43,4227.07,9474.96,4226.65,699
693,9406,9462,4129,4192,56,63,2332,0,2332,1.0,0,9432.22,4160.87,9431.8,4160.37,698
694,6010,6137,4138,4305,127,167,13683,0,13683,1.0,0,6073.49,4223.49,6073.0,4223.0,700
695,8498,8661,4158,4302,163,144,15965,0,15965,1.0,0,8575.53,4230.84,8575.05,4230.31,701
696,8380,8503,4159,4297,123,138,10936,0,10936,1.0,0,8440.58,4223.53,8440.11,4223.12,702
697,9343,9406,4162,4211,63,49,1808,0,1808,1.0,0,9372.92,4185.42,9372.55,4184.87,703
698,9365,9456,4167,4328,91,161,8735,0,8735,1.0,0,9412.02,4249.71,9411.52,4249.19,704
699,6855,7307,4169,4535,452,366,106305,1418,104887,0.9866610225295142,0,7093.44,4348.59,7092.92,4348.16,705
700,9500,9554,4171,4231,54,60,1748,0,1748,1.0,0,9524.62,4200.01,9524.18,4199.58,706
701,5677,5788,4183,4395,111,212,13597,0,13597,1.0,0,5730.71,4280.4,5730.06,4280.14,707
702,8852,8965,4194,4292,113,98,6379,0,6379,1.0,0,8917.09,4239.45,8916.41,4238.97,708
703,9303,9384,4196,4292,81,96,5019,1224,3795,0.7561267184698147,1,9345.02,4249.2,9344.44,4248.56,709
704,8158,8486,4197,4418,328,221,44364,0,44364,1.0,0,8301.63,4315.15,8301.51,4314.79,710
705,7797,8009,4198,4433,212,235,23799,1146,22653,0.9518467162485819,1,7917.16,4316.14,7916.47,4315.66,711
706,6362,6518,4205,4411,156,206,23501,0,23501,1.0,0,6436.3,4308.96,6435.76,4308.46,712
707,9288,9318,4209,4242,30,33,752,0,752,1.0,0,9302.98,4224.92,9302.47,4224.44,713
708,5535,5641,4222,4415,106,193,11621,0,11621,1.0,0,5585.02,4325.42,5584.47,4324.98,714
709,6205,6372,4223,4412,167,189,21806,0,21806,1.0,0,6297.68,4316.17,6297.1,4315.69,715
710,5897,6057,4229,4396,160,167,16336,2717,13619,0.8336802154750245,1,5967.39,4303.52,5966.99,4303.14,716
711,8832,8925,4234,4311,93,77,4296,0,4296,1.0,0,8873.57,4277.4,8873.22,4276.85,717
712,9250,9303,4234,4310,53,76,2814,0,2814,1.0,0,9274.72,4272.13,9274.55,4271.68,718
713,8415,8588,4237,4421,173,184,17505,474,17031,0.9729220222793488,1,8506.94,4331.51,8506.42,4331.0,719
714,9209,9255,4247,4331,46,84,2933,0,2933,1.0,0,9232.37,4286.99,9231.87,4286.6,720
