ndimage_cellID,x0,x1,y0,y1,length,height,total_area,nuclei_area,cyto_area,c2t_area_ratio,orig_comX,orig_comY,ndimage_comX,ndimage_comY,orig_cellID
342,6817,8020,5745,6844,1203,1099,764034,6332,757702,0.9917124107042357,7362.12,6301.56,7361.75,6300.71,356
343,4241,4333,5750,5838,92,88,4972,0,4972,1.0,4281.62,5796.72,4281.27,5796.23,357
344,2207,2303,5754,5823,96,69,4475,0,4475,1.0,2256.84,5789.97,2256.3,5789.43,359
345,4426,4462,5754,5808,36,54,1484,46,1438,0.9690026954177897,4444.83,5780.63,4444.35,5780.18,358
346,3004,3139,5759,5967,135,208,15122,1233,13889,0.9184631662478508,3065.85,5867.65,3065.37,5867.1,360
347,4513,4574,5767,5805,61,38,1752,0,1752,1.0,4544.31,5783.73,4543.82,5783.24,361
348,2777,2953,5772,5927,176,155,14943,1398,13545,0.906444489058422,2866.48,5855.9,2865.96,5855.34,362
349,3560,3724,5779,5958,164,179,21250,0,21250,1.0,3627.3,5860.14,3626.99,5859.67,363
350,2283,2355,5785,5870,72,85,4407,0,4407,1.0,2321.25,5824.83,2320.68,5824.37,364
351,2743,2795,5786,5844,52,58,1967,0,1967,1.0,2767.24,5812.72,2766.75,5812.32,365
352,2129,2215,5788,5924,86,136,7871,0,7871,1.0,2176.63,5858.96,2176.22,5858.22,366
353,4547,4618,5788,5876,71,88,3552,0,3552,1.0,4578.36,5836.76,4577.91,5836.0,367
354,992,1030,5795,5848,38,53,1268,0,1268,1.0,1008.14,5822.15,1007.81,5821.67,368
355,3418,3505,5798,6000,87,202,14779,0,14779,1.0,3459.24,5895.16,3458.71,5894.73,370
356,2380,2441,5799,5888,61,89,3588,0,3588,1.0,2416.86,5841.87,2416.18,5841.32,369
357,4707,4801,5800,5965,94,165,8571,8,8563,0.9990666199976665,4748.21,5890.14,4747.81,5889.5,371
358,5841,6310,5801,6342,469,541,169790,0,169790,1.0,6055.94,6073.94,6055.25,6073.7,372
359,4513,4553,5805,5870,40,65,1732,0,1732,1.0,4535.65,5843.09,4535.13,5842.23,373
360,2200,2229,5810,5858,29,48,844,0,844,1.0,2213.55,5832.42,2213.09,5832.05,375
361,2068,2132,5811,5889,64,78,3170,972,2198,0.6933753943217665,2103.15,5847.65,2102.64,5847.22,374
362,4228,4261,5815,5864,33,49,1037,0,1037,1.0,4244.81,5836.59,4244.28,5836.32,376
363,2257,2306,5816,5893,49,77,2427,0,2427,1.0,2279.22,5858.71,2278.82,5858.03,377
364,2016,2094,5819,5905,78,86,3909,0,3909,1.0,2055.76,5868.88,2055.14,5868.12,378
365,2215,2272,5819,5904,57,85,2972,1363,1609,0.5413862718707941,2238.64,5859.32,2238.3,5858.71,379
366,2330,2399,5819,5911,69,92,3999,0,3999,1.0,2365.49,5867.55,2364.86,5867.0,380
367,4242,4369,5830,5963,127,133,10406,0,10406,1.0,4313.96,5891.47,4313.35,5891.04,381
368,4604,4646,5831,5877,42,46,1340,0,1340,1.0,4625.59,5852.43,4625.0,5852.07,382
369,4395,4443,5834,5874,48,40,1187,0,1187,1.0,4419.04,5855.13,4418.59,5854.61,383
370,4636,4716,5835,5904,80,69,3776,0,3776,1.0,4676.49,5865.3,4675.89,5864.9,384
371,0,174,5840,6105,174,265,26505,0,26505,1.0,68.81,5987.69,68.98,5987.42,385
372,3210,3393,5848,6081,183,233,28306,254,28052,0.9910266374620221,3301.55,5954.07,3300.93,5953.7,386
373,4054,4210,5861,6009,156,148,15454,0,15454,1.0,4140.16,5926.41,4139.55,5925.98,387
374,2275,2337,5862,5924,62,62,2214,0,2214,1.0,2310.2,5896.28,2309.55,5895.55,393
375,4509,4597,5863,5939,88,76,4073,0,4073,1.0,4552.54,5900.61,4552.13,5900.17,388
376,3924,4139,5865,6155,215,290,31760,3916,27844,0.8767002518891688,4037.75,6010.51,4037.25,6009.99,390
377,4201,4300,5865,6019,99,154,9863,0,9863,1.0,4245.83,5942.01,4245.4,5941.51,391
378,4347,4517,5865,6093,170,228,24956,0,24956,1.0,4427.83,5982.85,4427.46,5982.39,389
379,4441,4537,5866,5957,96,91,3832,0,3832,1.0,4485.97,5910.08,4485.52,5909.61,392
380,4576,4614,5868,5912,38,44,1194,0,1194,1.0,4596.67,5888.15,4596.08,5887.71,394
381,4611,4655,5868,5919,44,51,1482,0,1482,1.0,4632.32,5894.43,4631.82,5893.92,395
382,2084,2171,5873,5954,87,81,4130,0,4130,1.0,2130.07,5914.2,2129.4,5913.47,396
383,2362,2452,5873,5965,90,92,5500,0,5500,1.0,2406.26,5920.22,2405.86,5919.56,397
384,2226,2277,5882,5953,51,71,2472,0,2472,1.0,2250.3,5917.4,2249.86,5916.89,398
385,4629,4722,5892,5974,93,82,4560,0,4560,1.0,4674.67,5929.04,4674.25,5928.64,399
386,2192,2232,5902,5948,40,46,1009,0,1009,1.0,2214.24,5925.88,2213.7,5925.46,400
387,3104,3239,5902,6132,135,230,23195,0,23195,1.0,3175.68,6015.23,3175.12,6014.72,401
388,2013,2125,5904,6032,112,128,7069,0,7069,1.0,2075.36,5963.91,2074.27,5963.95,402
389,2819,2925,5904,6005,106,101,7158,0,7158,1.0,2865.22,5952.33,2864.91,5951.85,403
390,2304,2373,5906,5985,69,79,3623,0,3623,1.0,2337.87,5945.7,2337.49,5945.17,404
391,4777,4807,5908,5944,30,36,701,0,701,1.0,4792.94,5924.84,4792.43,5924.45,405
392,4576,4634,5909,5975,58,66,2454,0,2454,1.0,4608.49,5941.36,4607.91,5940.92,406
393,2238,2309,5914,5998,71,84,3577,0,3577,1.0,2278.88,5955.34,2278.24,5954.89,408
394,7188,7350,5914,6070,162,156,9359,0,9359,1.0,7281.45,5984.71,7280.36,5984.91,407
395,2156,2223,5924,5979,67,55,2107,0,2107,1.0,2186.76,5949.86,2186.43,5949.45,409
396,4676,4747,5925,6003,71,78,2898,0,2898,1.0,4710.63,5966.25,4710.22,5965.63,410
397,3550,3825,5927,6167,275,240,42632,978,41654,0.9770594858322387,3685.26,6045.63,3684.81,6045.12,411
398,4509,4548,5927,5980,39,53,1432,0,1432,1.0,4529.33,5955.08,4528.84,5954.42,412
399,4543,4582,5929,5984,39,55,1662,0,1662,1.0,4561.54,5958.55,4561.05,5957.94,413
400,2782,2823,5930,6003,41,73,1867,0,1867,1.0,2803.82,5972.59,2803.43,5971.77,415
401,2417,2477,5931,5977,60,46,1852,0,1852,1.0,2448.5,5955.92,2447.95,5955.42,414
402,2897,2950,5939,5979,53,40,1155,0,1155,1.0,2923.59,5959.35,2923.07,5958.9,416
403,2936,2994,5939,5970,58,31,1056,0,1056,1.0,2969.97,5952.18,2968.91,5951.56,417
404,4784,4862,5948,6066,78,118,4476,0,4476,1.0,4821.88,6006.35,4821.47,6005.97,418
405,2170,2256,5949,6034,86,85,3756,0,3756,1.0,2213.58,5993.83,2213.04,5993.31,419
406,4259,4359,5951,6064,100,113,7819,0,7819,1.0,4313.35,6009.58,4312.74,6009.07,420
407,2123,2195,5953,6003,72,50,2134,0,2134,1.0,2157.11,5976.0,2156.79,5975.59,421
408,3022,3121,5954,6100,99,146,11343,0,11343,1.0,3076.65,6027.86,3076.06,6027.28,422
409,4621,4681,5954,6020,60,66,2256,0,2256,1.0,4652.39,5984.51,4651.81,5984.09,423
