,ISO01,ISO02,gene_ID,ndimage_ID
0,-4.0613265,2.4469497,85,742
1,-14.268386,-3.960546,85,842
2,-11.36173,1.3484453,85,2052
3,-4.722791,2.2025712,85,1145
4,-9.179426,-0.33909205,85,896
5,-12.925749,2.1743076,85,2152
6,-5.7462564,0.036473975,85,558
7,-13.693943,-4.907739,85,751
8,-11.466224,-3.865118,85,746
9,-12.818466,1.5674803,85,236
10,-4.0919785,3.4890788,85,810
11,-13.818938,4.5659056,85,1526
12,-13.21507,6.0982265,85,2064
13,-8.613935,1.252618,85,1980
14,-8.646664,-3.0508103,85,1775
15,-11.025426,-4.06371,85,302
16,-3.5243182,1.3146727,85,1645
17,-5.5856075,4.805822,85,1323
18,-6.6617317,1.4945214,85,2156
19,-6.1994224,-0.33761147,85,2308
20,-8.691909,-2.8734176,85,618
21,-9.075805,-3.9796612,85,325
22,-5.578931,0.14921872,85,2108
23,-8.096193,5.909976,85,1964
24,-10.899941,-0.40434024,85,611
25,-4.6709023,1.6446023,85,1641
26,-10.220319,5.9895945,85,2056
27,-6.8597074,0.19273065,85,598
28,-7.9894385,2.7472634,85,813
29,-13.776533,-2.1439009,85,1862
30,-6.071211,-0.020897256,85,1060
31,-7.1966276,3.8625505,85,1614
32,-14.412679,-3.7275982,85,797
33,-3.5412605,5.033216,85,1394
34,-5.237964,1.1335857,85,954
35,-11.099387,-3.2437892,85,227
36,-6.730338,7.5116663,85,1021
37,-13.011094,-1.8043449,85,1434
38,-6.766572,3.8048472,85,671
39,-16.441544,-1.0808417,85,1796
40,-6.7948017,6.375583,85,1859
41,-7.9063396,0.5692808,85,387
42,-5.5449,1.507635,85,1827
43,-14.263587,2.0949495,85,2010
44,-7.4665337,-2.3737433,85,1146
45,-19.083181,3.2779908,85,1722
46,-16.543276,-1.4754884,85,2037
47,-4.471153,1.644773,85,1880
48,-8.071798,-2.122652,85,1587
49,-6.947332,4.342445,85,2146
50,-6.1228423,6.460456,85,1193
51,-4.4377713,-1.3729135,85,1159
52,-7.2736816,1.5017396,85,1041
53,-4.625156,5.1042676,85,1751
54,-15.418196,5.491811,85,556
55,-14.323422,-3.9893832,85,1619
56,-6.189355,2.7269716,85,1379
57,-4.3099904,2.4883525,85,1708
58,-6.660098,1.7766249,85,1065
59,-7.606401,5.2551064,85,1027
60,-7.172947,1.6297747,85,1303
61,-8.567546,3.756842,85,750
62,-11.001686,-0.9912325,85,662
63,-4.7031384,3.7441998,85,1802
64,-16.553684,-1.358263,85,931
65,-10.108868,1.075654,85,512
66,-13.145517,0.4723793,85,2119
67,-10.324612,1.2755823,85,2323
68,-15.1004505,0.6312277,85,1155
69,-3.7713726,0.5774833,85,1667
70,-12.160322,1.5709077,85,516
71,-17.869915,5.2695413,85,2135
72,-13.449715,-2.7063243,85,256
73,-9.18763,7.1561546,85,1890
74,-9.464905,1.1622312,85,1643
75,-7.36377,-2.5007572,85,550
76,-9.104658,0.16489486,85,1031
77,-14.480994,1.5783291,85,1624
78,-5.3735776,-0.12411916,85,1970
79,-16.50394,-2.1879272,85,743
80,-4.5790253,2.039549,85,1475
81,-8.597223,6.6663604,85,2433
82,-8.762806,6.575791,85,1682
83,-10.799498,-4.528275,85,1225
84,-5.437033,1.1876352,85,1800
85,-6.047243,1.2965446,85,1998
86,-3.8028686,4.847613,85,1480
87,-15.472436,-5.061483,85,326
88,-5.5943794,1.4046767,85,1245
89,-12.343473,1.6945279,85,1237
90,-13.669708,8.544817,85,2150
91,-16.853056,-0.88908994,85,845
92,-6.571391,-4.1909766,85,800
93,-6.8828616,-0.32496116,85,1777
94,-7.262674,4.225805,85,1214
95,-15.7792845,7.465026,85,482
96,-6.5041456,-0.77521,85,1714
97,-7.757179,4.3641486,85,503
98,-19.414455,-2.6725554,85,560
99,-10.762352,1.540555,85,811
100,-9.98621,11.23307,85,2226
101,-2.5849652,0.9876025,85,1611
102,-9.028347,-2.3275955,85,2265
103,-14.509991,-3.3910952,85,665
104,-4.85361,1.6910019,85,2182
105,-3.2377887,3.8178935,85,971
106,-6.235119,-3.0154855,85,2275
107,-3.2488117,2.9568367,85,1728
108,-10.161535,-3.6671603,85,511
109,-11.044311,-0.9927005,85,1630
110,-12.879446,-3.2771652,85,715
111,-13.899707,3.315553,85,1425
112,-11.20799,-3.1713765,85,1254
113,-12.80252,2.025808,85,490
114,-5.5479603,3.815536,85,1493
115,-9.557639,-0.6848104,85,1113
116,-5.2214136,3.9078975,85,1129
117,-4.0346413,1.023075,85,1353
118,-15.756444,-1.6781341,85,306
119,-8.682004,1.9012344,85,938
120,-14.787863,1.7589872,85,681
121,-13.977972,-3.6277897,85,272
122,-5.342516,4.5348344,85,1267
123,-6.0706706,5.8971567,85,947
124,-13.93173,-3.8638635,85,1305
125,-6.660287,-0.24708271,85,2036
126,-15.872178,-3.1615446,85,502
127,-7.139833,0.17963207,85,1655
128,-7.7182336,4.437566,85,1576
129,-6.129426,-1.0824988,85,706
130,-4.0513363,4.832216,85,946
131,-3.6947422,8.235989,85,1578
132,-5.460759,-1.4316375,85,661
133,-9.710106,6.240103,85,1976
134,-12.07868,-3.0357497,85,224
135,-9.720833,8.959205,85,2360
136,-4.4470153,-0.18700121,85,1625
137,-7.5590444,3.8568752,85,2438
138,-5.1033616,2.1351333,85,1349
139,-8.824708,8.348954,85,1258
140,-11.140954,-2.5860698,85,978
141,-2.445227,4.138336,85,1133
142,-4.9046054,1.641787,85,1403
143,-8.089788,-2.2697499,85,398
144,-12.649276,-1.9016945,85,344
145,-9.931586,6.3067636,85,1150
146,-9.976371,-3.206882,85,1090
147,-13.058682,5.247896,85,1038
148,-3.334776,6.9101567,85,498
149,-6.2418995,1.5167297,85,1264
150,-10.60378,-0.024016498,85,1495
151,-11.487554,0.076087765,85,1736
152,-5.9888253,5.2450323,85,1497
153,-10.043594,-0.5091339,85,2050
154,-9.427139,-0.21613792,85,475
155,-4.438171,4.255138,85,1140
156,-9.195084,-2.3511653,85,1731
157,-7.683282,-3.159146,85,639
158,-5.7953877,3.8434753,85,2011
159,-6.49605,4.496496,85,1168
160,-14.107915,2.1454813,85,2279
161,-4.801166,4.8023663,85,985
162,-4.1205263,4.822106,85,852
163,-7.4405065,-3.1122239,85,574
164,-7.506134,4.8657165,85,1131
165,-7.831572,3.305866,85,2106
166,-4.237335,1.8645362,85,1995
167,-6.6279454,2.3074093,85,1545
168,-12.028668,-2.5069125,85,582
169,-6.312027,-1.1392704,85,713
170,-10.288473,9.627106,85,1543
171,-6.0278225,-2.248787,85,711
172,-11.775417,6.7423105,85,632
173,-7.4041038,-0.45259076,85,1098
174,-4.885286,1.7119689,85,1272
175,-6.649427,-0.18971159,85,2312
176,-3.7730432,0.9443061,85,1780
177,-10.367316,3.1793668,85,2096
178,-7.3152027,-3.4353797,85,293
179,-11.754036,-4.097985,85,993
180,-7.4646626,3.551276,85,1239
181,-11.818054,-3.8685858,85,583
182,-7.6381187,0.13700548,85,1969
183,-7.761198,-3.8503146,85,1048
184,-13.930308,4.253352,85,1537
185,-9.48731,-3.0478003,85,626
186,-4.368633,2.6205142,85,1275
187,-7.727286,-3.484319,85,951
188,-14.030041,2.9821534,85,615
189,-15.445182,-3.237932,85,314
190,-6.826486,-0.64819986,85,407
191,-3.6691175,4.6635094,85,1990
192,-14.039354,1.4965378,85,581
193,-9.732798,4.41686,85,2369
194,-12.346951,1.6720251,85,997
195,-5.763371,4.8005557,85,747
196,-6.823645,5.4128404,85,199
197,-4.7693043,6.730892,85,1367
198,-9.737484,-0.75346684,85,2253
199,-6.9458227,6.5701485,85,1902
200,-4.2318935,1.1768967,85,1452
201,-6.8760376,-2.6674478,85,1285
202,-5.1247296,3.910762,85,1119
203,-11.014526,-3.535422,85,261
204,-14.723422,0.5176382,85,2144
205,-15.466235,-2.9731576,85,1256
206,-11.07777,-0.3810853,85,401
207,-15.442491,10.447912,85,216
208,-9.200083,-3.3920276,85,745
209,-7.5183954,2.8668709,85,1006
210,-5.9473205,-0.7684092,85,716
211,-8.717614,-4.076634,85,1315
212,-9.723412,-2.7704678,85,670
213,-13.605719,1.8471205,85,2006
214,-2.9492862,0.5446669,85,972
215,-6.459707,-0.029341763,85,2107
216,-5.693973,1.0524026,85,2573
217,-6.295971,-0.50523067,85,2431
218,-15.737539,2.5726588,85,1680
219,-9.848456,9.06656,85,691
220,-6.4743032,-1.869603,85,1196
221,-14.150562,3.2280445,85,439
222,-5.009538,3.7667458,85,1788
223,-11.380101,5.06899,85,1209
224,-7.6313,0.8840591,85,649
225,-5.1185102,3.5274677,85,779
226,-11.533531,4.008478,85,1646
227,-12.247417,-3.2390318,85,271
228,-4.592109,4.1451297,85,1511
229,-3.6305184,-0.58463,85,2097
230,-5.248806,6.1353064,85,2058
231,-5.2642107,-1.3596829,85,580
232,-11.126319,-3.994846,85,646
233,-8.33743,5.9980154,85,2021
234,-10.590204,-0.5410558,85,653
235,-14.186524,5.1796737,85,759
236,-7.2539945,7.68212,85,1878
237,-3.796564,-0.9665367,85,882
238,-13.57481,-3.6174412,85,480
239,-9.519897,-0.9456634,85,666
240,-7.7466364,4.4186482,85,1446
241,-5.3578386,2.3567557,85,1732
242,-10.308354,9.868746,85,1613
243,-14.155627,6.3784432,85,2205
244,-13.841213,10.127761,85,2403
245,-5.916435,1.6785661,85,1651
246,-11.426352,4.800346,85,421
247,-10.841275,-3.4367008,85,494
248,-10.747839,-3.1590428,85,1276
249,-6.559344,-0.3297573,85,1799
250,-5.3731503,0.2363023,85,590
251,-7.410576,-2.3230772,85,1226
252,-11.780116,-2.2366617,85,1740
253,-11.019165,1.5559093,85,1169
254,-9.555293,9.186399,85,1913
255,-11.057812,-4.4828506,85,575
256,-7.684488,6.2568727,85,1860
257,-5.281397,-2.015093,85,1061
258,-3.269771,2.438877,85,1756
259,-3.3445973,4.3302174,85,820
260,-6.614616,4.5157146,85,1517
261,-3.9026353,-0.65073097,85,1496
262,-20.587795,3.3219206,85,2244
263,-7.2223454,4.8853984,85,1925
264,-12.004451,0.21128778,85,2110
265,-11.323409,1.4506931,85,1106
266,-5.0917797,-0.7251442,85,1711
267,-10.699405,0.32226586,85,2361
268,-7.877412,-0.6171404,85,545
269,-10.277111,5.4175687,85,1382
270,-5.2706914,1.9972872,85,1784
271,-14.901694,-2.3651311,85,1648
272,-6.579657,6.1804433,85,1954
273,-5.5278363,1.8112422,85,1807
274,-6.3802056,-2.8803232,85,1205
275,-8.030081,4.556286,85,1752
276,-5.9929414,-3.8272636,85,687
277,-11.302529,-3.725765,85,375
278,-10.92235,1.4043144,85,274
279,-5.556847,3.7608647,85,1828
280,-10.748776,-3.5454674,85,291
281,-17.860413,5.958783,85,629
